rule,average_weight,average_turnover,periods,cagr,annual_volatility,sharpe_vs_cash,max_drawdown,months_beating_cash,cagr_after_tax,excess_vs_static_annual,excess_p_value
oracle_binary,0.523320537428023,0.4912445373868734,521,1.3705724840781492,0.17222482052149873,4.619917191129291,-0.0004186282937024277,286,1.2292426236574485,0.6795636136134926,3.16937010070228e-76
oracle_continuous,0.49168774908755253,0.4938533585084531,521,1.362511192455933,0.1723666108418389,4.596202729227346,-0.0004186282937024277,281,1.212707164091185,0.6761242912229817,3.5132872264942086e-75
static,0.5499999999999999,0.008198764318976181,521,0.21123751991287532,0.15965219033240005,0.7296295114097341,-0.3079513806839218,287,0.20993750503424136,,
linear_short_volatility,0.558359520395044,0.016308361216145255,521,0.20313062738971355,0.16249347539846185,0.6783140281713307,-0.3079513806839219,287,0.20032610024781383,-0.006263895762137824,0.24133887326856374
linear_market_trailing_12m,0.5448494412178224,0.022546484132059674,521,0.19967612624847142,0.1517095481482564,0.696195786164333,-0.2719415952288641,287,0.19624804060758572,-0.010892069580206052,0.4333918829114527
volatility_target,0.5797366335496623,0.011715276947807787,521,0.189835519257334,0.161139591786637,0.6137164077793802,-0.31237772466041314,286,0.18798183811091596,-0.017634067127115734,0.14267894742756643
linear_trailing_12m,0.5441034482576046,0.015263406816996164,521,0.18369611983844258,0.14911755244030006,0.6154935579204779,-0.2848743091372128,286,0.18070994831845244,-0.024659773813121354,0.1627345624850155
linear_drawdown,0.5477944621173486,0.012665437590829932,521,0.17643978789091141,0.1449033662463817,0.5867728794523394,-0.268630866638779,279,0.17404403219683018,-0.03146354758589518,0.13860091548813397
linear_above_trend,0.5504115218114308,0.01770872015886773,521,0.17385677494857044,0.1500116335623832,0.5573875195542929,-0.2679018878273064,280,0.17099509780399158,-0.03289322424830569,0.11569872050478058
reference_BOVA11,1.0,0.0,521,0.14746042763180434,0.2104883327015456,0.3413032361374712,-0.4377869425633356,278,,,
reference_IBOVESPA,1.0,0.0,521,0.14691996228267623,0.2120761108118242,0.3378255915532074,-0.4371319990157426,277,,,
reference_CDI,0.0,0.0,521,0.09222090017674711,0.005476183382248584,,0.0,0,,,
mean_variance,0.2733806111522725,0.0718355977518569,521,0.09098399665542045,0.09173982106863598,0.033434595929188106,-0.1508824609490581,196,0.08220640696032233,-0.11337291450988542,0.004779567055620965
