decision_year,decision_date,holding_end_exclusive,gross_return,estimated_cost_brl,estimated_cost_rate,net_return,opening_wealth_brl,closing_wealth_brl,turnover,weights_at_decision,known_snapshot_count,factor,target_equity_weight,mvo_eligible_net_return,cdi_net_return
2013,2013-01-02,2014-01-02,0.06849601590980914,289.00655732286896,0.00028900655732286897,0.06820700935248628,1000000.0,1068207.0093524863,1.0,ITUB4.SA:10.00% | BBDC4.SA:10.00% | WEGE3.SA:5.00% | BBAS3.SA:10.00% | TITULO_CDI:65.00%,12,triple_factor,0.35,0.06539614701535951,0.07857469049866928
2014,2014-01-02,2015-01-02,0.1637106352348452,74.75048783741781,6.997752980738183e-05,0.1636406577050378,1068207.0093524863,1243009.1069280587,0.09544680069521132,ITUB4.SA:9.15% | BBDC4.SA:5.85% | WEGE3.SA:10.00% | BBAS3.SA:10.00% | TITULO_CDI:65.00%,18,triple_factor,0.35,0.15348133163808536,0.10540624317644642
2015,2015-01-02,2016-01-04,0.05887570301359468,104.38804862358543,8.398011570612497e-05,0.05879172289788856,1243009.1069280587,1316087.753902125,0.21828242657551716,ITUB4.SA:10.00% | BBDC4.SA:10.00% | WEGE3.SA:10.00% | ABEV3.SA:5.00% | TITULO_CDI:65.00%,25,triple_factor,0.3499999999999999,0.04417139934238765,0.12954569629278212
2016,2016-01-04,2017-01-02,0.25345982118561117,220.40491037196722,0.0001674697676644124,0.25329235141794676,1316087.753902125,1649442.7157603584,0.31459234967322003,ITUB4.SA:10.00% | WEGE3.SA:5.00% | ABEV3.SA:10.00% | BBAS3.SA:10.00% | TITULO_CDI:65.00%,31,triple_factor,0.3499999999999999,0.12364429855613408,0.13821818995312585
2017,2017-01-02,2018-01-02,0.17740521930024022,294.87043802432504,0.00017876973550330055,0.17722644956473693,1649442.7157603584,1941767.5920349841,0.3222412347608732,ITUB4.SA:10.00% | BBDC4.SA:10.00% | ABEV3.SA:6.32% | BBAS3.SA:8.68% | TITULO_CDI:65.00%,39,triple_factor,0.35,0.20067155510922516,0.10022611215747501
2018,2018-01-02,2019-01-02,0.08703993220845119,168.3111108944437,8.667932845560195e-05,0.08695325287999559,1941767.5920349841,2110610.6004993822,0.2321274422766898,ITUB4.SA:10.00% | BBDC4.SA:10.00% | RENT3.SA:5.00% | ABEV3.SA:10.00% | TITULO_CDI:65.00%,47,triple_factor,0.3499999999999999,0.08619494218933375,0.06288552611006737
2019,2019-01-02,2020-01-02,0.0932227123098266,263.1086293992025,0.00012465995827792657,0.09309805235154867,2110610.6004993822,2307104.3366784076,0.22747165732986047,ITUB4.SA:10.00% | BBDC4.SA:10.00% | ABEV3.SA:5.00% | BBAS3.SA:10.00% | TITULO_CDI:65.00%,55,triple_factor,0.3499999999999999,0.15134939148674004,0.05825368501784567
2020,2020-01-02,2021-01-04,-0.00262552677951855,315.873713838189,0.00013691349316821962,-0.0027624402726867696,2307104.3366784076,2300731.098745477,0.28872116945164,PETR4.SA:8.39% | ITUB4.SA:6.61% | ABEV3.SA:10.00% | BBAS3.SA:10.00% | TITULO_CDI:65.00%,63,triple_factor,0.35,0.18248837230809298,0.027172409622468585
2021,2021-01-04,2022-01-03,0.01675103234948394,346.88199718734325,0.00015077033442825548,0.016600262015055687,2300731.098745477,2338923.8378108386,0.3697602580110899,VALE3.SA:5.00% | WEGE3.SA:10.00% | ABEV3.SA:10.00% | BBAS3.SA:10.00% | TITULO_CDI:65.00%,71,triple_factor,0.35000000000000003,0.01099882614542116,0.043186650987467656
2022,2022-01-03,2023-01-02,0.17552453871964224,364.9924052938386,0.00015605142817966248,0.1753684872914626,2338923.8378108386,2749097.3731376673,0.30015438268794864,PETR4.SA:10.00% | VALE3.SA:10.00% | WEGE3.SA:7.18% | ABEV3.SA:7.82% | TITULO_CDI:65.00%,79,triple_factor,0.3499999999999999,0.16060092836841533,0.12294915546054574
2023,2023-01-02,2024-01-02,0.24184455915073721,338.53341444315197,0.0001231434789291471,0.24172141567180808,2749097.3731376673,3413613.081992153,0.23670779902287242,PETR4.SA:10.00% | VALE3.SA:10.00% | WEGE3.SA:5.00% | BBAS3.SA:10.00% | TITULO_CDI:65.00%,87,triple_factor,0.35,0.24279870055728234,0.129326575852573
2024,2024-01-02,2025-01-02,0.13069337672048564,614.0143957025812,0.0001798722880872744,0.13051350443239837,3413613.081992153,3859135.6880992292,0.3650603995519245,PETR4.SA:10.00% | ITUB4.SA:5.00% | WEGE3.SA:10.00% | BBAS3.SA:10.00% | TITULO_CDI:65.00%,95,triple_factor,0.35,0.06920260626781835,0.10726695312630197
2025,2025-01-02,2026-01-02,0.14340405561635428,394.7615807730946,0.00010229274445841774,0.14330176287189586,3859135.6880992292,4412156.635365696,0.13772802129264194,PETR4.SA:10.00% | ITUB4.SA:10.00% | WEGE3.SA:10.00% | BBAS3.SA:5.00% | TITULO_CDI:65.00%,102,triple_factor,0.35,0.10724199927104454,0.14146323464468114
