decision_year,decision_date,holding_end_exclusive,gross_return,estimated_cost_brl,estimated_cost_rate,net_return,opening_wealth_brl,closing_wealth_brl,turnover,weights_at_decision,known_snapshot_count,factor,target_equity_weight,mvo_eligible_net_return,cdi_net_return
2013,2013-01-02,2014-01-02,0.0666679433122157,503.91284618114616,0.0005039128461811461,0.06616403046603456,1000000.0,1066164.0304660345,1.0,ITUB4.SA:15.00% | BBDC4.SA:15.00% | WEGE3.SA:15.00% | BBAS3.SA:15.00% | TITULO_CDI:40.00%,12,triple_factor,0.6,0.02581137926542737,0.07857469049866928
2014,2014-01-02,2015-01-02,0.2020607159453598,28.549980092114758,2.6778224809962103e-05,0.20203393772054984,1066164.0304660345,1281565.3477970997,0.04196604247940419,ITUB4.SA:15.00% | BBDC4.SA:15.00% | WEGE3.SA:15.00% | BBAS3.SA:15.00% | TITULO_CDI:40.00%,18,triple_factor,0.6,0.17238987283599433,0.10540624317644642
2015,2015-01-02,2016-01-04,0.028631218324008723,199.89592953881828,0.00015597794516090976,0.028475240378847813,1281565.3477970997,1318058.2291368237,0.3489145865372682,ITUB4.SA:15.00% | BBDC4.SA:15.00% | WEGE3.SA:15.00% | ABEV3.SA:15.00% | TITULO_CDI:40.00%,25,triple_factor,0.6,0.015790311924790086,0.12954569629278212
2016,2016-01-04,2017-01-02,0.30704457062885093,219.66339496419687,0.00016665682145776753,0.30687791380739315,1318058.2291368237,1722541.1887709992,0.34613972299299145,ITUB4.SA:15.00% | WEGE3.SA:15.00% | ABEV3.SA:15.00% | BBAS3.SA:15.00% | TITULO_CDI:40.00%,31,triple_factor,0.6,0.11627153909024082,0.13821818995312585
2017,2017-01-02,2018-01-02,0.23074495626296843,429.7290436181345,0.00024947388568672665,0.2304954823772817,1722541.1887709992,2119579.150991507,0.47977391637632144,ITUB4.SA:15.00% | BBDC4.SA:15.00% | ABEV3.SA:15.00% | BBAS3.SA:15.00% | TITULO_CDI:40.00%,39,triple_factor,0.6,0.3100301273404061,0.10022611215747501
2018,2018-01-02,2019-01-02,0.11703611352637755,349.5782709926975,0.0001649281513404065,0.11687118537503714,2119579.150991507,2367296.878864099,0.37811885294446423,ITUB4.SA:15.00% | BBDC4.SA:15.00% | RENT3.SA:15.00% | ABEV3.SA:15.00% | TITULO_CDI:40.00%,47,triple_factor,0.6,0.08710590815506053,0.06288552611006737
2019,2019-01-02,2020-01-02,0.11974080237967422,476.11070853714176,0.00020111998321291843,0.1195396823964613,2367296.878864099,2650282.7959016473,0.4418081869929954,ITUB4.SA:15.00% | BBDC4.SA:15.00% | ABEV3.SA:15.00% | BBAS3.SA:15.00% | TITULO_CDI:40.00%,55,triple_factor,0.6,0.20857224528002188,0.05825368501784567
2020,2020-01-02,2021-01-04,-0.03740814305232376,365.78640155135133,0.00013801787572141256,-0.03754616092804517,2650282.7959016473,2550774.8515418945,0.3407651812390687,PETR4.SA:15.00% | ITUB4.SA:15.00% | ABEV3.SA:15.00% | BBAS3.SA:15.00% | TITULO_CDI:40.00%,63,triple_factor,0.6,0.2001164301796504,0.027172409622468585
2021,2021-01-04,2022-01-03,0.0015277769985160283,711.8078985987137,0.00027905555763513957,0.0012487214408808888,2550774.8515418945,2553960.058789875,0.6810208818575711,VALE3.SA:15.00% | WEGE3.SA:15.00% | ABEV3.SA:15.00% | BBAS3.SA:15.00% | TITULO_CDI:40.00%,71,triple_factor,0.6,-0.0071499678217696525,0.043186650987467656
2022,2022-01-03,2023-01-02,0.20210233485085993,364.09753629096934,0.0001425619539498543,0.20195977289691008,2553960.058789875,3069757.252250857,0.3268033014597043,PETR4.SA:15.00% | VALE3.SA:15.00% | WEGE3.SA:15.00% | ABEV3.SA:15.00% | TITULO_CDI:40.00%,79,triple_factor,0.6,0.18266504881433285,0.12294915546054574
2023,2023-01-02,2024-01-02,0.2891301791337977,476.59212943432556,0.00015525401205091085,0.2889749251217468,3069757.252250857,3956840.124361988,0.33350998184306513,PETR4.SA:15.00% | VALE3.SA:15.00% | WEGE3.SA:15.00% | BBAS3.SA:15.00% | TITULO_CDI:40.00%,87,triple_factor,0.6,0.3417899569219257,0.129326575852573
2024,2024-01-02,2025-01-02,0.1322306936488078,1078.2138965182394,0.0002724936723826044,0.1319581999764252,3956840.124361988,4478977.62476729,0.49679606583983665,PETR4.SA:15.00% | ITUB4.SA:15.00% | WEGE3.SA:15.00% | BBAS3.SA:15.00% | TITULO_CDI:40.00%,95,triple_factor,0.6,-0.04372613058211265,0.10726695312630197
2025,2025-01-02,2026-01-02,0.13032129007415771,341.41177663230076,7.622538115493245e-05,0.1302450646930028,4478977.62476729,5062342.355263619,0.10139777306301448,PETR4.SA:15.00% | ITUB4.SA:15.00% | WEGE3.SA:15.00% | BBAS3.SA:15.00% | TITULO_CDI:40.00%,102,triple_factor,0.6,0.08932283610663526,0.14146323464468114
