decision_year,decision_date,holding_end_exclusive,gross_return,estimated_cost_brl,estimated_cost_rate,net_return,opening_wealth_brl,closing_wealth_brl,turnover,weights_at_decision,known_snapshot_count,factor,target_equity_weight,mvo_eligible_net_return,cdi_net_return
2013,2013-01-02,2014-01-02,0.07021468674725861,401.11063987089244,0.0004011106398708924,0.06981357610738773,1000000.0,1069813.5761073877,1.0,ITUB4.SA:12.00% | BBDC4.SA:12.00% | WEGE3.SA:12.00% | BBAS3.SA:12.00% | TITULO_CDI:52.00%,12,triple_factor,0.48,0.03720331669172189,0.07857469049866928
2014,2014-01-02,2015-01-02,0.18493030008049183,23.263534081740406,2.17454092949417e-05,0.18490855467119688,1069813.5761073877,1267631.2582330292,0.03619254834333392,ITUB4.SA:12.00% | BBDC4.SA:12.00% | WEGE3.SA:12.00% | BBAS3.SA:12.00% | TITULO_CDI:52.00%,18,triple_factor,0.48,0.16194535031404,0.10540624317644642
2015,2015-01-02,2016-01-04,0.049600783876844634,162.75113335030886,0.00012838996537302985,0.0494723939114716,1267631.2582330292,1330344.011174828,0.2915009570032812,ITUB4.SA:12.00% | BBDC4.SA:12.00% | WEGE3.SA:12.00% | ABEV3.SA:12.00% | TITULO_CDI:52.00%,25,triple_factor,0.48,0.03864712496495816,0.12954569629278212
2016,2016-01-04,2017-01-02,0.2744511942541985,178.4497140391813,0.000134138021850147,0.27431705623234837,1330344.011174828,1695280.0640966415,0.2857274380053172,ITUB4.SA:12.00% | WEGE3.SA:12.00% | ABEV3.SA:12.00% | BBAS3.SA:12.00% | TITULO_CDI:52.00%,31,triple_factor,0.48,0.12074157093313016,0.13821818995312585
2017,2017-01-02,2018-01-02,0.20534145041742136,346.4465620261292,0.0002043594857058259,0.20513709093171553,1695280.0640966415,2043044.8847599588,0.4072650050512222,ITUB4.SA:12.00% | BBDC4.SA:12.00% | ABEV3.SA:12.00% | BBAS3.SA:12.00% | TITULO_CDI:52.00%,39,triple_factor,0.48,0.26734539958374853,0.10022611215747501
2018,2018-01-02,2019-01-02,0.10802427438703055,280.4244223895982,0.00013725808203305615,0.10788701630499749,2043044.8847599588,2263462.901553898,0.3228618757335253,ITUB4.SA:12.00% | BBDC4.SA:12.00% | RENT3.SA:12.00% | ABEV3.SA:12.00% | TITULO_CDI:52.00%,47,triple_factor,0.48,0.08187887790526863,0.06288552611006737
2019,2019-01-02,2020-01-02,0.10855818335651746,366.51637987324557,0.00016192727507114302,0.10839625608144632,2263462.901553898,2508813.8058615876,0.3615526474617415,ITUB4.SA:12.00% | BBDC4.SA:12.00% | ABEV3.SA:12.00% | BBAS3.SA:12.00% | TITULO_CDI:52.00%,55,triple_factor,0.48,0.17868359912403162,0.05825368501784567
2020,2020-01-02,2021-01-04,-0.01801528487328441,278.733306509344,0.00011110163131999356,-0.018126386504604405,2508813.8058615876,2463338.077148453,0.2791669731053107,PETR4.SA:12.00% | ITUB4.SA:12.00% | ABEV3.SA:12.00% | BBAS3.SA:12.00% | TITULO_CDI:52.00%,63,triple_factor,0.48,0.17806367303064297,0.027172409622468585
2021,2021-01-04,2022-01-03,0.01103662346860479,558.0683975370467,0.0002265496574400635,0.010810073811164726,2463338.077148453,2489966.94358428,0.5545273478978692,VALE3.SA:12.00% | WEGE3.SA:12.00% | ABEV3.SA:12.00% | BBAS3.SA:12.00% | TITULO_CDI:52.00%,71,triple_factor,0.48,0.0037236163705244322,0.043186650987467656
2022,2022-01-03,2023-01-02,0.1875285670845448,280.02753889163705,0.00011246235200558144,0.18741610473253922,2489966.94358428,2956626.8490636325,0.26414100900488174,PETR4.SA:12.00% | VALE3.SA:12.00% | WEGE3.SA:12.00% | ABEV3.SA:12.00% | TITULO_CDI:52.00%,79,triple_factor,0.48,0.16760684264582132,0.12294915546054574
2023,2023-01-02,2024-01-02,0.2564648526375384,373.9764470482288,0.00012648753668954458,0.25633836510084884,2956626.8490636325,3714523.741765878,0.2751448065743337,PETR4.SA:12.00% | VALE3.SA:12.00% | WEGE3.SA:12.00% | BBAS3.SA:12.00% | TITULO_CDI:52.00%,87,triple_factor,0.48,0.29427108107572264,0.129326575852573
2024,2024-01-02,2025-01-02,0.12776509415292092,831.5837875670662,0.0002238735960189967,0.12754122055690192,3714523.741765878,4188278.633578289,0.4244157152450157,PETR4.SA:12.00% | ITUB4.SA:12.00% | WEGE3.SA:12.00% | BBAS3.SA:12.00% | TITULO_CDI:52.00%,95,triple_factor,0.48,-0.008054407633959072,0.10726695312630197
2025,2025-01-02,2026-01-02,0.13340731813405982,255.72950500255638,6.105837919958823e-05,0.13334625975486022,4188278.633578289,4746769.92417715,0.08341388964330956,PETR4.SA:12.00% | ITUB4.SA:12.00% | WEGE3.SA:12.00% | BBAS3.SA:12.00% | TITULO_CDI:52.00%,102,triple_factor,0.48,0.09996821920554659,0.14146323464468114
