decision_year,decision_date,holding_end_exclusive,gross_return,estimated_cost_brl,estimated_cost_rate,net_return,opening_wealth_brl,closing_wealth_brl,turnover,weights_at_decision,known_snapshot_count,factor,target_equity_weight,mvo_eligible_net_return,cdi_net_return
2013,2013-01-02,2014-01-02,0.06126111002721513,460.60529325925495,0.00046060529325925493,0.060800504733955874,1000000.0,1060800.504733956,1.0,ITUB4.SA:12.00% | BBDC4.SA:12.00% | WEGE3.SA:12.00% | RENT3.SA:7.00% | BBAS3.SA:12.00% | TITULO_CDI:45.00%,12,triple_factor,0.55,0.03720331669172189,0.07857469049866928
2014,2014-01-02,2015-01-02,0.18570206915479814,29.169379958793815,2.749751704361167e-05,0.18567457163775453,1060800.504733956,1257764.1840435471,0.04617918295880216,ITUB4.SA:12.00% | BBDC4.SA:12.00% | WEGE3.SA:12.00% | RENT3.SA:7.00% | BBAS3.SA:12.00% | TITULO_CDI:45.00%,18,triple_factor,0.55,0.16194535031404,0.10540624317644642
2015,2015-01-02,2016-01-04,0.018956143154636118,165.63570241062263,0.00013169058597147006,0.01882445256866465,1257764.1840435471,1281440.9062686402,0.2920074341908119,ITUB4.SA:12.00% | BBDC4.SA:12.00% | WEGE3.SA:12.00% | RENT3.SA:7.21% | ABEV3.SA:11.79% | TITULO_CDI:45.00%,25,triple_factor,0.5500000000000002,0.03864712496495816,0.12954569629278212
2016,2016-01-04,2017-01-02,0.32011066377462916,176.23769005469345,0.00013753087574507874,0.31997313289888407,1281440.9062686402,1691467.5676722021,0.2676134936456421,ITUB4.SA:12.00% | BBDC4.SA:7.44% | WEGE3.SA:11.56% | ABEV3.SA:12.00% | BBAS3.SA:12.00% | TITULO_CDI:45.00%,31,triple_factor,0.5499999999999999,0.12074157093313016,0.13821818995312585
2017,2017-01-02,2018-01-02,0.2597485595461515,295.43421946467424,0.00017466147451544156,0.25957389807163606,1691467.5676722021,2130528.3976746243,0.368802528302929,ITUB4.SA:12.00% | BBDC4.SA:12.00% | RENT3.SA:7.00% | ABEV3.SA:12.00% | BBAS3.SA:12.00% | TITULO_CDI:45.00%,39,triple_factor,0.55,0.26734539958374853,0.10022611215747501
2018,2018-01-02,2019-01-02,0.12401634457869126,222.95784154982283,0.00010464908226202066,0.12391169549642925,2130528.3976746243,2394525.7837337777,0.29866392045819495,VALE3.SA:9.24% | ITUB4.SA:12.00% | BBDC4.SA:12.00% | RENT3.SA:9.76% | ABEV3.SA:12.00% | TITULO_CDI:45.00%,47,triple_factor,0.55,0.08187887790526863,0.06288552611006737
2019,2019-01-02,2020-01-02,0.11485472783154549,451.0155012593109,0.00018835274371363988,0.11466637508783185,2394525.7837337777,2669097.3754088795,0.368488404210444,VALE3.SA:7.00% | ITUB4.SA:12.00% | BBDC4.SA:12.00% | ABEV3.SA:12.00% | BBAS3.SA:12.00% | TITULO_CDI:45.00%,55,triple_factor,0.55,0.17868359912403162,0.05825368501784567
2020,2020-01-02,2021-01-04,0.062330717356471776,540.0103011691542,0.00020231944557153145,0.062128397910900246,2669097.3754088795,2834924.1192112216,0.4537958585246987,PETR4.SA:12.00% | ITUB4.SA:9.91% | WEGE3.SA:9.09% | ABEV3.SA:12.00% | BBAS3.SA:12.00% | TITULO_CDI:45.00%,63,triple_factor,0.55,0.17806367303064297,0.027172409622468585
2021,2021-01-04,2022-01-03,-0.0037334508486059903,729.8376345108255,0.00025744520975534707,-0.003990896058361337,2834924.1192112216,2823610.231718108,0.5123170437988986,VALE3.SA:11.50% | BBDC4.SA:7.50% | WEGE3.SA:12.00% | ABEV3.SA:12.00% | BBAS3.SA:12.00% | TITULO_CDI:45.00%,71,triple_factor,0.55,0.0037236163705244322,0.043186650987467656
2022,2022-01-03,2023-01-02,0.21090842563891066,345.368163851143,0.0001223143902694366,0.21078611124864122,2823610.231718108,3418788.0521438424,0.24439287894252415,PETR4.SA:12.00% | VALE3.SA:12.00% | WEGE3.SA:10.24% | ABEV3.SA:11.09% | BBAS3.SA:9.67% | TITULO_CDI:45.00%,79,triple_factor,0.55,0.16760684264582132,0.12294915546054574
2023,2023-01-02,2024-01-02,0.2801269552767851,324.6969242902709,9.497427724033989e-05,0.28003198099954474,3418788.0521438424,4376158.043003258,0.23358603149728288,PETR4.SA:12.00% | VALE3.SA:12.00% | ITUB4.SA:7.00% | WEGE3.SA:12.00% | BBAS3.SA:12.00% | TITULO_CDI:45.00%,87,triple_factor,0.55,0.29427108107572264,0.129326575852573
2024,2024-01-02,2025-01-02,0.0999699606136466,696.5694506051896,0.00015917374184391882,0.09981078687180268,4376158.043003258,4812945.820750782,0.2571563106789987,PETR4.SA:12.00% | VALE3.SA:7.58% | ITUB4.SA:11.42% | WEGE3.SA:12.00% | BBAS3.SA:12.00% | TITULO_CDI:45.00%,95,triple_factor,0.55,-0.008054407633959072,0.10726695312630197
2025,2025-01-02,2026-01-02,0.16365237381778686,386.35046469020995,8.027317968643626e-05,0.16357210063810043,4812945.820750782,5600209.4789083535,0.10103444328404125,PETR4.SA:12.00% | VALE3.SA:8.35% | ITUB4.SA:12.00% | WEGE3.SA:12.00% | BBAS3.SA:10.65% | TITULO_CDI:45.00%,102,triple_factor,0.5499999999999999,0.09996821920554659,0.14146323464468114
