decision_year,decision_date,ticker,weight,previous_weight,decision_action,factor,value_quality_score,factor_signal_at_decision,trailing_12m_return_at_decision,trailing_12m_volatility_at_decision,eligible_at_decision,fundamental_status,decision_rationale,realised_next_year_return
2013,2013-01-02,BBDC4.SA,0.11999999968753412,0.0,entered,value_quality,0.7777777777777778,,0.18001831681698577,0.23910765856728014,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.08431124296929038
2013,2013-01-02,BBAS3.SA,0.11999999971583761,0.0,entered,value_quality,0.5555555555555555,,0.2113759403672777,0.3328919433313341,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.045818566894868074
2013,2013-01-02,TITULO_CDI,0.7600000003697955,0.0,entered,value_quality,,,,,True,CDI residual,"Defensive residual after equity, issuer and eligibility constraints.",0.07857469049866928
2014,2014-01-02,ITUB4.SA,0.07101389658172445,1.4813903260424086e-10,entered,value_quality,0.5555555555555555,,0.08520763818581223,0.2829706847514197,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.24570435215461384
2014,2014-01-02,BBAS3.SA,0.08720746620382744,0.11894465737751655,reduced,value_quality,0.6666666666666666,,0.07928484784458179,0.27242653914996534,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,0.05918232563371584
2014,2014-01-02,TITULO_CDI,0.8417786371771903,0.7769108101693161,increased,value_quality,,,,,True,CDI residual,"Defensive residual after equity, issuer and eligibility constraints.",0.10540624317644642
2015,2015-01-02,ITUB4.SA,0.1199999954433239,0.07959981312836943,increased,value_quality,0.6666666666666666,,0.26164115088013706,0.3375384768184513,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,-0.10037020901490024
2015,2015-01-02,BBDC4.SA,0.11999999806462147,2.0263286318678876e-11,entered,value_quality,0.8888888888888888,,0.26816447747322414,0.36278319711022533,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.2833163395698285
2015,2015-01-02,TITULO_CDI,0.7599999899294344,0.8372854342199142,reduced,value_quality,,,,,True,CDI residual,"Defensive residual after equity, issuer and eligibility constraints.",0.12954569629278212
2016,2016-01-04,TITULO_CDI,0.9999999996910974,0.8157018750973328,increased,value_quality,,,,,True,CDI residual,"Defensive residual after equity, issuer and eligibility constraints.",0.13821818995312585
2017,2017-01-02,ITUB4.SA,0.11999999828837038,2.434502005630467e-10,entered,value_quality,0.6666666666666666,,0.4900563000832405,0.3570309344675649,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.31758760914980355
2017,2017-01-02,BBDC4.SA,0.12000000009832901,4.602735112106124e-11,entered,value_quality,1.0,,0.7261177491703599,0.4191838663192432,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.3437502643972494
2017,2017-01-02,BBAS3.SA,0.11999999980113625,7.060124575857972e-11,entered,value_quality,0.3333333333333333,,0.9793404159895769,0.5606428355822141,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.19182088556863275
2017,2017-01-02,TITULO_CDI,0.6400000010458121,0.9999999995834051,reduced,value_quality,,,,,True,CDI residual,"Defensive residual after equity, issuer and eligibility constraints.",0.10022611215747501
2018,2018-01-02,ITUB4.SA,0.11999999434812814,0.13553989714158984,reduced,value_quality,0.7777777777777777,,0.2640544677502641,0.24051973071285426,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,0.295105004157717
2018,2018-01-02,BBDC4.SA,0.11999999644580958,0.1382312448164282,reduced,value_quality,0.7777777777777777,,0.2891518028253717,0.2633690915452753,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,0.2616934733888068
2018,2018-01-02,BBAS3.SA,0.06298671903126248,0.12260230830633947,reduced,value_quality,0.4444444444444444,,0.1396789060744903,0.3722044900902796,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,0.4869272443053476
2018,2018-01-02,TITULO_CDI,0.6970132870132407,0.6036265486387284,increased,value_quality,,,,,True,CDI residual,"Defensive residual after equity, issuer and eligibility constraints.",0.06288552611006737
2019,2019-01-02,ITUB4.SA,0.11999999971848323,0.13616942763826873,reduced,value_quality,0.7777777777777777,,0.33042936401510725,0.29498269908158864,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,0.08303963420876981
2019,2019-01-02,BBDC4.SA,0.11999999978534337,0.1326564877581331,reduced,value_quality,0.8888888888888888,,0.3171208706686732,0.3227575113135323,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,0.13737179078408657
2019,2019-01-02,BBAS3.SA,0.11999999991250423,0.08206011296144222,increased,value_quality,0.3333333333333333,,0.5698787667196505,0.41136638741376735,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,0.1445196719463835
2019,2019-01-02,TITULO_CDI,0.6400000002221002,0.6491139686480327,reduced,value_quality,,,,,True,CDI residual,"Defensive residual after equity, issuer and eligibility constraints.",0.05825368501784567
2020,2020-01-02,ITUB4.SA,0.11999999834242966,0.12021817652321926,reduced,value_quality,0.4444444444444444,,0.15731498904323882,0.25020599098263496,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,-0.13366899558444545
2020,2020-01-02,BBDC4.SA,0.11999999968753627,0.12624908495900658,reduced,value_quality,0.6666666666666666,,0.23273559975988967,0.2645375077698741,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,-0.18248226246976862
2020,2020-01-02,BBAS3.SA,0.11999999987899307,0.12704250503198966,reduced,value_quality,0.8888888888888888,,0.2618796282195921,0.3049130073701684,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,-0.2497437280487449
2020,2020-01-02,TITULO_CDI,0.6400000020514075,0.6264902330368787,increased,value_quality,,,,,True,CDI residual,"Defensive residual after equity, issuer and eligibility constraints.",0.027172409622468585
2021,2021-01-04,TITULO_CDI,0.999999942900566,0.6923666699637057,increased,value_quality,,,,,True,CDI residual,"Defensive residual after equity, issuer and eligibility constraints.",0.043186650987467656
2022,2022-01-03,TITULO_CDI,0.9999999917478004,0.999999957633966,maintained,value_quality,,,,,True,CDI residual,"Defensive residual after equity, issuer and eligibility constraints.",0.12294915546054574
2023,2023-01-02,ITUB4.SA,0.11999999527300279,0.0,entered,value_quality,0.4444444444444444,,0.21116317006594554,0.2661675679414799,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.4516839472667584
2023,2023-01-02,BBAS3.SA,0.11999999988857875,1.6504842224686135e-09,entered,value_quality,1.0,,0.3375154158280995,0.32315940566292967,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.8116049369710683
2023,2023-01-02,TITULO_CDI,0.7600000047815925,0.9999999926455665,reduced,value_quality,,,,,True,CDI residual,"Defensive residual after equity, issuer and eligibility constraints.",0.129326575852573
2024,2024-01-02,ITUB4.SA,0.1199999997926215,0.13937471428991594,reduced,value_quality,0.5555555555555555,,0.41233945990597687,0.23439749999807433,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,-0.01682768385408928
2024,2024-01-02,BBDC4.SA,0.11999999776118957,4.675005928935109e-11,entered,value_quality,0.4444444444444444,,0.2570764226064315,0.29696911273351845,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.26661974296132007
2024,2024-01-02,BBAS3.SA,0.11999999997849879,0.17393037284979848,reduced,value_quality,1.0,,0.7078796304427408,0.24698718041786313,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,-0.04320859384234421
2024,2024-01-02,TITULO_CDI,0.6400000024525694,0.6866949128034658,reduced,value_quality,,,,,True,CDI residual,"Defensive residual after equity, issuer and eligibility constraints.",0.10726695312630197
2025,2025-01-02,TITULO_CDI,0.999999960360648,0.6883766939479739,increased,value_quality,,,,,True,CDI residual,"Defensive residual after equity, issuer and eligibility constraints.",0.14146323464468114
