decision_year,decision_date,holding_end_exclusive,gross_return,estimated_cost_brl,estimated_cost_rate,net_return,opening_wealth_brl,closing_wealth_brl,turnover,weights_at_decision,known_snapshot_count,factor,mvo_eligible_net_return,cdi_net_return
2013,2013-01-02,2014-01-02,0.060795672650785004,198.32613485387313,0.00019832613485387313,0.060597346515931134,1000000.0,1060597.346515931,1.0,BBDC4.SA:12.00% | BBAS3.SA:12.00% | TITULO_CDI:76.00%,12,value_quality,0.059295672661402066,0.07857469049866928
2014,2014-01-02,2015-01-02,0.12460853993087317,179.6571171641287,0.00016939238793525505,0.12443914754293792,1060597.346515931,1192577.1762026753,0.27176344689613596,ITUB4.SA:7.10% | BBAS3.SA:8.72% | TITULO_CDI:84.18%,18,value_quality,0.1341156125130878,0.10540624317644642
2015,2015-01-02,2016-01-04,0.051737719455517084,237.13755711530843,0.0001988446214192913,0.05153887483409779,1192577.1762026753,1254041.2620169867,0.32080036071862533,ITUB4.SA:12.00% | BBDC4.SA:12.00% | TITULO_CDI:76.00%,25,value_quality,0.0513546671646611,0.12954569629278212
2016,2016-01-04,2017-01-02,0.13821819007453096,188.75421059358936,0.00015051674638679678,0.13806767332814415,1254041.2620169867,1427183.8213211615,0.3685962493151167,TITULO_CDI:100.00%,31,value_quality,0.13766529592959412,0.13821818995312585
2017,2017-01-02,2018-01-02,0.17638567266313943,422.84885705756125,0.0002962819860626818,0.17608939067707674,1427183.8213211615,1678495.7508017865,0.719999997075186,ITUB4.SA:12.00% | BBDC4.SA:12.00% | BBAS3.SA:12.00% | TITULO_CDI:64.00%,39,value_quality,0.17530567260362553,0.10022611215747501
2018,2018-01-02,2019-01-02,0.1486518762158502,127.94892454414848,7.622832794365409e-05,0.14857564788790653,1678495.7508017865,1927879.34445426,0.18677348113360662,ITUB4.SA:12.00% | BBDC4.SA:12.00% | BBAS3.SA:6.30% | TITULO_CDI:69.70%,47,value_quality,0.173705765344786,0.06288552611006737
2019,2019-01-02,2020-01-02,0.09038764752618111,104.14398960879063,5.401997272722038e-05,0.0903336275534539,1927879.34445426,2102031.679124188,0.0758797740492631,ITUB4.SA:12.00% | BBDC4.SA:12.00% | BBAS3.SA:12.00% | TITULO_CDI:64.00%,55,value_quality,0.09021861404518812,0.05825368501784567
2020,2020-01-02,2021-01-04,-0.02154859966542433,22.850143348019774,1.0870503796374892e-05,-0.021559470169220704,2102031.679124188,2056712.9898433534,0.02701953806260729,ITUB4.SA:12.00% | BBDC4.SA:12.00% | BBAS3.SA:12.00% | TITULO_CDI:64.00%,63,value_quality,-0.02158912912330643,0.027172409622468585
2021,2021-01-04,2022-01-03,0.04318663632626296,515.8457920799542,0.000250810781391157,0.042935825544871804,2056712.9898433534,2145019.6599711394,0.6152665458793534,TITULO_CDI:100.00%,71,value_quality,0.04226374942275221,0.043186650987467656
2022,2022-01-03,2023-01-02,0.12294915472303769,6.249385779573856e-05,2.9134398608066555e-11,0.12294915469390329,2145019.6599711394,2408748.0139663946,7.053155774338025e-08,TITULO_CDI:100.00%,79,value_quality,0.12294915524407396,0.12294915546054574
2023,2023-01-02,2024-01-02,0.23841273093716153,472.5599781837447,0.0001961848958229541,0.23821654604133857,2408748.0139663946,2982551.646137403,0.4799999870286553,ITUB4.SA:12.00% | BBAS3.SA:12.00% | TITULO_CDI:76.00%,87,value_quality,0.23769272724470888,0.129326575852573
2024,2024-01-02,2025-01-02,0.02745750128292701,473.27218327035604,0.00015868029775218615,0.027298820985174825,2982551.646137403,3063971.7896043463,0.23999999544801762,ITUB4.SA:12.00% | BBDC4.SA:12.00% | BBAS3.SA:12.00% | TITULO_CDI:64.00%,95,value_quality,0.027097506227434877,0.10726695312630197
2025,2025-01-02,2026-01-02,0.1414632427546212,785.773972488802,0.0002564560075764502,0.14120678674704473,3063971.7896043463,3496625.4006979684,0.6232465350467452,TITULO_CDI:100.00%,102,value_quality,0.14052836493845366,0.14146323464468114
