decision_year,decision_date,ticker,previous_weight,new_weight,reason,decision_action,factor
2013,2013-01-02,BBDC4.SA,0.0,0.11999999968753412,entered_after_point_in_time_screen,entered,value_quality
2013,2013-01-02,BBAS3.SA,0.0,0.11999999971583761,entered_after_point_in_time_screen,entered,value_quality
2013,2013-01-02,TITULO_CDI,0.0,0.7600000003697955,defensive_residual_adjustment,entered,value_quality
2014,2014-01-02,ITUB4.SA,1.4813903260424086e-10,0.07101389658172445,entered_after_point_in_time_screen,entered,value_quality
2014,2014-01-02,BBDC4.SA,0.10414453222718642,1.787981434468214e-11,removed_by_constrained_allocator,exited,value_quality
2014,2014-01-02,BBAS3.SA,0.11894465737751655,0.08720746620382744,rebalanced_after_point_in_time_review,reduced,value_quality
2014,2014-01-02,TITULO_CDI,0.7769108101693161,0.8417786371771903,defensive_residual_adjustment,increased,value_quality
2015,2015-01-02,ITUB4.SA,0.07959981312836943,0.1199999954433239,rebalanced_after_point_in_time_review,increased,value_quality
2015,2015-01-02,BBDC4.SA,2.0263286318678876e-11,0.11999999806462147,entered_after_point_in_time_screen,entered,value_quality
2015,2015-01-02,BBAS3.SA,0.08311475261510011,1.6562620169602048e-08,removed_by_constrained_allocator,exited,value_quality
2015,2015-01-02,TITULO_CDI,0.8372854342199142,0.7599999899294344,defensive_residual_adjustment,reduced,value_quality
2016,2016-01-04,ITUB4.SA,0.10257915731314513,1.7645227496198753e-10,removed_by_constrained_allocator,exited,value_quality
2016,2016-01-04,BBDC4.SA,0.08171895627471147,2.9725051574343924e-11,removed_by_constrained_allocator,exited,value_quality
2016,2016-01-04,TITULO_CDI,0.8157018750973328,0.9999999996910974,defensive_residual_adjustment,increased,value_quality
2017,2017-01-02,ITUB4.SA,2.434502005630467e-10,0.11999999828837038,entered_after_point_in_time_screen,entered,value_quality
2017,2017-01-02,BBDC4.SA,4.602735112106124e-11,0.12000000009832901,entered_after_point_in_time_screen,entered,value_quality
2017,2017-01-02,BBAS3.SA,7.060124575857972e-11,0.11999999980113625,entered_after_point_in_time_screen,entered,value_quality
2017,2017-01-02,TITULO_CDI,0.9999999995834051,0.6400000010458121,defensive_residual_adjustment,reduced,value_quality
2018,2018-01-02,ITUB4.SA,0.13553989714158984,0.11999999434812814,rebalanced_after_point_in_time_review,reduced,value_quality
2018,2018-01-02,BBDC4.SA,0.1382312448164282,0.11999999644580958,rebalanced_after_point_in_time_review,reduced,value_quality
2018,2018-01-02,BBAS3.SA,0.12260230830633947,0.06298671903126248,rebalanced_after_point_in_time_review,reduced,value_quality
2018,2018-01-02,TITULO_CDI,0.6036265486387284,0.6970132870132407,defensive_residual_adjustment,increased,value_quality
2019,2019-01-02,ITUB4.SA,0.13616942763826873,0.11999999971848323,rebalanced_after_point_in_time_review,reduced,value_quality
2019,2019-01-02,BBDC4.SA,0.1326564877581331,0.11999999978534337,rebalanced_after_point_in_time_review,reduced,value_quality
2019,2019-01-02,BBAS3.SA,0.08206011296144222,0.11999999991250423,rebalanced_after_point_in_time_review,increased,value_quality
2019,2019-01-02,TITULO_CDI,0.6491139686480327,0.6400000002221002,defensive_residual_adjustment,reduced,value_quality
2020,2020-01-02,ITUB4.SA,0.12021817652321926,0.11999999834242966,rebalanced_after_point_in_time_review,reduced,value_quality
2020,2020-01-02,BBDC4.SA,0.12624908495900658,0.11999999968753627,rebalanced_after_point_in_time_review,reduced,value_quality
2020,2020-01-02,BBAS3.SA,0.12704250503198966,0.11999999987899307,rebalanced_after_point_in_time_review,reduced,value_quality
2020,2020-01-02,TITULO_CDI,0.6264902330368787,0.6400000020514075,defensive_residual_adjustment,increased,value_quality
2021,2021-01-04,ITUB4.SA,0.10949087577457095,2.594761319714518e-08,removed_by_constrained_allocator,exited,value_quality
2021,2021-01-04,BBDC4.SA,0.10332163294462998,2.6796987080578636e-08,removed_by_constrained_allocator,exited,value_quality
2021,2021-01-04,BBAS3.SA,0.09482082126170985,4.343609647657336e-09,removed_by_constrained_allocator,exited,value_quality
2021,2021-01-04,TITULO_CDI,0.6923666699637057,0.999999942900566,defensive_residual_adjustment,increased,value_quality
2023,2023-01-02,ITUB4.SA,0.0,0.11999999527300279,entered_after_point_in_time_screen,entered,value_quality
2023,2023-01-02,BBAS3.SA,1.6504842224686135e-09,0.11999999988857875,entered_after_point_in_time_screen,entered,value_quality
2023,2023-01-02,TITULO_CDI,0.9999999926455665,0.7600000047815925,defensive_residual_adjustment,reduced,value_quality
2024,2024-01-02,ITUB4.SA,0.13937471428991594,0.1199999997926215,rebalanced_after_point_in_time_review,reduced,value_quality
2024,2024-01-02,BBDC4.SA,4.675005928935109e-11,0.11999999776118957,entered_after_point_in_time_screen,entered,value_quality
2024,2024-01-02,BBAS3.SA,0.17393037284979848,0.11999999997849879,rebalanced_after_point_in_time_review,reduced,value_quality
2024,2024-01-02,TITULO_CDI,0.6866949128034658,0.6400000024525694,defensive_residual_adjustment,reduced,value_quality
2025,2025-01-02,ITUB4.SA,0.11460530750324749,2.294396250619609e-08,removed_by_constrained_allocator,exited,value_quality
2025,2025-01-02,BBDC4.SA,0.08548783063926159,6.375444815476463e-10,removed_by_constrained_allocator,exited,value_quality
2025,2025-01-02,BBAS3.SA,0.11153016789453606,1.494025840062091e-08,removed_by_constrained_allocator,exited,value_quality
2025,2025-01-02,TITULO_CDI,0.6883766939479739,0.999999960360648,defensive_residual_adjustment,increased,value_quality
