reference,window_years,windows,windows_strategy_wins,win_rate,independent_windows
CDI,1,11,6,0.5454545454545454,11
CDI,3,9,8,0.8888888888888888,3
CDI,5,7,6,0.8571428571428571,2
CDI,10,2,2,1.0,1
MVO de referência,1,11,10,0.9090909090909091,11
MVO de referência,3,9,9,1.0,3
MVO de referência,5,7,7,1.0,2
MVO de referência,10,2,2,1.0,1
Ibovespa,1,11,7,0.6363636363636364,11
Ibovespa,3,9,7,0.7777777777777778,3
Ibovespa,5,7,7,1.0,2
Ibovespa,10,2,2,1.0,1
BOVA11 (ETF investível),1,11,7,0.6363636363636364,11
BOVA11 (ETF investível),3,9,7,0.7777777777777778,3
BOVA11 (ETF investível),5,7,7,1.0,2
BOVA11 (ETF investível),10,2,2,1.0,1
