reference,window_years,windows,windows_strategy_wins,win_rate,independent_windows
CDI,1,11,7,0.6363636363636364,11
CDI,3,9,6,0.6666666666666666,3
CDI,5,7,7,1.0,2
CDI,10,2,2,1.0,1
MVO de referência,1,11,8,0.7272727272727273,11
MVO de referência,3,9,6,0.6666666666666666,3
MVO de referência,5,7,3,0.42857142857142855,2
MVO de referência,10,2,2,1.0,1
Ibovespa,1,11,4,0.36363636363636365,11
Ibovespa,3,9,3,0.3333333333333333,3
Ibovespa,5,7,5,0.7142857142857143,2
Ibovespa,10,2,1,0.5,1
BOVA11 (ETF investível),1,11,4,0.36363636363636365,11
BOVA11 (ETF investível),3,9,3,0.3333333333333333,3
BOVA11 (ETF investível),5,7,5,0.7142857142857143,2
BOVA11 (ETF investível),10,2,1,0.5,1
