universe_year,accepted,review_required,equities,accepted_share
2013,297,47,344,0.8633720930232558
2014,268,45,313,0.8562300319488818
2015,246,39,285,0.8631578947368421
2016,237,39,276,0.8586956521739131
2017,237,40,277,0.855595667870036
2018,278,37,315,0.8825396825396825
2019,285,43,328,0.8689024390243902
2020,323,35,358,0.9022346368715084
2021,365,30,395,0.9240506329113924
2022,372,23,395,0.9417721518987342
2023,357,20,377,0.946949602122016
2024,366,16,382,0.9581151832460733
2025,347,10,357,0.9719887955182073
