universe_year,accepted,review_required,equities,accepted_share
2013,167,177,344,0.48546511627906974
2014,152,161,313,0.48562300319488816
2015,143,142,285,0.5017543859649123
2016,138,138,276,0.5
2017,132,145,277,0.47653429602888087
2018,150,165,315,0.47619047619047616
2019,151,177,328,0.4603658536585366
2020,160,198,358,0.44692737430167595
2021,189,206,395,0.47848101265822784
2022,183,212,395,0.46329113924050636
2023,176,201,377,0.46684350132625996
2024,185,197,382,0.48429319371727747
2025,174,183,357,0.48739495798319327
