decision_date,ticker,ticker_raw,asset_class,issuer_name,specification,isin,observed_at,close_price_brl,average_daily_value_brl,trading_days,trade_count,quantity,source,universe_year
2017-01-02,DAGB33.SA,DAGB33,bdr,DUFRY AG,DR3,BRDAGBBDR008,2017-01-02,410.69,3639622.1985,60,334,1217,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,CZLT33.SA,CZLT33,bdr,COSAN LTD,DR3,BRCZLTBDR009,2017-01-02,24.79,3532227.683333333,60,36,7500,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,GPIV33.SA,GPIV33,bdr,GP INVEST,DR3,BRGPIVBDR003,2017-01-02,7.02,417439.1666666667,60,1,200,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,PETR4.SA,PETR4,equity,PETROBRAS,PN,BRPETRACNPR6,2017-01-02,14.66,833477981.2166667,60,6897,7525700,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,VALE5.SA,VALE5,equity,VALE,PNA     N1,BRVALEACNPA3,2017-01-02,22.85,585584420.6666666,60,6285,3943800,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,ITUB4.SA,ITUB4,equity,ITAUUNIBANCO,PN  EDJ N1,BRITUBACNPR1,2017-01-02,33.53,453383337.3666667,60,5971,2070100,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,BBDC4.SA,BBDC4,equity,BRADESCO,PN  EJ  N1,BRBBDCACNPR8,2017-01-02,28.8,316556877.6,60,8908,2690000,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,ABEV3.SA,ABEV3,equity,AMBEV S/A,ON  EJ,BRABEVACNOR1,2017-01-02,16.31,240784527.41666666,60,9421,4265400,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,BBAS3.SA,BBAS3,equity,BRASIL,ON      NM,BRBBASACNOR3,2017-01-02,27.54,234633977.15,60,4784,1968200,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,PETR3.SA,PETR3,equity,PETROBRAS,ON,BRPETRACNOR9,2017-01-02,16.53,197643550.45,60,2973,1781200,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,BVMF3.SA,BVMF3,equity,BMFBOVESPA,ON  EJ  NM,BRBVMFACNOR3,2017-01-02,16.28,195587557.45,60,7662,2806500,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,VALE3.SA,VALE3,equity,VALE,ON      N1,BRVALEACNOR0,2017-01-02,25.06,178424618.01666668,60,3538,1118500,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,ITSA4.SA,ITSA4,equity,ITAUSA,PN  EJ  N1,BRITSAACNPR7,2017-01-02,8.21,178277726.01666668,60,7630,4144900,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,CIEL3.SA,CIEL3,equity,CIELO,ON      NM,BRCIELACNOR3,2017-01-02,27.25,171602902.28333333,60,4199,1859300,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,GGBR4.SA,GGBR4,equity,GERDAU,PN      N1,BRGGBRACNPR8,2017-01-02,10.84,154498285.98333332,60,4877,3194600,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,KROT3.SA,KROT3,equity,KROTON,ON      NM,BRKROTACNOR9,2017-01-02,13.3,136547955.45,60,7773,2251300,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,GOAU4.SA,GOAU4,equity,GERDAU MET,PN      N1,BRGOAUACNPR8,2017-01-02,4.74,117757066.96666667,60,4732,6472500,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,JBSS3.SA,JBSS3,equity,JBS,ON      NM,BRJBSSACNOR8,2017-01-02,11.3,117477912.36666666,60,4271,1541000,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,BRFS3.SA,BRFS3,equity,BRF SA,ON      NM,BRBRFSACNOR8,2017-01-02,47.9,109351573.3,60,2574,600200,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,USIM5.SA,USIM5,equity,USIMINAS,PNA     N1,BRUSIMACNPA6,2017-01-02,4.08,105689237.26666667,60,2185,4123200,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,BBSE3.SA,BBSE3,equity,BBSEGURIDADE,ON      NM,BRBBSEACNOR5,2017-01-02,27.82,104085699.93333334,60,4422,1035100,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,VIVT4.SA,VIVT4,equity,TELEF BRASIL,PN  EJ,BRVIVTACNPR7,2017-01-02,44.08,97506233.15,60,3521,591600,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,UGPA3.SA,UGPA3,equity,ULTRAPAR,ON      NM,BRUGPAACNOR8,2017-01-02,67.9,95500158.5,60,2109,383800,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,LREN3.SA,LREN3,equity,LOJAS RENNER,ON      NM,BRLRENACNOR1,2017-01-02,23.14,79671871.38333334,60,2408,554600,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
2017-01-02,BRML3.SA,BRML3,equity,BR MALLS PAR,ON      NM,BRBRMLACNOR9,2017-01-02,12.08,78466982.85,60,6062,1876000,B3 COTAHIST official annual file; last trading session 2017-01-02; 60-session average traded value,2017
