decision_date,ticker,ticker_raw,asset_class,issuer_name,specification,isin,observed_at,close_price_brl,average_daily_value_brl,trading_days,trade_count,quantity,source,universe_year
2020-01-02,GBIO33.SA,GBIO33,bdr,BIOTOSCANA,DR3,BRGBIOBDR008,2020-01-02,9.93,6592113.85,60,661,134400,B3 COTAHIST official annual file; last trading session 2020-01-02; 60-session average traded value,2020
2020-01-02,MELI34.SA,MELI34,bdr,MERCADOLIBRE,DRN,BRMELIBDR006,2020-01-02,245.6,2806447.5714285714,56,1,4300,B3 COTAHIST official annual file; last trading session 2020-01-02; 60-session average traded value,2020
2020-01-02,BABA34.SA,BABA34,bdr,ALIBABAGR,DRN,BRBABABDR005,2020-01-02,892.29,2655633.8666666667,15,2,1600,B3 COTAHIST official annual file; last trading session 2020-01-02; 60-session average traded value,2020
2020-01-02,WSON33.SA,WSON33,bdr,WILSON SONS,DR3,BRWSONBDR009,2020-01-02,46.0,1758003.0166666666,60,39,16600,B3 COTAHIST official annual file; last trading session 2020-01-02; 60-session average traded value,2020
2020-01-02,GPRK34.SA,GPRK34,bdr,GEOPARK LTD,DRN,BRGPRKBDR007,2020-01-02,88.58,1568134.0,2,2,25100,B3 COTAHIST official annual file; last trading session 2020-01-02; 60-session average traded value,2020
2020-01-02,BERK34.SA,BERK34,bdr,BERKSHIRE,DRN,BRBERKBDR002,2020-01-02,921.84,1185682.5238095238,42,3,11700,B3 COTAHIST official annual file; last trading session 2020-01-02; 60-session average traded value,2020
2020-01-02,AMZO34.SA,AMZO34,bdr,AMAZON,DRN,BRAMZOBDR002,2020-01-02,3803.38,1092987.7924528301,53,2,300,B3 COTAHIST official annual file; last trading session 2020-01-02; 60-session average traded value,2020
2020-01-02,GOGL34.SA,GOGL34,bdr,ALPHABET,DRN A,BRGOGLBDR001,2020-01-02,221.12,1083012.4827586208,58,6,7000,B3 COTAHIST official annual file; last trading session 2020-01-02; 60-session average traded value,2020
2020-01-02,MSFT34.SA,MSFT34,bdr,MICROSOFT,DRN,BRMSFTBDR005,2020-01-02,646.28,1032017.5178571428,56,2,500,B3 COTAHIST official annual file; last trading session 2020-01-02; 60-session average traded value,2020
2020-01-02,AAPL34.SA,AAPL34,bdr,APPLE,DRN,BRAAPLBDR004,2020-01-02,121.34,911391.0833333334,60,9,12700,B3 COTAHIST official annual file; last trading session 2020-01-02; 60-session average traded value,2020
2020-01-02,XRXB34.SA,XRXB34,bdr,XEROX CORP,DRN ED,BRXRXBBDR005,2020-01-02,147.68,752895.0,3,2,15000,B3 COTAHIST official annual file; last trading session 2020-01-02; 60-session average traded value,2020
2020-01-02,DISB34.SA,DISB34,bdr,WALT DISNEY,DRN,BRDISBBDR006,2020-01-02,590.95,669919.8545454545,55,2,1300,B3 COTAHIST official annual file; last trading session 2020-01-02; 60-session average traded value,2020
2020-01-02,VISA34.SA,VISA34,bdr,VISA INC,DRN,BRVISABDR000,2020-01-02,765.79,656089.9807692308,52,1,500,B3 COTAHIST official annual file; last trading session 2020-01-02; 60-session average traded value,2020
2020-01-02,CMCS34.SA,CMCS34,bdr,COMCAST,DRN,BRCMCSBDR008,2020-01-02,181.63,653075.0,58,1,2800,B3 COTAHIST official annual file; last trading session 2020-01-02; 60-session average traded value,2020
2020-01-02,MUTC34.SA,MUTC34,bdr,MICRON TECHN,DRN,BRMUTCBDR008,2020-01-02,221.83,626334.6666666666,12,1,700,B3 COTAHIST official annual file; last trading session 2020-01-02; 60-session average traded value,2020
