decision_date,ticker,ticker_raw,asset_class,issuer_name,specification,isin,observed_at,close_price_brl,average_daily_value_brl,trading_days,trade_count,quantity,source,universe_year
2021-01-04,TSLA34.SA,TSLA34,bdr,TESLA INC,DRN,BRTSLABDR008,2021-01-04,120.46,31400027.042999998,60,6089,522481,B3 COTAHIST official annual file; last trading session 2021-01-04; 60-session average traded value,2021
2021-01-04,MELI34.SA,MELI34,bdr,MERCADOLIBRE,DRN,BRMELIBDR006,2021-01-04,72.5,20841324.916,60,4554,473415,B3 COTAHIST official annual file; last trading session 2021-01-04; 60-session average traded value,2021
2021-01-04,AAPL34.SA,AAPL34,bdr,APPLE,DRN,BRAAPLBDR004,2021-01-04,68.54,13272897.269333333,60,2431,283897,B3 COTAHIST official annual file; last trading session 2021-01-04; 60-session average traded value,2021
2021-01-04,AMZO34.SA,AMZO34,bdr,AMAZON,DRN,BRAMZOBDR002,2021-01-04,107.41,12006714.704499999,60,2285,151994,B3 COTAHIST official annual file; last trading session 2021-01-04; 60-session average traded value,2021
2021-01-04,BABA34.SA,BABA34,bdr,ALIBABAGR,DRN,BRBABABDR005,2021-01-04,43.28,11091595.762833333,60,4943,777183,B3 COTAHIST official annual file; last trading session 2021-01-04; 60-session average traded value,2021
2021-01-04,AURA33.SA,AURA33,bdr,AURA 360,DR3,BRAURABDR001,2021-01-04,63.0,9908938.948333332,36,6930,177888,B3 COTAHIST official annual file; last trading session 2021-01-04; 60-session average traded value,2021
2021-01-04,FBOK34.SA,FBOK34,bdr,FACEBOOK,DRN,BRFBOKBDR006,2021-01-04,50.81,9032781.279333333,60,2195,132315,B3 COTAHIST official annual file; last trading session 2021-01-04; 60-session average traded value,2021
2021-01-04,MSFT34.SA,MSFT34,bdr,MICROSOFT,DRN,BRMSFTBDR005,2021-01-04,48.1,8007899.731666666,60,1591,183434,B3 COTAHIST official annual file; last trading session 2021-01-04; 60-session average traded value,2021
2021-01-04,GOGL34.SA,GOGL34,bdr,ALPHABET,DRN A,BRGOGLBDR001,2021-01-04,61.15,7873664.1625,60,1782,92065,B3 COTAHIST official annual file; last trading session 2021-01-04; 60-session average traded value,2021
2021-01-04,PFIZ34.SA,PFIZ34,bdr,PFIZER,DRN,BRPFIZBDR006,2021-01-04,49.0,5202976.525833334,60,1155,147620,B3 COTAHIST official annual file; last trading session 2021-01-04; 60-session average traded value,2021
2021-01-04,DISB34.SA,DISB34,bdr,WALT DISNEY,DRN,BRDISBBDR006,2021-01-04,919.0,5090775.047166666,60,660,5971,B3 COTAHIST official annual file; last trading session 2021-01-04; 60-session average traded value,2021
2021-01-04,BERK34.SA,BERK34,bdr,BERKSHIRE,DRN,BRBERKBDR002,2021-01-04,1210.4,3934360.4560000002,60,400,2453,B3 COTAHIST official annual file; last trading session 2021-01-04; 60-session average traded value,2021
2021-01-04,BEGU39.SA,BEGU39,bdr,TRUSTMSCI US,DRN,BRBEGUBDR004,2021-01-04,44.77,3744496.8215789474,19,250,252657,B3 COTAHIST official annual file; last trading session 2021-01-04; 60-session average traded value,2021
2021-01-04,MSCD34.SA,MSCD34,bdr,MASTERCARD,DRN,BRMSCDBDR006,2021-01-04,1856.0,3534938.2315254235,59,108,629,B3 COTAHIST official annual file; last trading session 2021-01-04; 60-session average traded value,2021
2021-01-04,NVDC34.SA,NVDC34,bdr,NVIDIA CORP,DRN,BRNVDCBDR008,2021-01-04,57.8,3465352.682666667,60,393,59387,B3 COTAHIST official annual file; last trading session 2021-01-04; 60-session average traded value,2021
2021-01-04,A1LB34.SA,A1LB34,bdr,ALBEMARLE CO,DRN,BRA1LBBDR008,2021-01-04,805.86,3115488.0445,40,16,1376,B3 COTAHIST official annual file; last trading session 2021-01-04; 60-session average traded value,2021
2021-01-04,M1RN34.SA,M1RN34,bdr,MODERNA INC,DRN,BRM1RNBDR006,2021-01-04,57.8,2955091.9596226416,53,534,294595,B3 COTAHIST official annual file; last trading session 2021-01-04; 60-session average traded value,2021
2021-01-04,VISA34.SA,VISA34,bdr,VISA INC,DRN,BRVISABDR000,2021-01-04,1147.9,2715647.6126666665,60,103,2532,B3 COTAHIST official annual file; last trading session 2021-01-04; 60-session average traded value,2021
2021-01-04,JNJB34.SA,JNJB34,bdr,JOHNSON,DRN,BRJNJBBDR002,2021-01-04,829.25,2589272.8646666664,60,308,4630,B3 COTAHIST official annual file; last trading session 2021-01-04; 60-session average traded value,2021
2021-01-04,SSFO34.SA,SSFO34,bdr,SALESFORCE,DRN,BRSSFOBDR003,2021-01-04,52.36,2474787.0725,60,186,30975,B3 COTAHIST official annual file; last trading session 2021-01-04; 60-session average traded value,2021
2021-01-04,N1EM34.SA,N1EM34,bdr,NEWMONT GOLD,DRN,BRN1EMBDR005,2021-01-04,334.6,2470511.315833333,60,79,661,B3 COTAHIST official annual file; last trading session 2021-01-04; 60-session average traded value,2021
2021-01-04,NFLX34.SA,NFLX34,bdr,NETFLIX,DRN,BRNFLXBDR000,2021-01-04,55.3,2415018.7563333334,60,477,20426,B3 COTAHIST official annual file; last trading session 2021-01-04; 60-session average traded value,2021
2021-01-04,HOME34.SA,HOME34,bdr,HOME DEPOT,DRN,BRHOMEBDR002,2021-01-04,49.82,2370744.9483333332,60,174,13583,B3 COTAHIST official annual file; last trading session 2021-01-04; 60-session average traded value,2021
2021-01-04,WSON33.SA,WSON33,bdr,WILSON SONS,DR3,BRWSONBDR009,2021-01-04,45.0,2339817.6245,60,385,8540,B3 COTAHIST official annual file; last trading session 2021-01-04; 60-session average traded value,2021
2021-01-04,S1PL34.SA,S1PL34,bdr,SPLUNK INC,DRN,BRS1PLBDR008,2021-01-04,43.93,2181877.0104,25,2,8809,B3 COTAHIST official annual file; last trading session 2021-01-04; 60-session average traded value,2021
2021-01-04,ASML34.SA,ASML34,bdr,ASML HOLD,DRN,BRASMLBDR003,2021-01-04,2620.1,1795217.6596153846,26,1,2,B3 COTAHIST official annual file; last trading session 2021-01-04; 60-session average traded value,2021
2021-01-04,JPMC34.SA,JPMC34,bdr,JPMORGAN,DRN,BRJPMCBDR009,2021-01-04,66.82,1764782.8246666668,60,322,19128,B3 COTAHIST official annual file; last trading session 2021-01-04; 60-session average traded value,2021
2021-01-04,PYPL34.SA,PYPL34,bdr,PAYPAL HOLD,DRN,BRPYPLBDR002,2021-01-04,61.19,1755862.0238333335,60,291,31345,B3 COTAHIST official annual file; last trading session 2021-01-04; 60-session average traded value,2021
2021-01-04,U1BE34.SA,U1BE34,bdr,UBER TECH IN,DRN,BRU1BEBDR009,2021-01-04,67.6,1537206.6003333332,60,384,81844,B3 COTAHIST official annual file; last trading session 2021-01-04; 60-session average traded value,2021
2021-01-04,JDCO34.SA,JDCO34,bdr,JD COM,DRN,BRJDCOBDR001,2021-01-04,487.88,1473276.5593333333,60,153,791,B3 COTAHIST official annual file; last trading session 2021-01-04; 60-session average traded value,2021
2021-01-04,CMCS34.SA,CMCS34,bdr,COMCAST,DRN,BRCMCSBDR008,2021-01-04,53.54,1446774.6101666666,60,161,5015,B3 COTAHIST official annual file; last trading session 2021-01-04; 60-session average traded value,2021
2021-01-04,MCDC34.SA,MCDC34,bdr,MCDONALDS,DRN,BRMCDCBDR000,2021-01-04,55.61,1396176.929322034,59,390,37699,B3 COTAHIST official annual file; last trading session 2021-01-04; 60-session average traded value,2021
2021-01-04,WALM34.SA,WALM34,bdr,WAL MART,DRN,BRWALMBDR005,2021-01-04,48.53,1383204.4761666665,60,326,127531,B3 COTAHIST official annual file; last trading session 2021-01-04; 60-session average traded value,2021
2021-01-04,W1DA34.SA,W1DA34,bdr,WORKDAY INC,DRN,BRW1DABDR001,2021-01-04,296.65,1337859.2705882355,17,4,600,B3 COTAHIST official annual file; last trading session 2021-01-04; 60-session average traded value,2021
2021-01-04,GMCO34.SA,GMCO34,bdr,GENERAL MOT,DRN,BRGMCOBDR008,2021-01-04,54.8,1290225.626,60,2194,16593,B3 COTAHIST official annual file; last trading session 2021-01-04; 60-session average traded value,2021
2021-01-04,TSMC34.SA,TSMC34,bdr,TAIWANSMFAC,DRN,BRTSMCBDR002,2021-01-04,73.89,1276629.4670175437,57,148,10202,B3 COTAHIST official annual file; last trading session 2021-01-04; 60-session average traded value,2021
2021-01-04,GPIV33.SA,GPIV33,bdr,GP INVEST,DR3,BRGPIVBDR003,2021-01-04,4.19,1234655.7706666666,60,336,183594,B3 COTAHIST official annual file; last trading session 2021-01-04; 60-session average traded value,2021
2021-01-04,AXPB34.SA,AXPB34,bdr,AMERICAN EXP,DRN,BRAXPBBDR007,2021-01-04,623.0,1211639.737777778,45,76,275,B3 COTAHIST official annual file; last trading session 2021-01-04; 60-session average traded value,2021
2021-01-04,PEPB34.SA,PEPB34,bdr,PEPSICO INC,DRN,BRPEPBBDR005,2021-01-04,763.27,1153980.7272413792,58,150,1114,B3 COTAHIST official annual file; last trading session 2021-01-04; 60-session average traded value,2021
2021-01-04,BIDU34.SA,BIDU34,bdr,BAIDU INC,DRN,BRBIDUBDR002,2021-01-04,1141.81,1138105.8398245613,57,48,461,B3 COTAHIST official annual file; last trading session 2021-01-04; 60-session average traded value,2021
2021-01-04,GOGL35.SA,GOGL35,bdr,ALPHABET,DRN C,BRGOGLBDR019,2021-01-04,61.18,1071618.7733898305,59,54,4873,B3 COTAHIST official annual file; last trading session 2021-01-04; 60-session average traded value,2021
2021-01-04,NIKE34.SA,NIKE34,bdr,NIKE,DRN,BRNIKEBDR006,2021-01-04,738.02,1048940.9203333333,60,193,1111,B3 COTAHIST official annual file; last trading session 2021-01-04; 60-session average traded value,2021
2021-01-04,COCA34.SA,COCA34,bdr,COCA COLA,DRN,BRCOCABDR002,2021-01-04,279.07,1023991.6085,60,495,4129,B3 COTAHIST official annual file; last trading session 2021-01-04; 60-session average traded value,2021
2021-01-04,BKNG34.SA,BKNG34,bdr,BOOKING,DRN,BRBKNGBDR006,2021-01-04,65.4,997719.3269999999,60,260,7997,B3 COTAHIST official annual file; last trading session 2021-01-04; 60-session average traded value,2021
2021-01-04,SBUB34.SA,SBUB34,bdr,STARBUCKS,DRN,BRSBUBBDR005,2021-01-04,544.0,994043.6262264152,53,129,1160,B3 COTAHIST official annual file; last trading session 2021-01-04; 60-session average traded value,2021
2021-01-04,RIGG34.SA,RIGG34,bdr,TRANSOCEAN,DRN,BRRIGGBDR000,2021-01-04,12.21,976075.3028333334,60,320,114089,B3 COTAHIST official annual file; last trading session 2021-01-04; 60-session average traded value,2021
