decision_date,ticker,ticker_raw,asset_class,issuer_name,specification,isin,observed_at,close_price_brl,average_daily_value_brl,trading_days,trade_count,quantity,source,universe_year
2024-01-02,XPBR31.SA,XPBR31,bdr,XP INC,DR1,BRXPBRBDR001,2024-01-02,125.4,98005958.72966667,60,18269,900041,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,INBR32.SA,INBR32,bdr,INTER CO,DR2,BRINBRBDR007,2024-01-02,26.26,75512360.48933333,60,26940,7668995,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,MELI34.SA,MELI34,bdr,MERCADOLIBRE,DRN,BRMELIBDR006,2024-01-02,62.58,31891124.751999997,60,9100,717896,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,EXCO32.SA,EXCO32,bdr,EXITO,DR2,BREXCOBDR000,2024-01-02,17.31,31202360.34,60,6566,2321629,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,TSLA34.SA,TSLA34,bdr,TESLA INC,DRN,BRTSLABDR008,2024-01-02,38.08,25884989.0635,60,2592,922280,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,ROXO34.SA,ROXO34,bdr,NU HOLDINGS,DRN,BRROXOBDR007,2024-01-02,6.68,25796297.662,60,9741,3137175,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,NVDC34.SA,NVDC34,bdr,NVIDIA CORP,DRN,BRNVDCBDR008,2024-01-02,49.16,12414975.9685,60,1431,315525,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,MSFT34.SA,MSFT34,bdr,MICROSOFT,DRN,BRMSFTBDR005,2024-01-02,75.9,8465343.052666666,60,956,108238,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,AMZO34.SA,AMZO34,bdr,AMAZON,DRN,BRAMZOBDR002,2024-01-02,37.13,7219186.219500001,60,1646,90044,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,AAPL34.SA,AAPL34,bdr,APPLE,DRN,BRAAPLBDR004,2024-01-02,45.79,6280399.1365,60,4169,183240,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
2024-01-02,GOGL34.SA,GOGL34,bdr,ALPHABET,DRN A,BRGOGLBDR001,2024-01-02,56.85,5802441.8645,60,873,66006,B3 COTAHIST official annual file; last trading session 2024-01-02; 60-session average traded value,2024
