universe_year,decision_date,status,instruments,equities,reason
2013,2013-01-02,accepted,443,344,
2014,2014-01-02,accepted,407,313,
2015,2015-01-02,accepted,419,285,
2016,2016-01-04,accepted,424,276,
2017,2017-01-02,accepted,384,277,
2018,2018-01-02,accepted,477,315,
2019,2019-01-02,accepted,547,328,
2020,2020-01-02,accepted,612,358,
2021,2021-01-04,accepted,1254,395,
2022,2022-01-03,accepted,1191,395,
2023,2023-01-02,accepted,1091,377,
2024,2024-01-02,accepted,1327,382,
2025,2025-01-02,accepted,1340,357,
