ticker,basis,reason,observations,corporate_actions_applied,first_date,last_date
ABCB4,total_return_provider_spliced_with_cotahist,,3975,0,2010-01-04,2025-12-30
ABEV3,total_return_provider,,3233,0,2013-01-02,2025-12-30
ABRE3,total_return_imputed_distribution,,205,0,2014-09-26,2015-07-27
ADHM3,total_return_provider,,2883,2,2013-01-02,2024-08-06
AEDU3,total_return_imputed_distribution,,885,1,2010-12-06,2014-07-03
AELP3,total_return_provider_spliced_with_cotahist,,1972,0,2010-01-04,2018-09-06
AERI3,total_return_provider,,1278,1,2020-11-12,2025-12-30
AESB3,total_return_imputed_distribution,,901,0,2021-03-29,2024-10-31
AFLT3,total_return_provider_spliced_with_cotahist,,3331,1,2010-12-02,2025-12-30
AGRO3,total_return_provider_spliced_with_cotahist,,3904,0,2010-01-04,2025-12-30
AGXY3,total_return_provider,,1107,1,2021-07-27,2025-12-30
ALLD3,total_return_provider,,1180,0,2021-04-12,2025-12-30
ALLL3,total_return_imputed_distribution,,1222,1,2010-01-04,2015-03-31
ALOS3,total_return_provider,,3233,0,2013-01-02,2025-12-30
ALPA3,total_return_provider_spliced_with_cotahist,,3752,4,2010-01-07,2025-12-30
ALPA4,total_return_provider_spliced_with_cotahist,,3975,4,2010-01-04,2025-12-30
ALSC3,total_return_imputed_distribution,,2353,0,2010-01-29,2019-08-05
ALUP3,total_return_provider,,2302,3,2016-10-04,2025-12-30
ALUP4,total_return_provider,,2319,3,2016-09-09,2025-12-30
AMAR3,total_return_provider_spliced_with_cotahist,,3856,1,2010-06-28,2025-12-30
AMBP3,total_return_provider,,1363,1,2020-07-13,2025-12-30
AMBV3,total_return_imputed_distribution,,958,1,2010-01-04,2013-11-08
AMBV4,total_return_imputed_distribution,,958,1,2010-01-04,2013-11-08
AMER3,total_return_provider,,3233,1,2013-01-02,2025-12-30
ANIM3,total_return_provider,,3027,1,2013-10-28,2025-12-30
ARML3,total_return_provider,,1105,0,2021-07-29,2025-12-30
ARTR3,total_return_imputed_distribution,,858,0,2012-12-26,2016-06-16
ASAI3,total_return_provider,,1209,1,2021-03-01,2025-12-30
AURE3,total_return_provider,,941,0,2022-03-28,2025-12-30
AUTM3,total_return_imputed_distribution,,913,0,2011-02-07,2014-10-13
AVLL3,total_return_provider_spliced_with_cotahist,,1258,0,2020-12-11,2025-12-30
AZEV3,total_return_provider_spliced_with_cotahist,,3235,2,2011-05-20,2025-12-30
AZEV4,total_return_provider_spliced_with_cotahist,,3428,1,2011-05-02,2025-12-30
AZUL4,total_return_imputed_distribution,,2162,0,2017-04-11,2025-12-22
AZZA3,total_return_provider,,3233,0,2013-01-02,2025-12-30
B3SA3,total_return_provider,,3233,1,2013-01-02,2025-12-30
BALM4,total_return_provider_spliced_with_cotahist,,3267,2,2010-01-04,2025-12-30
BAUH4,total_return_provider_spliced_with_cotahist,,3471,0,2010-01-04,2025-12-30
BBAS3,total_return_provider_spliced_with_cotahist,,3975,1,2010-01-04,2025-12-30
BBDC3,total_return_provider_spliced_with_cotahist,,3975,9,2010-01-04,2025-12-30
BBDC4,total_return_provider_spliced_with_cotahist,,3975,9,2010-01-04,2025-12-30
BBSE3,total_return_provider,,3154,0,2013-04-29,2025-12-30
BDLL4,total_return_imputed_distribution,,2158,0,2010-01-04,2025-12-30
