decision_date,ticker,ticker_raw,asset_class,issuer_name,specification,isin,observed_at,close_price_brl,average_daily_value_brl,trading_days,trade_count,quantity,source
2026-08-12,MUTC34.SA,MUTC34,bdr,MICRON TECHN,DRN,BRMUTCBDR008,2026-08-12,795.99,119605343.00983334,60,3169,145672,B3 COTAHIST official annual file; last trading session 2026-08-12; 60-session average traded value
2026-08-12,NVDC34.SA,NVDC34,bdr,NVIDIA CORP,DRN,BRNVDCBDR008,2026-08-12,24.1,99245534.73833333,60,8211,4266565,B3 COTAHIST official annual file; last trading session 2026-08-12; 60-session average traded value
2026-08-12,SPCX34.SA,SPCX34,bdr,SPACE X,DRN,BRSPCXBDR007,2026-08-12,50.66,93251507.70159091,44,6506,2541387,B3 COTAHIST official annual file; last trading session 2026-08-12; 60-session average traded value
2026-08-12,AURA33.SA,AURA33,bdr,AURA 360,DR3,BRAURABDR001,2026-08-12,133.4,90011279.59783334,60,14456,931364,B3 COTAHIST official annual file; last trading session 2026-08-12; 60-session average traded value
2026-08-12,JBSS32.SA,JBSS32,bdr,JBS N.V.,DR2,BRJBSSBDR002,2026-08-12,68.1,81782274.405,60,12727,1793032,B3 COTAHIST official annual file; last trading session 2026-08-12; 60-session average traded value
2026-08-12,ROXO34.SA,ROXO34,bdr,NU HOLDINGS,DRN,BRROXOBDR007,2026-08-12,11.61,75389271.803,60,21362,13093870,B3 COTAHIST official annual file; last trading session 2026-08-12; 60-session average traded value
2026-08-12,INBR32.SA,INBR32,bdr,INTER CO,DR2,BRINBRBDR007,2026-08-12,26.0,68559991.0925,60,15343,2367883,B3 COTAHIST official annual file; last trading session 2026-08-12; 60-session average traded value
2026-08-12,TSLA34.SA,TSLA34,bdr,TESLA INC,DRN,BRTSLABDR008,2026-08-12,52.71,60804340.28066667,60,2620,841841,B3 COTAHIST official annual file; last trading session 2026-08-12; 60-session average traded value
2026-08-12,AMZO34.SA,AMZO34,bdr,AMAZON,DRN,BRAMZOBDR002,2026-08-12,69.46,54451497.25016666,60,3877,491274,B3 COTAHIST official annual file; last trading session 2026-08-12; 60-session average traded value
2026-08-12,XPBR31.SA,XPBR31,bdr,XP INC,DR1,BRXPBRBDR001,2026-08-12,79.51,49842273.98833334,60,6067,400390,B3 COTAHIST official annual file; last trading session 2026-08-12; 60-session average traded value
2026-08-12,MSFT34.SA,MSFT34,bdr,MICROSOFT,DRN,BRMSFTBDR005,2026-08-12,106.0,43321948.615,60,2102,413189,B3 COTAHIST official annual file; last trading session 2026-08-12; 60-session average traded value
2026-08-12,GOGL34.SA,GOGL34,bdr,ALPHABET,DRN,BRGOGLBDR001,2026-08-12,148.5,40193885.953833334,60,1873,333761,B3 COTAHIST official annual file; last trading session 2026-08-12; 60-session average traded value
2026-08-12,MELI34.SA,MELI34,bdr,MERCADOLIBRE,DRN,BRMELIBDR006,2026-08-12,79.21,40083772.1575,60,7107,756408,B3 COTAHIST official annual file; last trading session 2026-08-12; 60-session average traded value
2026-08-12,ITLC34.SA,ITLC34,bdr,INTEL,DRN,BRITLCBDR005,2026-08-12,86.86,39110313.766,60,1991,143512,B3 COTAHIST official annual file; last trading session 2026-08-12; 60-session average traded value
2026-08-12,M1TA34.SA,M1TA34,bdr,META PLAT,DRN,BRM1TABDR009,2026-08-12,107.1,31632858.73383333,60,2463,215435,B3 COTAHIST official annual file; last trading session 2026-08-12; 60-session average traded value
2026-08-12,A1MD34.SA,A1MD34,bdr,ADVANCED MIC,DRN,BRA1MDBDR002,2026-08-12,310.49,31009800.501666665,60,1143,47520,B3 COTAHIST official annual file; last trading session 2026-08-12; 60-session average traded value
2026-08-12,TSMC34.SA,TSMC34,bdr,TAIWANSMFAC,DRN,BRTSMCBDR002,2026-08-12,277.0,29844420.653333332,60,2320,112461,B3 COTAHIST official annual file; last trading session 2026-08-12; 60-session average traded value
2026-08-12,AAPL34.SA,AAPL34,bdr,APPLE,DRN ED,BRAAPLBDR004,2026-08-12,77.9,24012202.991666667,60,1085,171414,B3 COTAHIST official annual file; last trading session 2026-08-12; 60-session average traded value
2026-08-12,M2ST34.SA,M2ST34,bdr,STRATEGY INC,DRN,BRM2STBDR009,2026-08-12,6.99,23697921.651166666,60,1412,3364395,B3 COTAHIST official annual file; last trading session 2026-08-12; 60-session average traded value
2026-08-12,BIAU39.SA,BIAU39,bdr,GOLD TRUST,DRE,BRBIAUBDR008,2026-08-12,107.36,21246938.9505,60,46,6331,B3 COTAHIST official annual file; last trading session 2026-08-12; 60-session average traded value
2026-08-12,ORCL34.SA,ORCL34,bdr,ORACLE,DRN,BRORCLBDR007,2026-08-12,132.25,16960441.28533333,60,886,201762,B3 COTAHIST official annual file; last trading session 2026-08-12; 60-session average traded value
2026-08-12,P2LT34.SA,P2LT34,bdr,PALANTIRTECH,DRN,BRP2LTBDR001,2026-08-12,296.06,9077197.939666666,60,716,35704,B3 COTAHIST official annual file; last trading session 2026-08-12; 60-session average traded value
2026-08-12,M2RV34.SA,M2RV34,bdr,MARVELL TEC,DRN,BRM2RVBDR007,2026-08-12,113.74,8514274.5355,60,318,23277,B3 COTAHIST official annual file; last trading session 2026-08-12; 60-session average traded value
