decision_year,decision_date,ticker,previous_weight,new_weight,reason,decision_action,factor
2015,2015-01-02,ABEV3.SA,0.0,0.15,entered_after_point_in_time_screen,entered,triple_factor
2015,2015-01-02,BBSE3.SA,0.0,0.15,entered_after_point_in_time_screen,entered,triple_factor
2015,2015-01-02,CMIG4.SA,0.0,0.15,entered_after_point_in_time_screen,entered,triple_factor
2015,2015-01-02,ITSA4.SA,0.0,0.15,entered_after_point_in_time_screen,entered,triple_factor
2015,2015-01-02,ITUB4.SA,0.0,0.15,entered_after_point_in_time_screen,entered,triple_factor
2015,2015-01-02,TITULO_CDI,0.0,0.25,defensive_residual_adjustment,entered,triple_factor
2016,2016-01-04,ABEV3.SA,0.1954148530486888,0.15,rebalanced_after_point_in_time_review,reduced,triple_factor
2016,2016-01-04,BBSE3.SA,0.1363122521131781,0.15,rebalanced_after_point_in_time_review,increased,triple_factor
2016,2016-01-04,BRSR6.SA,0.0,0.15,entered_after_point_in_time_screen,entered,triple_factor
2016,2016-01-04,CMIG4.SA,0.07952738090310962,0.15,rebalanced_after_point_in_time_review,increased,triple_factor
2016,2016-01-04,ITSA4.SA,0.14057548241493048,0.0,removed_by_constrained_allocator,exited,triple_factor
2016,2016-01-04,ITUB4.SA,0.1447637359728879,0.0,removed_by_constrained_allocator,exited,triple_factor
2016,2016-01-04,LREN3.SA,0.0,0.15,entered_after_point_in_time_screen,entered,triple_factor
2016,2016-01-04,TITULO_CDI,0.30340629554720516,0.25,defensive_residual_adjustment,reduced,triple_factor
2017,2017-01-02,ABEV3.SA,0.10790608531095329,0.0,removed_by_constrained_allocator,exited,triple_factor
2017,2017-01-02,BBSE3.SA,0.14405053107466206,0.15,rebalanced_after_point_in_time_review,increased,triple_factor
2017,2017-01-02,BRSR6.SA,0.21725043026065013,0.0,removed_or_blocked_by_eligibility,exited,triple_factor
2017,2017-01-02,CMIG4.SA,0.16338160126712464,0.15,rebalanced_after_point_in_time_review,reduced,triple_factor
2017,2017-01-02,CVCB3.SA,0.0,0.15,entered_after_point_in_time_screen,entered,triple_factor
2017,2017-01-02,LREN3.SA,0.16004621790688794,0.0,removed_by_constrained_allocator,exited,triple_factor
2017,2017-01-02,RADL3.SA,0.0,0.15,entered_after_point_in_time_screen,entered,triple_factor
2017,2017-01-02,SAPR4.SA,0.0,0.15,entered_after_point_in_time_screen,entered,triple_factor
2017,2017-01-02,TITULO_CDI,0.20736513417972183,0.25,defensive_residual_adjustment,increased,triple_factor
2018,2018-01-02,BBSE3.SA,0.12971843246384862,0.15,rebalanced_after_point_in_time_review,increased,triple_factor
2018,2018-01-02,BRSR6.SA,0.0,0.15,entered_after_point_in_time_screen,entered,triple_factor
2018,2018-01-02,CMIG4.SA,0.11479723223121213,0.0,removed_or_blocked_by_eligibility,exited,triple_factor
2018,2018-01-02,CVCB3.SA,0.2407051659154677,0.15,rebalanced_after_point_in_time_review,reduced,triple_factor
2018,2018-01-02,ITSA3.SA,0.0,0.15,entered_after_point_in_time_screen,entered,triple_factor
2018,2018-01-02,MGLU3.SA,0.0,0.15,entered_after_point_in_time_screen,entered,triple_factor
2018,2018-01-02,RADL3.SA,0.1685915180278219,0.0,removed_by_constrained_allocator,exited,triple_factor
2018,2018-01-02,SAPR4.SA,0.1240447762727841,0.0,removed_by_constrained_allocator,exited,triple_factor
2018,2018-01-02,TITULO_CDI,0.22214287508886557,0.25,defensive_residual_adjustment,increased,triple_factor
2019,2019-01-02,BBSE3.SA,0.1140160086435725,0.15,rebalanced_after_point_in_time_review,increased,triple_factor
2019,2019-01-02,BRSR6.SA,0.17066833280520133,0.15,rebalanced_after_point_in_time_review,reduced,triple_factor
2019,2019-01-02,CSNA3.SA,0.0,0.15,entered_after_point_in_time_screen,entered,triple_factor
2019,2019-01-02,CVCB3.SA,0.13103989862079524,0.0,removed_by_constrained_allocator,exited,triple_factor
2019,2019-01-02,IRBR3.SA,0.0,0.15,entered_after_point_in_time_screen,entered,triple_factor
2019,2019-01-02,ITSA3.SA,0.15402490141539663,0.0,removed_or_blocked_by_eligibility,exited,triple_factor
2019,2019-01-02,MGLU3.SA,0.24249601441868282,0.15,rebalanced_after_point_in_time_review,reduced,triple_factor
2019,2019-01-02,TITULO_CDI,0.18775484409635146,0.25,defensive_residual_adjustment,increased,triple_factor
2020,2020-01-02,BBSE3.SA,0.15023991422195754,0.15,rebalanced_after_point_in_time_review,reduced,triple_factor
2020,2020-01-02,BRSR6.SA,0.10723997976992238,0.0,removed_by_constrained_allocator,exited,triple_factor
2020,2020-01-02,CMIG3.SA,0.0,0.15,entered_after_point_in_time_screen,entered,triple_factor
2020,2020-01-02,CSNA3.SA,0.1762278468353007,0.0,removed_by_constrained_allocator,exited,triple_factor
2020,2020-01-02,EQTL3.SA,0.0,0.15,entered_after_point_in_time_screen,entered,triple_factor
2020,2020-01-02,IRBR3.SA,0.15552729317618655,0.15,rebalanced_after_point_in_time_review,reduced,triple_factor
2020,2020-01-02,LIGT3.SA,0.0,0.15,entered_after_point_in_time_screen,entered,triple_factor
2020,2020-01-02,MGLU3.SA,0.2212236392134887,0.0,removed_by_constrained_allocator,exited,triple_factor
2020,2020-01-02,TITULO_CDI,0.18954132678314417,0.25,defensive_residual_adjustment,increased,triple_factor
2021,2021-01-04,BBSE3.SA,0.14715964297844308,0.15,rebalanced_after_point_in_time_review,increased,triple_factor
2021,2021-01-04,CMIG3.SA,0.18988205632704955,0.0,removed_by_constrained_allocator,exited,triple_factor
2021,2021-01-04,CSMG3.SA,0.0,0.15,entered_after_point_in_time_screen,entered,triple_factor
2021,2021-01-04,EQTL3.SA,0.16728711930540094,0.15,rebalanced_after_point_in_time_review,reduced,triple_factor
2021,2021-01-04,IRBR3.SA,0.037412438329496964,0.0,removed_or_blocked_by_eligibility,exited,triple_factor
2021,2021-01-04,LIGT3.SA,0.17073562690709265,0.15,rebalanced_after_point_in_time_review,reduced,triple_factor
2021,2021-01-04,TASA4.SA,0.0,0.15,entered_after_point_in_time_screen,entered,triple_factor
2021,2021-01-04,TITULO_CDI,0.28752311615251686,0.25,defensive_residual_adjustment,reduced,triple_factor
2022,2022-01-03,BBSE3.SA,0.11445812978143653,0.0,removed_by_constrained_allocator,exited,triple_factor
2022,2022-01-03,CSMG3.SA,0.12914622268082396,0.0,removed_by_constrained_allocator,exited,triple_factor
2022,2022-01-03,EQTL3.SA,0.15918368474030503,0.0,removed_by_constrained_allocator,exited,triple_factor
2022,2022-01-03,FHER3.SA,0.0,0.15,entered_after_point_in_time_screen,entered,triple_factor
2022,2022-01-03,GOAU4.SA,0.0,0.15,entered_after_point_in_time_screen,entered,triple_factor
2022,2022-01-03,LIGT3.SA,0.07993739029390502,0.0,removed_by_constrained_allocator,exited,triple_factor
2022,2022-01-03,TASA4.SA,0.24659217071547226,0.15,rebalanced_after_point_in_time_review,reduced,triple_factor
2022,2022-01-03,UNIP6.SA,0.0,0.15,entered_after_point_in_time_screen,entered,triple_factor
2022,2022-01-03,USIM5.SA,0.0,0.15,entered_after_point_in_time_screen,entered,triple_factor
2022,2022-01-03,TITULO_CDI,0.27068240178805725,0.25,defensive_residual_adjustment,reduced,triple_factor
2023,2023-01-02,BBSE3.SA,0.0,0.15,entered_after_point_in_time_screen,entered,triple_factor
2023,2023-01-02,BRAP4.SA,0.0,0.15,entered_after_point_in_time_screen,entered,triple_factor
2023,2023-01-02,FHER3.SA,0.15384313228743188,0.0,removed_or_blocked_by_eligibility,exited,triple_factor
2023,2023-01-02,GOAU4.SA,0.20283371966546151,0.0,removed_by_constrained_allocator,exited,triple_factor
2023,2023-01-02,KEPL3.SA,0.0,0.15,entered_after_point_in_time_screen,entered,triple_factor
2023,2023-01-02,TASA4.SA,0.09203710024077084,0.0,removed_by_constrained_allocator,exited,triple_factor
2023,2023-01-02,UNIP6.SA,0.17437312552243292,0.15,rebalanced_after_point_in_time_review,reduced,triple_factor
2023,2023-01-02,USIM5.SA,0.07997988987682093,0.0,removed_by_constrained_allocator,exited,triple_factor
2023,2023-01-02,VIVA3.SA,0.0,0.15,entered_after_point_in_time_screen,entered,triple_factor
2023,2023-01-02,TITULO_CDI,0.29693303240708196,0.25,defensive_residual_adjustment,reduced,triple_factor
2024,2024-01-02,BBSE3.SA,0.1430587442389667,0.15,rebalanced_after_point_in_time_review,increased,triple_factor
2024,2024-01-02,BRAP4.SA,0.12438293147226602,0.0,removed_by_constrained_allocator,exited,triple_factor
