decision_year,decision_date,holding_end_exclusive,gross_return,estimated_cost_brl,estimated_cost_rate,net_return,opening_wealth_brl,closing_wealth_brl,turnover,weights_at_decision,known_snapshot_count,factor,target_equity_weight,mvo_eligible_net_return,cdi_net_return
2015,2015-01-02,2016-01-04,0.01042487432197614,288.90856173011616,0.00028890856173011614,0.010135965760246024,1000000.0,1010135.965760246,0.65,ABEV3.SA:5.30% | BBSE3.SA:10.00% | CMIG4.SA:10.00% | ITSA4.SA:3.79% | ITUB4.SA:5.90% | TITULO_CDI:65.00%,137,triple_factor,0.35,0.1247694273143793,0.1313058205754336
2016,2016-01-04,2017-01-02,0.2428060837905337,130.77689114526532,0.00012946464196712405,0.24267661914856659,1010135.965760246,1255272.3468113148,0.26233727529615714,ABEV3.SA:8.23% | BBSE3.SA:10.00% | BRSR6.SA:4.84% | CMIG4.SA:7.54% | LREN3.SA:4.39% | TITULO_CDI:65.00%,153,triple_factor,0.35,0.23251154737632182,0.13881531059776075
2017,2017-01-02,2018-01-02,0.15885251643332698,264.73233919228124,0.00021089633645221556,0.15864162009687477,1255272.3468113148,1454410.7855722678,0.4905138028733571,BBSE3.SA:5.94% | CMIG4.SA:10.00% | CVCB3.SA:9.09% | RADL3.SA:2.64% | SAPR4.SA:7.33% | TITULO_CDI:65.00%,155,triple_factor,0.35,0.18757137432856302,0.09485614678200971
2018,2018-01-02,2019-01-02,0.23358155263810798,325.6212077767533,0.00022388530874970853,0.23335766732935828,1454410.7855722678,1793808.6938320717,0.4808891356165898,BBSE3.SA:5.26% | BRSR6.SA:3.59% | CVCB3.SA:9.36% | ITSA3.SA:6.80% | MGLU3.SA:10.00% | TITULO_CDI:65.00%,170,triple_factor,0.35,0.23687354971954194,0.06367037319283275
2019,2019-01-02,2020-01-02,0.21405213766762565,436.841018855878,0.0002435270942536602,0.213808610573372,1793808.6938320717,2177340.4382947423,0.5211505396070735,BBSE3.SA:2.83% | BRSR6.SA:10.00% | CSNA3.SA:9.13% | IRBR3.SA:3.79% | MGLU3.SA:9.26% | TITULO_CDI:65.00%,184,triple_factor,0.35,0.18170153700867622,0.05915681006147966
2020,2020-01-02,2021-01-04,-0.01674027504200648,505.6107260617218,0.00023221482372214972,-0.01697248986572863,2177340.4382947423,2140385.5497715436,0.7200994821942972,BBSE3.SA:10.00% | CMIG3.SA:7.01% | EQTL3.SA:8.54% | IRBR3.SA:5.93% | LIGT3.SA:3.52% | TITULO_CDI:65.00%,204,triple_factor,0.35,0.05877892923499731,0.027325854367195035
2021,2021-01-04,2022-01-03,0.03502675649576181,323.50167476008215,0.00015114177667411904,0.03487561471908769,2140385.5497715436,2215032.8115556785,0.21202058663433238,BBSE3.SA:10.00% | CSMG3.SA:4.65% | EQTL3.SA:6.95% | LIGT3.SA:3.40% | TASA4.SA:10.00% | TITULO_CDI:65.00%,220,triple_factor,0.35000000000000003,0.006729886226133292,0.04379550070628868
2022,2022-01-03,2023-01-02,0.06079482343692488,712.6206365790251,0.0003217201266100126,0.06047310331031487,2215032.8115556785,2348982.7196046226,0.5728655209459237,FHER3.SA:10.00% | GOAU4.SA:10.00% | TASA4.SA:6.36% | UNIP6.SA:3.22% | USIM5.SA:5.43% | TITULO_CDI:65.00%,229,triple_factor,0.35,0.11660704084609747,0.12294915546054419
2023,2023-01-02,2024-01-02,0.17542845008422603,647.9262014411953,0.0002758326811149353,0.17515261740311108,2348982.7196046226,2760413.1911780504,0.532963008702649,BBSE3.SA:2.51% | BRAP4.SA:7.37% | KEPL3.SA:9.43% | UNIP6.SA:5.69% | VIVA3.SA:10.00% | TITULO_CDI:65.00%,267,triple_factor,0.35,0.17110277948207378,0.129326575852571
2024,2024-01-02,2025-01-02,0.002041010519816311,401.18862919570967,0.0001453364411088385,0.0018956740787074724,2760413.1911780504,2765646.0349110886,0.3006477227924569,BBSE3.SA:5.68% | CMIN3.SA:6.40% | KEPL3.SA:10.00% | TASA4.SA:2.91% | VIVA3.SA:10.00% | TITULO_CDI:65.00%,286,triple_factor,0.35000000000000003,-0.01618476727760115,0.08222592706285003
2025,2025-01-02,2025-12-31,0.24567091700041077,356.4432523464098,0.00012888245561687323,0.2455420345447939,2765646.0349110886,3444728.389153899,0.30964965322154514,BBSE3.SA:10.00% | CMIN3.SA:5.63% | CURY3.SA:4.95% | VIVA3.SA:10.00% | WEGE3.SA:4.42% | TITULO_CDI:65.00%,285,triple_factor,0.35,0.1338191425390021,0.14209253474057104
