decision_year,decision_date,ticker,previous_weight,new_weight,reason,decision_action,factor
2015,2015-01-02,ABEV3.SA,0.0,0.11075965678845616,entered_after_point_in_time_screen,entered,triple_factor
2015,2015-01-02,BBSE3.SA,0.0,0.12,entered_after_point_in_time_screen,entered,triple_factor
2015,2015-01-02,CMIG4.SA,0.0,0.12,entered_after_point_in_time_screen,entered,triple_factor
2015,2015-01-02,ITSA4.SA,0.0,0.07924034321154384,entered_after_point_in_time_screen,entered,triple_factor
2015,2015-01-02,ITUB4.SA,0.0,0.12,entered_after_point_in_time_screen,entered,triple_factor
2015,2015-01-02,TITULO_CDI,0.0,0.44999999999999996,defensive_residual_adjustment,entered,triple_factor
2016,2016-01-04,ABEV3.SA,0.13700916203918087,0.12,rebalanced_after_point_in_time_review,reduced,triple_factor
2016,2016-01-04,BBSE3.SA,0.10354439087899378,0.12,rebalanced_after_point_in_time_review,increased,triple_factor
2016,2016-01-04,BRSR6.SA,0.0,0.09966826545574024,entered_after_point_in_time_screen,entered,triple_factor
2016,2016-01-04,CMIG4.SA,0.06040993444211549,0.12,rebalanced_after_point_in_time_review,increased,triple_factor
2016,2016-01-04,ITSA4.SA,0.07051254159240095,0.0,removed_by_constrained_allocator,exited,triple_factor
2016,2016-01-04,ITUB4.SA,0.1099642374790684,0.0,removed_by_constrained_allocator,exited,triple_factor
2016,2016-01-04,LREN3.SA,0.0,0.09033173454425987,entered_after_point_in_time_screen,entered,triple_factor
2016,2016-01-04,TITULO_CDI,0.5185597335682406,0.44999999999999984,defensive_residual_adjustment,reduced,triple_factor
2017,2017-01-02,ABEV3.SA,0.09122717431455292,0.0,removed_by_constrained_allocator,exited,triple_factor
2017,2017-01-02,BBSE3.SA,0.12178481751592349,0.12,rebalanced_after_point_in_time_review,reduced,triple_factor
2017,2017-01-02,BRSR6.SA,0.15255083368017225,0.0,removed_or_blocked_by_eligibility,exited,triple_factor
2017,2017-01-02,CMIG4.SA,0.13812790794546417,0.12,rebalanced_after_point_in_time_review,reduced,triple_factor
2017,2017-01-02,CVCB3.SA,0.0,0.12,entered_after_point_in_time_screen,entered,triple_factor
2017,2017-01-02,LREN3.SA,0.10185510602888947,0.0,removed_by_constrained_allocator,exited,triple_factor
2017,2017-01-02,RADL3.SA,0.0,0.07000000000000003,entered_after_point_in_time_screen,entered,triple_factor
2017,2017-01-02,SAPR4.SA,0.0,0.12,entered_after_point_in_time_screen,entered,triple_factor
2017,2017-01-02,TITULO_CDI,0.39445416051499765,0.44999999999999996,defensive_residual_adjustment,increased,triple_factor
2018,2018-01-02,BBSE3.SA,0.10743331194688312,0.11297796839924992,rebalanced_after_point_in_time_review,increased,triple_factor
2018,2018-01-02,BRSR6.SA,0.0,0.07702203160075019,entered_after_point_in_time_screen,entered,triple_factor
2018,2018-01-02,CMIG4.SA,0.09507551568950472,0.0,removed_or_blocked_by_eligibility,exited,triple_factor
2018,2018-01-02,CVCB3.SA,0.1993529576780045,0.12,rebalanced_after_point_in_time_review,reduced,triple_factor
2018,2018-01-02,ITSA3.SA,0.0,0.12,entered_after_point_in_time_screen,entered,triple_factor
2018,2018-01-02,MGLU3.SA,0.0,0.12,entered_after_point_in_time_screen,entered,triple_factor
2018,2018-01-02,RADL3.SA,0.08144975597467309,0.0,removed_by_constrained_allocator,exited,triple_factor
2018,2018-01-02,SAPR4.SA,0.10273436775000598,0.0,removed_by_constrained_allocator,exited,triple_factor
2018,2018-01-02,TITULO_CDI,0.4139540909609286,0.44999999999999996,defensive_residual_adjustment,increased,triple_factor
2019,2019-01-02,BBSE3.SA,0.09199111302604189,0.08121058882881403,rebalanced_after_point_in_time_review,reduced,triple_factor
2019,2019-01-02,BRSR6.SA,0.09387591755791283,0.12,rebalanced_after_point_in_time_review,increased,triple_factor
2019,2019-01-02,CSNA3.SA,0.0,0.12,entered_after_point_in_time_screen,entered,triple_factor
2019,2019-01-02,CVCB3.SA,0.11229775484366702,0.0,removed_by_constrained_allocator,exited,triple_factor
2019,2019-01-02,IRBR3.SA,0.0,0.10878941117118604,entered_after_point_in_time_screen,entered,triple_factor
2019,2019-01-02,ITSA3.SA,0.13199529914945551,0.0,removed_or_blocked_by_eligibility,exited,triple_factor
2019,2019-01-02,MGLU3.SA,0.2078127216547928,0.12,rebalanced_after_point_in_time_review,reduced,triple_factor
2019,2019-01-02,TITULO_CDI,0.36202719376813,0.44999999999999996,defensive_residual_adjustment,increased,triple_factor
2020,2020-01-02,BBSE3.SA,0.08661847279301305,0.12,rebalanced_after_point_in_time_review,increased,triple_factor
2020,2020-01-02,BRSR6.SA,0.0913588249933604,0.0,removed_by_constrained_allocator,exited,triple_factor
2020,2020-01-02,CMIG3.SA,0.0,0.12,entered_after_point_in_time_screen,entered,triple_factor
2020,2020-01-02,CSNA3.SA,0.15013028772035,0.0,removed_by_constrained_allocator,exited,triple_factor
2020,2020-01-02,EQTL3.SA,0.0,0.12,entered_after_point_in_time_screen,entered,triple_factor
2020,2020-01-02,IRBR3.SA,0.12011735917268289,0.11918143050776561,rebalanced_after_point_in_time_review,reduced,triple_factor
2020,2020-01-02,LIGT3.SA,0.0,0.0708185694922345,entered_after_point_in_time_screen,entered,triple_factor
2020,2020-01-02,MGLU3.SA,0.18846265900702758,0.0,removed_by_constrained_allocator,exited,triple_factor
2020,2020-01-02,TITULO_CDI,0.36331239631356615,0.44999999999999996,defensive_residual_adjustment,increased,triple_factor
2021,2021-01-04,BBSE3.SA,0.11415037822627565,0.12,rebalanced_after_point_in_time_review,increased,triple_factor
2021,2021-01-04,CMIG3.SA,0.1472897603542759,0.0,removed_by_constrained_allocator,exited,triple_factor
2021,2021-01-04,CSMG3.SA,0.0,0.10971287405381909,entered_after_point_in_time_screen,entered,triple_factor
2021,2021-01-04,EQTL3.SA,0.12976307603500306,0.12,rebalanced_after_point_in_time_review,reduced,triple_factor
2021,2021-01-04,IRBR3.SA,0.02882252277759346,0.0,removed_or_blocked_by_eligibility,exited,triple_factor
2021,2021-01-04,LIGT3.SA,0.0781589446637813,0.08028712594618097,rebalanced_after_point_in_time_review,increased,triple_factor
2021,2021-01-04,TASA4.SA,0.0,0.12,entered_after_point_in_time_screen,entered,triple_factor
2021,2021-01-04,TITULO_CDI,0.5018153179430705,0.44999999999999996,defensive_residual_adjustment,reduced,triple_factor
2022,2022-01-03,BBSE3.SA,0.08798872207196179,0.0,removed_by_constrained_allocator,exited,triple_factor
2022,2022-01-03,CSMG3.SA,0.09076918145891422,0.0,removed_by_constrained_allocator,exited,triple_factor
2022,2022-01-03,EQTL3.SA,0.12237111528688559,0.0,removed_by_constrained_allocator,exited,triple_factor
2022,2022-01-03,FHER3.SA,0.0,0.12,entered_after_point_in_time_screen,entered,triple_factor
2022,2022-01-03,GOAU4.SA,0.0,0.12,entered_after_point_in_time_screen,entered,triple_factor
2022,2022-01-03,LIGT3.SA,0.04111449840077917,0.0,removed_by_constrained_allocator,exited,triple_factor
2022,2022-01-03,TASA4.SA,0.18956565178583268,0.12,rebalanced_after_point_in_time_review,reduced,triple_factor
2022,2022-01-03,UNIP6.SA,0.0,0.07068029012473949,entered_after_point_in_time_screen,entered,triple_factor
2022,2022-01-03,USIM5.SA,0.0,0.11931970987526071,entered_after_point_in_time_screen,entered,triple_factor
2022,2022-01-03,TITULO_CDI,0.46819083099562653,0.44999999999999984,defensive_residual_adjustment,reduced,triple_factor
2023,2023-01-02,BBSE3.SA,0.0,0.07000000000000009,entered_after_point_in_time_screen,entered,triple_factor
2023,2023-01-02,BRAP4.SA,0.0,0.12,entered_after_point_in_time_screen,entered,triple_factor
2023,2023-01-02,FHER3.SA,0.11842778379640705,0.0,removed_or_blocked_by_eligibility,exited,triple_factor
2023,2023-01-02,GOAU4.SA,0.15614052796508684,0.0,removed_by_constrained_allocator,exited,triple_factor
2023,2023-01-02,KEPL3.SA,0.0,0.12,entered_after_point_in_time_screen,entered,triple_factor
2023,2023-01-02,TASA4.SA,0.07084976525437463,0.0,removed_by_constrained_allocator,exited,triple_factor
2023,2023-01-02,UNIP6.SA,0.0790627867552482,0.12,rebalanced_after_point_in_time_review,increased,triple_factor
2023,2023-01-02,USIM5.SA,0.06121914121195938,0.0,removed_by_constrained_allocator,exited,triple_factor
2023,2023-01-02,VIVA3.SA,0.0,0.12,entered_after_point_in_time_screen,entered,triple_factor
2023,2023-01-02,TITULO_CDI,0.5142999950169239,0.44999999999999996,defensive_residual_adjustment,reduced,triple_factor
2024,2024-01-02,BBSE3.SA,0.06721427336209833,0.12,rebalanced_after_point_in_time_review,increased,triple_factor
2024,2024-01-02,BRAP4.SA,0.10018232202878498,0.0,removed_by_constrained_allocator,exited,triple_factor
2024,2024-01-02,CMIN3.SA,0.0,0.12,entered_after_point_in_time_screen,entered,triple_factor
2024,2024-01-02,KEPL3.SA,0.12607369660541137,0.12,rebalanced_after_point_in_time_review,reduced,triple_factor
2024,2024-01-02,TASA4.SA,0.0,0.07000000000000023,entered_after_point_in_time_screen,entered,triple_factor
2024,2024-01-02,UNIP6.SA,0.09673329370836921,0.0,removed_by_constrained_allocator,exited,triple_factor
2024,2024-01-02,VIVA3.SA,0.17316042056446102,0.12,rebalanced_after_point_in_time_review,reduced,triple_factor
2024,2024-01-02,TITULO_CDI,0.4366359937308752,0.44999999999999973,defensive_residual_adjustment,increased,triple_factor
2025,2025-01-02,BBSE3.SA,0.12848850532387365,0.12,rebalanced_after_point_in_time_review,reduced,triple_factor
2025,2025-01-02,CMIN3.SA,0.10849233543186003,0.11632593952221698,rebalanced_after_point_in_time_review,increased,triple_factor
2025,2025-01-02,CURY3.SA,0.0,0.10228709804608047,entered_after_point_in_time_screen,entered,triple_factor
2025,2025-01-02,KEPL3.SA,0.1041359342961906,0.0,removed_or_blocked_by_eligibility,exited,triple_factor
2025,2025-01-02,TASA4.SA,0.04630593026827822,0.0,removed_or_blocked_by_eligibility,exited,triple_factor
2025,2025-01-02,VIVA3.SA,0.10269955604014251,0.12,rebalanced_after_point_in_time_review,increased,triple_factor
2025,2025-01-02,WEGE3.SA,0.0,0.09138696243170262,entered_after_point_in_time_screen,entered,triple_factor
2025,2025-01-02,TITULO_CDI,0.509877738639655,0.44999999999999996,defensive_residual_adjustment,reduced,triple_factor
