decision_year,decision_date,holding_end_exclusive,gross_return,estimated_cost_brl,estimated_cost_rate,net_return,opening_wealth_brl,closing_wealth_brl,turnover,weights_at_decision,known_snapshot_count,factor,target_equity_weight,mvo_eligible_net_return,cdi_net_return
2015,2015-01-02,2016-01-04,-0.04677753658182793,503.13355307607225,0.0005031335530760723,-0.047280670134904,1000000.0,952719.329865096,0.3354223687173815,BBDC4.SA:15.00% | BBSE3.SA:15.00% | ITSA4.SA:15.00% | ITUB3.SA:15.00% | PSSA3.SA:6.46% | TITULO_CDI:33.54%,137,mvo_neutral,0.6645776312826186,-0.047280670134904,0.1313058205754336
2016,2016-01-04,2017-01-02,0.31959955618588154,1540.5620969376364,0.001617015682001307,0.31798254050388025,952719.329865096,1255667.4427627537,1.078010454667538,BBSE3.SA:2.00% | ITSA3.SA:2.00% | ITUB3.SA:2.00% | PSSA3.SA:2.00% | SANB3.SA:15.00% | TITULO_CDI:77.00%,153,mvo_neutral,0.2300000012541049,0.31798254050388025,0.13881531059776075
2017,2017-01-02,2018-01-02,0.2676908551789625,2260.201396394103,0.0017999999995390072,0.2658908551794235,1255667.4427627537,1589537.932939902,1.1999999996926716,BBAS3.SA:15.00% | BBDC4.SA:15.00% | BRSR6.SA:15.00% | QUAL3.SA:15.00% | SANB3.SA:15.00% | TITULO_CDI:25.00%,155,mvo_neutral,0.7499999998400644,0.2658908551794235,0.09485614678200971
2018,2018-01-02,2019-01-02,0.07632136941806977,2294.546695765349,0.00144353063127063,0.07487783878679914,1589537.932939902,1708559.098028078,0.9623537541804199,BPAC3.SA:15.00% | BRSR3.SA:15.00% | PSSA3.SA:15.00% | QUAL3.SA:15.00% | SANB4.SA:15.00% | TITULO_CDI:25.00%,170,mvo_neutral,0.7499999982412234,0.07487783878679914,0.06367037319283275
2019,2019-01-02,2020-01-02,0.17891710277213613,1954.51135141266,0.0011439530266576358,0.1777731497454785,1708559.098028078,2012295.030410823,0.7626353511050905,BBAS3.SA:15.00% | BRSR6.SA:15.00% | IRBR3.SA:15.00% | PSSA3.SA:15.00% | SANB4.SA:15.00% | TITULO_CDI:25.00%,184,mvo_neutral,0.7499999981516647,0.1777731497454785,0.05915681006147966
2020,2020-01-02,2021-01-04,-0.14149604437042085,3756.385938106499,0.0018667172960913235,-0.14336276166651218,2012295.030410823,1723806.8575633292,1.2444781973942156,BBDC3.SA:15.00% | BBSE3.SA:15.00% | BPAC3.SA:15.00% | IRBR3.SA:15.00% | QUAL3.SA:15.00% | TITULO_CDI:25.00%,204,mvo_neutral,0.7499999996165833,-0.14336276166651218,0.027325854367195035
2021,2021-01-04,2022-01-03,0.21207736291821155,2338.5661233101414,0.0013566288549378435,0.2107207340632737,1723806.8575633292,2087048.703972379,0.9044192366252289,BPAC3.SA:15.00% | BSLI3.SA:15.00% | ITUB3.SA:2.00% | QUAL3.SA:2.00% | SANB4.SA:15.00% | TITULO_CDI:51.00%,220,mvo_neutral,0.49000000528302046,0.2107207340632737,0.04379550070628868
2022,2022-01-03,2023-01-02,0.06903249974419401,1305.4169580692928,0.0006254846643418674,0.06840701507985214,2087048.703972379,2229817.4761374034,0.41698977622791156,BBDC4.SA:2.00% | BPAC3.SA:15.00% | BSLI3.SA:15.00% | ITSA4.SA:2.00% | PSSA3.SA:2.00% | TITULO_CDI:64.00%,229,mvo_neutral,0.3599999973508096,0.06840701507985214,0.12294915546054419
2023,2023-01-02,2024-01-02,0.3517414956936007,4537.62205307735,0.002034974656731831,0.34970652103686883,2229817.4761374034,3009599.188264626,1.356649771154554,ABCB4.SA:15.00% | BBAS3.SA:15.00% | BBSE3.SA:15.00% | ITUB4.SA:15.00% | PSSA3.SA:15.00% | TITULO_CDI:25.00%,267,mvo_neutral,0.7499999453169452,0.34970652103686883,0.129326575852571
2024,2024-01-02,2025-01-02,-0.03530337382854998,5790.429478259194,0.0019239869218591965,-0.03722736075040917,3009599.188264626,2897559.75356896,1.2826579479061309,BBAS3.SA:15.00% | BEES3.SA:15.00% | BPAC3.SA:15.00% | BRSR6.SA:15.00% | CXSE3.SA:15.00% | TITULO_CDI:25.00%,286,mvo_neutral,0.7499999985110373,-0.03722736075040917,0.08222592706285003
2025,2025-01-02,2025-12-31,0.328500403065046,4971.038780320896,0.001715594915410461,0.32678480814963556,2897559.75356896,3844438.261741098,1.1437299436069739,BBSE3.SA:15.00% | BMEB3.SA:15.00% | CXSE3.SA:15.00% | IRBR3.SA:2.00% | PSSA3.SA:15.00% | TITULO_CDI:38.00%,285,mvo_neutral,0.6200000001031243,0.32678480814963556,0.14209253474057104
