decision_year,decision_date,ticker,previous_weight,new_weight,reason,decision_action,factor
2015,2015-01-02,BBDC4.SA,0.0,0.14999999737395295,entered_after_point_in_time_screen,entered,mvo_neutral
2015,2015-01-02,BBSE3.SA,0.0,0.14999999978105927,entered_after_point_in_time_screen,entered,mvo_neutral
2015,2015-01-02,ITSA4.SA,0.0,0.1499991716643277,entered_after_point_in_time_screen,entered,mvo_neutral
2015,2015-01-02,ITUB3.SA,0.0,0.14999999782344256,entered_after_point_in_time_screen,entered,mvo_neutral
2015,2015-01-02,PSSA3.SA,0.0,0.06457846463983602,entered_after_point_in_time_screen,entered,mvo_neutral
2015,2015-01-02,TITULO_CDI,0.0,0.3354223687173815,defensive_residual_adjustment,entered,mvo_neutral
2016,2016-01-04,BBDC4.SA,0.11360182836019178,0.0,removed_by_constrained_allocator,exited,mvo_neutral
2016,2016-01-04,BBSE3.SA,0.13427556903168286,0.020000000003549356,rebalanced_after_point_in_time_review,reduced,mvo_neutral
2016,2016-01-04,ITSA3.SA,0.0,0.020000000013376307,entered_after_point_in_time_screen,entered,mvo_neutral
2016,2016-01-04,ITSA4.SA,0.13847433661427846,0.0,removed_by_constrained_allocator,exited,mvo_neutral
2016,2016-01-04,ITUB3.SA,0.14592088715258872,0.019999999987445744,rebalanced_after_point_in_time_review,reduced,mvo_neutral
2016,2016-01-04,PSSA3.SA,0.0667326074651213,0.020000001299098978,rebalanced_after_point_in_time_review,reduced,mvo_neutral
2016,2016-01-04,SANB3.SA,0.0,0.14999999995063454,entered_after_point_in_time_screen,entered,mvo_neutral
2016,2016-01-04,TITULO_CDI,0.4009947713761369,0.769999998745895,defensive_residual_adjustment,increased,mvo_neutral
2017,2017-01-02,BBAS3.SA,0.0,0.14999999998508862,entered_after_point_in_time_screen,entered,mvo_neutral
2017,2017-01-02,BBDC4.SA,0.0,0.14999999997092114,entered_after_point_in_time_screen,entered,mvo_neutral
2017,2017-01-02,BBSE3.SA,0.01944150438931755,0.0,removed_by_constrained_allocator,exited,mvo_neutral
2017,2017-01-02,BRSR6.SA,0.0,0.1499999999936284,entered_after_point_in_time_screen,entered,mvo_neutral
2017,2017-01-02,ITSA3.SA,0.02075600996875664,0.0,removed_by_constrained_allocator,exited,mvo_neutral
2017,2017-01-02,ITUB3.SA,0.022479616186157566,0.0,removed_by_constrained_allocator,exited,mvo_neutral
2017,2017-01-02,PSSA3.SA,0.01448237220466157,0.0,removed_by_constrained_allocator,exited,mvo_neutral
2017,2017-01-02,QUAL3.SA,0.0,0.14999999989669754,entered_after_point_in_time_screen,entered,mvo_neutral
2017,2017-01-02,SANB3.SA,0.276349144670595,0.14999999999372868,rebalanced_after_point_in_time_review,reduced,mvo_neutral
2017,2017-01-02,TITULO_CDI,0.6464913525805117,0.2500000001599355,defensive_residual_adjustment,reduced,mvo_neutral
2018,2018-01-02,BBAS3.SA,0.13433043558275753,0.0,removed_by_constrained_allocator,exited,mvo_neutral
2018,2018-01-02,BBDC4.SA,0.15391343170124563,0.0,removed_by_constrained_allocator,exited,mvo_neutral
2018,2018-01-02,BPAC3.SA,0.0,0.14999999997278315,entered_after_point_in_time_screen,entered,mvo_neutral
2018,2018-01-02,BRSR3.SA,0.0,0.15000000007010206,entered_after_point_in_time_screen,entered,mvo_neutral
