decision_year,decision_date,holding_end_exclusive,gross_return,estimated_cost_brl,estimated_cost_rate,net_return,opening_wealth_brl,closing_wealth_brl,turnover,weights_at_decision,known_snapshot_count,factor,target_equity_weight,mvo_eligible_net_return,cdi_net_return
2015,2015-01-02,2016-01-04,0.03308957579281824,975.0000033101076,0.0009750000033101076,0.03211457578950813,1000000.0,1032114.5757895081,0.6500000022067384,BBDC4.SA:10.00% | BBSE3.SA:10.00% | ITSA4.SA:3.00% | ITUB3.SA:10.00% | PSSA3.SA:2.00% | TITULO_CDI:65.00%,137,mvo_neutral,0.3499999977932617,0.03211457578950813,0.1313058205754336
2016,2016-01-04,2017-01-02,0.26338634972608443,702.1322284306464,0.0006802851591293106,0.2627060645669551,1032114.5757895081,1303257.334177362,0.4535234394195403,BBSE3.SA:2.00% | ITSA3.SA:2.00% | ITUB3.SA:2.00% | PSSA3.SA:2.00% | SANB3.SA:10.00% | TITULO_CDI:82.00%,153,mvo_neutral,0.1800001138666742,0.2627060645669551,0.13881531059776075
2017,2017-01-02,2018-01-02,0.15386124719274386,977.4430007072397,0.0007500000000569482,0.1531112471926869,1303257.334177362,1502800.6900262744,0.5000000000379654,BBAS3.SA:10.00% | BBDC4.SA:3.00% | BRSR6.SA:10.00% | QUAL3.SA:2.00% | SANB3.SA:10.00% | TITULO_CDI:65.00%,155,mvo_neutral,0.35000000011257354,0.1531112471926869,0.09485614678200971
2018,2018-01-02,2019-01-02,0.008366173507214025,1093.6918792097847,0.0007277690823995183,0.007638404424814507,1502800.6900262744,1514279.6894665854,0.48517938826634555,BPAC3.SA:10.00% | BRSR3.SA:10.00% | PSSA3.SA:3.00% | QUAL3.SA:10.00% | SANB4.SA:2.00% | TITULO_CDI:65.00%,170,mvo_neutral,0.3499999999931862,0.007638404424814507,0.06367037319283275
2019,2019-01-02,2020-01-02,0.11509731583603466,1128.4955849627145,0.0007452358985018376,0.11435207993753282,1514279.6894665854,1687440.7215642508,0.4968239323345585,BBAS3.SA:3.00% | BRSR6.SA:10.00% | IRBR3.SA:10.00% | PSSA3.SA:2.00% | SANB4.SA:10.00% | TITULO_CDI:65.00%,184,mvo_neutral,0.34999999998550263,0.11435207993753282,0.05915681006147966
2020,2020-01-02,2021-01-04,-0.05092297115335365,1406.3276127079828,0.0008334086019948142,-0.05175637975534846,1687440.7215642508,1600104.8987643323,0.5556057346632095,BBDC3.SA:2.00% | BBSE3.SA:3.00% | BPAC3.SA:10.00% | IRBR3.SA:10.00% | QUAL3.SA:10.00% | TITULO_CDI:65.00%,204,mvo_neutral,0.3499999998950297,-0.05175637975534846,0.027325854367195035
2021,2021-01-04,2022-01-03,0.14855951986271165,816.0535096001687,0.0005100000070185144,0.14804951985569315,1600104.8987643323,1836999.660745134,0.3400000046790096,BPAC3.SA:10.00% | BSLI3.SA:10.00% | ITUB3.SA:2.00% | QUAL3.SA:3.00% | SANB4.SA:10.00% | TITULO_CDI:65.00%,220,mvo_neutral,0.34999995951998175,0.14804951985569315,0.04379550070628868
2022,2022-01-03,2023-01-02,0.0877758781202087,878.9373490917452,0.00047846353370322657,0.08729741458650547,1836999.660745134,1997364.981724472,0.31897568913548435,BBDC4.SA:2.00% | BPAC3.SA:10.00% | BSLI3.SA:10.00% | ITSA4.SA:2.00% | PSSA3.SA:2.00% | TITULO_CDI:74.00%,229,mvo_neutral,0.2600000005920523,0.08729741458650547,0.12294915546054419
2023,2023-01-02,2024-01-02,0.2338246225174776,1788.9506409918251,0.0008956553546098984,0.2329289671628677,1997364.981724472,2462609.1439648336,0.5971035697399323,ABCB4.SA:10.00% | BBAS3.SA:10.00% | BBSE3.SA:10.00% | ITUB4.SA:3.00% | PSSA3.SA:2.00% | TITULO_CDI:65.00%,267,mvo_neutral,0.34999999986559677,0.2329289671628677,0.129326575852571
2024,2024-01-02,2025-01-02,0.03674364484311998,2274.271509662073,0.0009235211016882954,0.03582012374143169,2462609.1439648336,2550820.1082284353,0.6156807344588636,BBAS3.SA:10.00% | BEES3.SA:10.00% | BPAC3.SA:3.00% | BRSR6.SA:2.00% | CXSE3.SA:10.00% | TITULO_CDI:65.00%,286,mvo_neutral,0.3499999996318636,0.03582012374143169,0.08222592706285003
2025,2025-01-02,2025-12-31,0.2669588464039816,1986.4916462892413,0.0007787658721527311,0.26618008053182884,2550820.1082284353,3229797.6100588883,0.5191772481018208,BBSE3.SA:3.00% | BMEB3.SA:10.00% | CXSE3.SA:10.00% | IRBR3.SA:2.00% | PSSA3.SA:10.00% | TITULO_CDI:65.00%,285,mvo_neutral,0.3499999927790872,0.26618008053182884,0.14209253474057104
