decision_year,decision_date,holding_end_exclusive,gross_return,estimated_cost_brl,estimated_cost_rate,net_return,opening_wealth_brl,closing_wealth_brl,turnover,weights_at_decision,known_snapshot_count,factor,target_equity_weight,mvo_eligible_net_return,cdi_net_return
2015,2015-01-02,2016-01-04,-0.012941390924285812,675.0000164145757,0.0006750000164145757,-0.013616390940700388,1000000.0,986383.6090592996,0.4500000109430505,BBDC4.SA:12.00% | BBSE3.SA:12.00% | ITSA4.SA:12.00% | ITUB3.SA:12.00% | PSSA3.SA:7.00% | TITULO_CDI:45.00%,137,mvo_neutral,0.5499999890569496,-0.013616390940700388,0.1313058205754336
2016,2016-01-04,2017-01-02,0.28567232617156524,1245.1670598163969,0.0012623557897559709,0.28440997038180926,986383.6090592996,1266920.942096957,0.8415705265039805,BBSE3.SA:2.00% | ITSA3.SA:2.00% | ITUB3.SA:2.00% | PSSA3.SA:2.00% | SANB3.SA:12.00% | TITULO_CDI:80.00%,153,mvo_neutral,0.20000000132688658,0.28440997038180926,0.13881531059776075
2017,2017-01-02,2018-01-02,0.20668232681623833,1634.3280159332955,0.0012900000004958643,0.20539232681574246,1266920.942096957,1527136.7822858435,0.8600000003305762,BBAS3.SA:12.00% | BBDC4.SA:12.00% | BRSR6.SA:12.00% | QUAL3.SA:7.00% | SANB3.SA:12.00% | TITULO_CDI:45.00%,155,mvo_neutral,0.5500000000505666,0.20539232681574246,0.09485614678200971
2018,2018-01-02,2019-01-02,0.05270726448325003,1665.4610260930554,0.0010905775077987225,0.051616686975451305,1527136.7822858435,1605962.5235457898,0.727051671865815,BPAC3.SA:12.00% | BRSR3.SA:12.00% | PSSA3.SA:12.00% | QUAL3.SA:12.00% | SANB4.SA:7.00% | TITULO_CDI:45.00%,170,mvo_neutral,0.5500000000398957,0.051616686975451305,0.06367037319283275
2019,2019-01-02,2020-01-02,0.14818177845422542,1380.9966061230896,0.00085991832678262,0.1473218601274428,1605962.5235457898,1842555.9098095177,0.5732788845217467,BBAS3.SA:9.17% | BRSR6.SA:12.00% | IRBR3.SA:12.00% | PSSA3.SA:9.83% | SANB4.SA:12.00% | TITULO_CDI:45.00%,184,mvo_neutral,0.5500000001889751,0.1473218601274428,0.05915681006147966
2020,2020-01-02,2021-01-04,-0.0899592641164425,2543.5859369475484,0.001380466081602106,-0.09133973019804462,1842555.9098095177,1674257.3501327035,0.9203107210680707,BBDC3.SA:7.00% | BBSE3.SA:12.00% | BPAC3.SA:12.00% | IRBR3.SA:12.00% | QUAL3.SA:12.00% | TITULO_CDI:45.00%,204,mvo_neutral,0.5499999996663094,-0.09133973019804462,0.027325854367195035
2021,2021-01-04,2022-01-03,0.17207113815106223,1381.027473875929,0.0008248597348349506,0.17124627841622728,1674257.3501327035,1960967.6904539433,0.549906489889967,BPAC3.SA:12.00% | BSLI3.SA:12.00% | ITUB3.SA:2.00% | QUAL3.SA:2.96% | SANB4.SA:12.00% | TITULO_CDI:59.04%,220,mvo_neutral,0.4095650621497331,0.17124627841622728,0.04379550070628868
2022,2022-01-03,2023-01-02,0.08042689303006223,1072.9077360122844,0.0005471317764363153,0.07987976125362592,1960967.6904539433,2117609.3213934787,0.3647545176242102,BBDC4.SA:2.00% | BPAC3.SA:12.00% | BSLI3.SA:12.00% | ITSA4.SA:2.00% | PSSA3.SA:2.00% | TITULO_CDI:70.00%,229,mvo_neutral,0.29999999981629827,0.07987976125362592,0.12294915546054419
2023,2023-01-02,2024-01-02,0.2940566661723081,3105.859207129375,0.0014666818736354943,0.2925899842986726,2117609.3213934787,2737200.5994907194,0.9777879157569962,ABCB4.SA:12.00% | BBAS3.SA:12.00% | BBSE3.SA:12.00% | ITUB4.SA:12.00% | PSSA3.SA:7.00% | TITULO_CDI:45.00%,267,mvo_neutral,0.549999997805765,0.2925899842986726,0.129326575852571
2024,2024-01-02,2025-01-02,0.0019022393563137285,4011.460395790204,0.0014655339460822024,0.00043670541023152617,2737200.5994907194,2738395.949801406,0.9770226307214682,BBAS3.SA:12.00% | BEES3.SA:12.00% | BPAC3.SA:8.16% | BRSR6.SA:10.84% | CXSE3.SA:12.00% | TITULO_CDI:45.00%,286,mvo_neutral,0.5499999999958352,0.00043670541023152617,0.08222592706285003
2025,2025-01-02,2025-12-31,0.2906837809257299,3284.520930864335,0.0011994324382135224,0.28948434848751636,2738395.949801406,3531118.7172305197,0.7996216254756816,BBSE3.SA:12.00% | BMEB3.SA:12.00% | CXSE3.SA:12.00% | IRBR3.SA:2.00% | PSSA3.SA:12.00% | TITULO_CDI:50.00%,285,mvo_neutral,0.5000000018871407,0.28948434848751636,0.14209253474057104
