decision_year,decision_date,ticker,previous_weight,new_weight,reason,decision_action,factor
2015,2015-01-02,BBDC4.SA,0.0,0.11999999941765618,entered_after_point_in_time_screen,entered,mvo_neutral
2015,2015-01-02,BBSE3.SA,0.0,0.11999999986486709,entered_after_point_in_time_screen,entered,mvo_neutral
2015,2015-01-02,ITSA4.SA,0.0,0.11999999544182452,entered_after_point_in_time_screen,entered,mvo_neutral
2015,2015-01-02,ITUB3.SA,0.0,0.11999999947810826,entered_after_point_in_time_screen,entered,mvo_neutral
2015,2015-01-02,PSSA3.SA,0.0,0.06999999485449344,entered_after_point_in_time_screen,entered,mvo_neutral
2015,2015-01-02,TITULO_CDI,0.0,0.4500000109430505,defensive_residual_adjustment,entered,mvo_neutral
2016,2016-01-04,BBDC4.SA,0.08771282734725472,0.0,removed_by_constrained_allocator,exited,mvo_neutral
2016,2016-01-04,BBSE3.SA,0.10367517696087619,0.01999999999568858,rebalanced_after_point_in_time_review,reduced,mvo_neutral
2016,2016-01-04,ITSA3.SA,0.0,0.020000000007559943,entered_after_point_in_time_screen,entered,mvo_neutral
2016,2016-01-04,ITSA4.SA,0.10691766332524731,0.0,removed_by_constrained_allocator,exited,mvo_neutral
2016,2016-01-04,ITUB3.SA,0.11266661579323878,0.01999999998835161,rebalanced_after_point_in_time_review,reduced,mvo_neutral
2016,2016-01-04,PSSA3.SA,0.06981298119274064,0.020000001383327245,rebalanced_after_point_in_time_review,reduced,mvo_neutral
2016,2016-01-04,SANB3.SA,0.0,0.1199999999519592,entered_after_point_in_time_screen,entered,mvo_neutral
2016,2016-01-04,TITULO_CDI,0.5192147353806423,0.7999999986731134,defensive_residual_adjustment,increased,mvo_neutral
2017,2017-01-02,BBAS3.SA,0.0,0.11999999943945684,entered_after_point_in_time_screen,entered,mvo_neutral
2017,2017-01-02,BBDC4.SA,0.0,0.11999999313885061,entered_after_point_in_time_screen,entered,mvo_neutral
2017,2017-01-02,BBSE3.SA,0.020044479490125836,0.0,removed_by_constrained_allocator,exited,mvo_neutral
2017,2017-01-02,BRSR6.SA,0.0,0.11999999965785348,entered_after_point_in_time_screen,entered,mvo_neutral
2017,2017-01-02,ITSA3.SA,0.021399754248787452,0.0,removed_by_constrained_allocator,exited,mvo_neutral
2017,2017-01-02,ITUB3.SA,0.023176817841032423,0.0,removed_by_constrained_allocator,exited,mvo_neutral
2017,2017-01-02,PSSA3.SA,0.014931540695011573,0.0,removed_by_constrained_allocator,exited,mvo_neutral
2017,2017-01-02,QUAL3.SA,0.0,0.0700000079291272,entered_after_point_in_time_screen,entered,mvo_neutral
2017,2017-01-02,SANB3.SA,0.22793605487812985,0.11999999988527846,rebalanced_after_point_in_time_review,reduced,mvo_neutral
2017,2017-01-02,TITULO_CDI,0.6925113528469129,0.4499999999494334,defensive_residual_adjustment,reduced,mvo_neutral
2018,2018-01-02,BBAS3.SA,0.11314624686532106,0.0,removed_by_constrained_allocator,exited,mvo_neutral
2018,2018-01-02,BBDC4.SA,0.12964095702431314,0.0,removed_by_constrained_allocator,exited,mvo_neutral
2018,2018-01-02,BPAC3.SA,0.0,0.11999999999612182,entered_after_point_in_time_screen,entered,mvo_neutral
2018,2018-01-02,BRSR3.SA,0.0,0.12000000001428753,entered_after_point_in_time_screen,entered,mvo_neutral
2018,2018-01-02,BRSR6.SA,0.14653727314177897,0.0,removed_by_constrained_allocator,exited,mvo_neutral
2018,2018-01-02,PSSA3.SA,0.0,0.1199999987493054,entered_after_point_in_time_screen,entered,mvo_neutral
2018,2018-01-02,QUAL3.SA,0.10176707297553896,0.11999999997800813,rebalanced_after_point_in_time_review,increased,mvo_neutral
