decision_year,decision_date,holding_end_exclusive,gross_return,estimated_cost_brl,estimated_cost_rate,net_return,opening_wealth_brl,closing_wealth_brl,turnover,weights_at_decision,known_snapshot_count,factor,target_equity_weight,mvo_eligible_net_return,cdi_net_return
2015,2015-01-02,2016-01-04,-0.015417474528932273,675.0000288500505,0.0006750000288500505,-0.016092474557782323,1000000.0,983907.5254422177,0.450000019233367,BBDC4.SA:12.00% | BBSE3.SA:12.00% | ITSA4.SA:12.00% | ITUB4.SA:12.00% | PSSA3.SA:7.00% | TITULO_CDI:45.00%,137,mvo_low_volatility,0.549999980766633,-0.016092474557782323,0.1313058205754336
2016,2016-01-04,2017-01-02,0.1671529338093778,1238.1024759144518,0.0012583524812029322,0.16589458132817486,983907.5254422177,1147132.4524410951,0.8389016541352882,BBDC3.SA:2.00% | BBSE3.SA:2.00% | ITSA4.SA:2.00% | ITUB3.SA:2.00% | PSSA3.SA:2.00% | TITULO_CDI:90.00%,153,mvo_low_volatility,0.10000000975986774,0.16589458132817486,0.13881531059776075
2017,2017-01-02,2018-01-02,0.16571327619461096,1308.2434559392377,0.001140446731460956,0.16457282946315,1147132.4524410951,1335919.2859083284,0.7602978209739708,BBDC3.SA:12.00% | BBSE3.SA:12.00% | ITSA4.SA:12.00% | ITUB3.SA:12.00% | PSSA3.SA:2.00% | TITULO_CDI:50.00%,155,mvo_low_volatility,0.49999983202629417,0.16457282946315,0.09485614678200971
2018,2018-01-02,2019-01-02,0.20510935881901204,976.0047728631531,0.0007305866328589909,0.20437877218615305,1335919.2859083284,1608952.8293020749,0.4870577552393272,BBDC4.SA:12.00% | BBSE3.SA:2.00% | ITSA4.SA:12.00% | ITUB3.SA:12.00% | PSSA3.SA:12.00% | TITULO_CDI:50.00%,170,mvo_low_volatility,0.5000000467998515,0.20437877218615305,0.06367037319283275
2019,2019-01-02,2020-01-02,0.17043370031130167,1146.0988763094713,0.000712325964712478,0.16972137434658918,1608952.8293020749,1882026.5147500562,0.4748839764749853,BBSE3.SA:7.00% | IRBR3.SA:12.00% | ITSA3.SA:12.00% | ITUB3.SA:12.00% | PSSA3.SA:12.00% | TITULO_CDI:45.00%,184,mvo_low_volatility,0.5499999608519646,0.16972137434658918,0.05915681006147966
2020,2020-01-02,2021-01-04,-0.04527186961848817,1138.6762234703297,0.0006050266638361109,-0.04587689628232428,1882026.5147500562,1795684.9795322837,0.4033511092240739,ABCB4.SA:12.00% | BBSE3.SA:12.00% | ITSA3.SA:12.00% | ITUB3.SA:7.00% | PSSA3.SA:12.00% | TITULO_CDI:45.00%,204,mvo_low_volatility,0.5499999987341965,-0.04587689628232428,0.027325854367195035
2021,2021-01-04,2022-01-03,0.01982449427504185,2283.438535567613,0.001271625347204482,0.018552868927837366,1795684.9795322837,1829000.0875932325,0.8477502314696546,BBSE3.SA:2.00% | BRSR3.SA:2.00% | ITSA3.SA:2.00% | ITUB3.SA:2.00% | PSSA3.SA:2.00% | TITULO_CDI:90.00%,220,mvo_low_volatility,0.10000000437607169,0.018552868927837366,0.04379550070628868
2022,2022-01-03,2023-01-02,0.13125222182232088,194.1130878736322,0.00010613071546052474,0.13114609110686035,1829000.0875932325,2068866.29971519,0.0707538103070165,BBDC3.SA:2.00% | BBSE3.SA:2.00% | BRSR3.SA:2.00% | ITSA3.SA:2.00% | PSSA3.SA:2.00% | TITULO_CDI:90.00%,229,mvo_low_volatility,0.09999999570663656,0.13114609110686035,0.12294915546054419
2023,2023-01-02,2024-01-02,0.1756763532707042,1438.0026857660685,0.0006950679635334728,0.17498128530717072,2068866.29971519,2430879.183968044,0.4633786423556486,BBSE3.SA:12.00% | BRSR3.SA:2.00% | ITSA3.SA:2.00% | ITUB3.SA:12.00% | SANB3.SA:2.00% | TITULO_CDI:70.00%,267,mvo_low_volatility,0.30000011221439116,0.17498128530717072,0.129326575852571
2024,2024-01-02,2025-01-02,0.022802642235168813,2461.90779882181,0.0010127643591085907,0.021789877876060224,2430879.183968044,2483847.744518164,0.6751762394057271,BBSE3.SA:2.00% | BEES3.SA:12.00% | CXSE3.SA:12.00% | ITSA3.SA:12.00% | ITUB3.SA:12.00% | TITULO_CDI:50.00%,286,mvo_low_volatility,0.5000000652660146,0.021789877876060224,0.08222592706285003
2025,2025-01-02,2025-12-31,0.16449925409260802,3051.7871599245027,0.001228653071292223,0.1632706010213158,2483847.744518164,2889387.0586110847,0.8191020475281485,BBAS3.SA:2.00% | BBSE3.SA:12.00% | ITSA3.SA:2.00% | ITUB3.SA:2.00% | SANB3.SA:2.00% | TITULO_CDI:80.00%,285,mvo_low_volatility,0.19999999608182967,0.1632706010213158,0.14209253474057104
