decision_year,decision_date,ticker,weight,previous_weight,decision_action,factor,value_quality_score,factor_signal_at_decision,trailing_12m_return_at_decision,trailing_12m_volatility_at_decision,eligible_at_decision,fundamental_status,decision_rationale,realised_next_year_return
2015,2015-01-02,BBDC4.SA,0.11999999901852593,0.0,entered,mvo_low_volatility,0.38888888888888884,,0.268163982253788,0.36278244414132377,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.28331650483485205
2015,2015-01-02,BBSE3.SA,0.11999999977923358,0.0,entered,mvo_low_volatility,0.40740740740740744,,0.3704341338937569,0.27180100037109783,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.15289142812468115
2015,2015-01-02,ITSA4.SA,0.11999999102799612,0.0,entered,mvo_low_volatility,0.6851851851851851,,0.209315868868996,0.3313038404675819,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.12639770597933397
2015,2015-01-02,ITUB4.SA,0.11999999887665777,0.0,entered,mvo_low_volatility,0.5740740740740741,,0.2616405736022114,0.3375381686842137,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.1003699246527715
2015,2015-01-02,PSSA3.SA,0.0699999920642196,0.0,entered,mvo_low_volatility,0.48148148148148145,,0.1355238972247803,0.29680964779345403,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.02212416879000778
2015,2015-01-02,TITULO_CDI,0.450000019233367,0.0,entered,mvo_low_volatility,,,,,True,CDI residual,"Defensive residual after equity, issuer and eligibility constraints.",0.1313058205754336
2016,2016-01-04,BBDC3.SA,0.020000000050523055,0.0,entered,mvo_low_volatility,0.4305555555555556,,-0.22147290604368963,0.3214292899097514,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.6587991949643557
2016,2016-01-04,BBSE3.SA,0.020000000081193254,0.1039416293618628,reduced,mvo_low_volatility,0.4166666666666667,,-0.17092071476553972,0.3870518962563903,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,0.31850315576987165
2016,2016-01-04,ITSA4.SA,0.020000000192217742,0.10719244527500597,reduced,mvo_low_volatility,0.625,,-0.14459693402439444,0.3008854494674754,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,0.49429361160676955
2016,2016-01-04,ITUB3.SA,0.02000000002827911,0.0,entered,mvo_low_volatility,0.7361111111111112,,-0.05740834775714676,0.2919780234808743,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.5245448249413878
2016,2016-01-04,PSSA3.SA,0.02000000940765458,0.0699924026601706,reduced,mvo_low_volatility,0.27777777777777773,,0.06573495596639822,0.35954369737626957,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,-0.017820234711730554
