decision_year,decision_date,ticker,previous_weight,new_weight,reason,decision_action,factor
2015,2015-01-02,BBDC4.SA,0.0,0.11999999901852593,entered_after_point_in_time_screen,entered,mvo_low_volatility
2015,2015-01-02,BBSE3.SA,0.0,0.11999999977923358,entered_after_point_in_time_screen,entered,mvo_low_volatility
2015,2015-01-02,ITSA4.SA,0.0,0.11999999102799612,entered_after_point_in_time_screen,entered,mvo_low_volatility
2015,2015-01-02,ITUB4.SA,0.0,0.11999999887665777,entered_after_point_in_time_screen,entered,mvo_low_volatility
2015,2015-01-02,PSSA3.SA,0.0,0.0699999920642196,entered_after_point_in_time_screen,entered,mvo_low_volatility
2015,2015-01-02,TITULO_CDI,0.0,0.450000019233367,defensive_residual_adjustment,entered,mvo_low_volatility
2016,2016-01-04,BBDC3.SA,0.0,0.020000000050523055,entered_after_point_in_time_screen,entered,mvo_low_volatility
2016,2016-01-04,BBDC4.SA,0.08793825517203545,0.0,removed_by_constrained_allocator,exited,mvo_low_volatility
2016,2016-01-04,BBSE3.SA,0.1039416293618628,0.020000000081193254,rebalanced_after_point_in_time_review,reduced,mvo_low_volatility
2016,2016-01-04,ITSA4.SA,0.10719244527500597,0.020000000192217742,rebalanced_after_point_in_time_review,reduced,mvo_low_volatility
2016,2016-01-04,ITUB3.SA,0.0,0.02000000002827911,entered_after_point_in_time_screen,entered,mvo_low_volatility
2016,2016-01-04,ITUB4.SA,0.11038610427963488,0.0,removed_by_constrained_allocator,exited,mvo_low_volatility
2016,2016-01-04,PSSA3.SA,0.0699924026601706,0.02000000940765458,rebalanced_after_point_in_time_review,reduced,mvo_low_volatility
2016,2016-01-04,TITULO_CDI,0.5205491632512903,0.8999999902401322,defensive_residual_adjustment,increased,mvo_low_volatility
2017,2017-01-02,BBDC3.SA,0.028489462079746744,0.11999999960715169,rebalanced_after_point_in_time_review,increased,mvo_low_volatility
2017,2017-01-02,BBSE3.SA,0.022644962590992367,0.1199998324856537,rebalanced_after_point_in_time_review,increased,mvo_low_volatility
2017,2017-01-02,ITSA4.SA,0.02566411993369835,0.11999999963354784,rebalanced_after_point_in_time_review,increased,mvo_low_volatility
2017,2017-01-02,ITUB3.SA,0.026183676760024303,0.11999999944322785,rebalanced_after_point_in_time_review,increased,mvo_low_volatility
2017,2017-01-02,PSSA3.SA,0.016868700174846988,0.020000000856713072,rebalanced_after_point_in_time_review,increased,mvo_low_volatility
2017,2017-01-02,TITULO_CDI,0.8801490784606913,0.500000167973706,defensive_residual_adjustment,reduced,mvo_low_volatility
2018,2018-01-02,BBDC3.SA,0.1290706886919468,0.0,removed_by_constrained_allocator,exited,mvo_low_volatility
2018,2018-01-02,BBDC4.SA,0.0,0.119999999108959,entered_after_point_in_time_screen,entered,mvo_low_volatility
2018,2018-01-02,BBSE3.SA,0.11041780843503064,0.02000003907427464,rebalanced_after_point_in_time_review,reduced,mvo_low_volatility
2018,2018-01-02,ITSA4.SA,0.13575573072968397,0.12000000167634188,rebalanced_after_point_in_time_review,reduced,mvo_low_volatility
2018,2018-01-02,ITUB3.SA,0.12828469366152273,0.12000000314790409,rebalanced_after_point_in_time_review,reduced,mvo_low_volatility
2018,2018-01-02,PSSA3.SA,0.02374389079721448,0.12000000379237198,rebalanced_after_point_in_time_review,increased,mvo_low_volatility
2018,2018-01-02,TITULO_CDI,0.4727271876846014,0.49999995320014856,defensive_residual_adjustment,increased,mvo_low_volatility
2019,2019-01-02,BBDC4.SA,0.1265578301142229,0.0,removed_by_constrained_allocator,exited,mvo_low_volatility
2019,2019-01-02,BBSE3.SA,0.01799762016584128,0.06999996456825236,rebalanced_after_point_in_time_review,increased,mvo_low_volatility
2019,2019-01-02,IRBR3.SA,0.0,0.12000000031243889,entered_after_point_in_time_screen,entered,mvo_low_volatility
2019,2019-01-02,ITSA3.SA,0.0,0.11999999877693115,entered_after_point_in_time_screen,entered,mvo_low_volatility
2019,2019-01-02,ITSA4.SA,0.13029991180804937,0.0,removed_by_constrained_allocator,exited,mvo_low_volatility
2019,2019-01-02,ITUB3.SA,0.12658001921211137,0.11999999763701928,rebalanced_after_point_in_time_review,reduced,mvo_low_volatility
2019,2019-01-02,PSSA3.SA,0.15400422445367065,0.1199999995573229,rebalanced_after_point_in_time_review,reduced,mvo_low_volatility
2019,2019-01-02,TITULO_CDI,0.4445603942461044,0.4500000391480354,defensive_residual_adjustment,increased,mvo_low_volatility
2020,2020-01-02,ABCB4.SA,0.0,0.11999999797579637,entered_after_point_in_time_screen,entered,mvo_low_volatility
2020,2020-01-02,BBSE3.SA,0.08417234991257021,0.11999999978895076,rebalanced_after_point_in_time_review,increased,mvo_low_volatility
2020,2020-01-02,IRBR3.SA,0.14937370922868903,0.0,removed_by_constrained_allocator,exited,mvo_low_volatility
2020,2020-01-02,ITSA3.SA,0.11455754921827284,0.11999986673458349,rebalanced_after_point_in_time_review,increased,mvo_low_volatility
2020,2020-01-02,ITUB3.SA,0.11291335331481878,0.07000013656108339,rebalanced_after_point_in_time_review,reduced,mvo_low_volatility
2020,2020-01-02,PSSA3.SA,0.129388626303395,0.11999999767378244,rebalanced_after_point_in_time_review,reduced,mvo_low_volatility
2020,2020-01-02,TITULO_CDI,0.40959441202225416,0.4500000012658036,defensive_residual_adjustment,increased,mvo_low_volatility
2021,2021-01-04,ABCB4.SA,0.10075760400491311,0.0,removed_or_blocked_by_eligibility,exited,mvo_low_volatility
2021,2021-01-04,BBSE3.SA,0.11285594606069876,0.02000000050558099,rebalanced_after_point_in_time_review,reduced,mvo_low_volatility
2021,2021-01-04,BRSR3.SA,0.0,0.020000000230521328,entered_after_point_in_time_screen,entered,mvo_low_volatility
2021,2021-01-04,ITSA3.SA,0.1176120566604897,0.020000000729132834,rebalanced_after_point_in_time_review,reduced,mvo_low_volatility
2021,2021-01-04,ITUB3.SA,0.0673238193858021,0.020000002889985324,rebalanced_after_point_in_time_review,reduced,mvo_low_volatility
2021,2021-01-04,PSSA3.SA,0.10532569376847391,0.020000000020851217,rebalanced_after_point_in_time_review,reduced,mvo_low_volatility
2021,2021-01-04,TITULO_CDI,0.4961248801196224,0.8999999956239284,defensive_residual_adjustment,increased,mvo_low_volatility
2022,2022-01-03,BBDC3.SA,0.0,0.019999998977666838,entered_after_point_in_time_screen,entered,mvo_low_volatility
2022,2022-01-03,BBSE3.SA,0.014427138191526693,0.01999999991702755,rebalanced_after_point_in_time_review,increased,mvo_low_volatility
2022,2022-01-03,BRSR3.SA,0.01573313034734631,0.01999999884659371,rebalanced_after_point_in_time_review,increased,mvo_low_volatility
2022,2022-01-03,ITSA3.SA,0.016209630485845086,0.019999998840499147,rebalanced_after_point_in_time_review,increased,mvo_low_volatility
2022,2022-01-03,ITUB3.SA,0.014169719780778935,0.0,removed_by_constrained_allocator,exited,mvo_low_volatility
2022,2022-01-03,PSSA3.SA,0.018253191528410276,0.019999999124849323,rebalanced_after_point_in_time_review,increased,mvo_low_volatility
2022,2022-01-03,TITULO_CDI,0.9212071896660927,0.9000000042933634,defensive_residual_adjustment,reduced,mvo_low_volatility
2023,2023-01-02,BBDC3.SA,0.016226150499173458,0.0,removed_by_constrained_allocator,exited,mvo_low_volatility
2023,2023-01-02,BBSE3.SA,0.031162880360237295,0.11999999988773208,rebalanced_after_point_in_time_review,increased,mvo_low_volatility
2023,2023-01-02,BRSR3.SA,0.017147798285632225,0.020000000684260135,rebalanced_after_point_in_time_review,increased,mvo_low_volatility
2023,2023-01-02,ITSA3.SA,0.020097754127348193,0.020000112390697305,rebalanced_after_point_in_time_review,reduced,mvo_low_volatility
2023,2023-01-02,ITUB3.SA,0.0,0.11999999863520225,entered_after_point_in_time_screen,entered,mvo_low_volatility
2023,2023-01-02,PSSA3.SA,0.02151985017535233,0.0,removed_by_constrained_allocator,exited,mvo_low_volatility
2023,2023-01-02,SANB3.SA,0.0,0.02000000061649936,entered_after_point_in_time_screen,entered,mvo_low_volatility
2023,2023-01-02,TITULO_CDI,0.8938455665522564,0.6999998877856088,defensive_residual_adjustment,reduced,mvo_low_volatility
2024,2024-01-02,BBSE3.SA,0.11427471775806339,0.020000067228058162,rebalanced_after_point_in_time_review,reduced,mvo_low_volatility
2024,2024-01-02,BEES3.SA,0.0,0.12000000048050434,entered_after_point_in_time_screen,entered,mvo_low_volatility
2024,2024-01-02,BRSR3.SA,0.02390219452045887,0.0,removed_by_constrained_allocator,exited,mvo_low_volatility
2024,2024-01-02,CXSE3.SA,0.0,0.12000000032600512,entered_after_point_in_time_screen,entered,mvo_low_volatility
2024,2024-01-02,ITSA3.SA,0.022411879302764583,0.11999999819911863,rebalanced_after_point_in_time_review,increased,mvo_low_volatility
2024,2024-01-02,ITUB3.SA,0.1449945056047745,0.11999999903232837,rebalanced_after_point_in_time_review,reduced,mvo_low_volatility
2024,2024-01-02,SANB3.SA,0.020803743223147122,0.0,removed_by_constrained_allocator,exited,mvo_low_volatility
2024,2024-01-02,TITULO_CDI,0.6736129595907916,0.49999993473398535,defensive_residual_adjustment,reduced,mvo_low_volatility
2025,2025-01-02,BBAS3.SA,0.0,0.01999999937909204,entered_after_point_in_time_screen,entered,mvo_low_volatility
2025,2025-01-02,BBSE3.SA,0.020049079249366494,0.11999999685753605,rebalanced_after_point_in_time_review,increased,mvo_low_volatility
2025,2025-01-02,BEES3.SA,0.12372729224380395,0.0,removed_or_blocked_by_eligibility,exited,mvo_low_volatility
2025,2025-01-02,CXSE3.SA,0.11006029187749629,0.0,removed_by_constrained_allocator,exited,mvo_low_volatility
2025,2025-01-02,ITSA3.SA,0.10807085644125553,0.019999999196433717,rebalanced_after_point_in_time_review,reduced,mvo_low_volatility
2025,2025-01-02,ITUB3.SA,0.10769258346863132,0.0200000010706791,rebalanced_after_point_in_time_review,reduced,mvo_low_volatility
2025,2025-01-02,SANB3.SA,0.0,0.019999999578088738,entered_after_point_in_time_screen,entered,mvo_low_volatility
2025,2025-01-02,TITULO_CDI,0.5303998967194463,0.8000000039181703,defensive_residual_adjustment,increased,mvo_low_volatility
