decision_year,decision_date,holding_end_exclusive,gross_return,estimated_cost_brl,estimated_cost_rate,net_return,opening_wealth_brl,closing_wealth_brl,turnover,weights_at_decision,known_snapshot_count,factor,target_equity_weight,mvo_eligible_net_return,cdi_net_return
2015,2015-01-02,2016-01-04,-0.015417474528933495,675.0000288500551,0.0006750000288500551,-0.01609247455778355,1000000.0,983907.5254422165,0.4500000192333701,BBDC4.SA:12.00% | BBSE3.SA:12.00% | ITSA4.SA:12.00% | ITUB4.SA:12.00% | PSSA3.SA:7.00% | TITULO_CDI:45.00%,137,mvo_risk_adjusted,0.5499999807666298,-0.013616390940700388,0.1313058205754336
2016,2016-01-04,2017-01-02,0.2856723261806329,1297.1369521933368,0.0013183525063601273,0.28435397367427273,983907.5254422165,1263685.5400297313,0.8789016709067514,BBSE3.SA:2.00% | ITSA3.SA:2.00% | ITUB3.SA:2.00% | PSSA3.SA:2.00% | SANB3.SA:12.00% | TITULO_CDI:80.00%,153,mvo_risk_adjusted,0.20000000124192618,0.28440997038180926,0.13881531059776075
2017,2017-01-02,2018-01-02,0.17786815904391373,1630.154345086954,0.0012899999987723216,0.1765781590451414,1263685.5400297313,1486824.8063001467,0.8599999991815477,BBAS3.SA:12.00% | BBDC4.SA:12.00% | BRSR6.SA:12.00% | ITUB4.SA:7.00% | SANB3.SA:12.00% | TITULO_CDI:45.00%,155,mvo_risk_adjusted,0.5499999996555371,0.20539232681574246,0.09485614678200971
2018,2018-01-02,2019-01-02,0.06487747675628408,2290.7938515855544,0.0015407288349499797,0.0633367479213341,1486824.8063001467,1580995.4542599653,1.0271525566333197,BRSR3.SA:12.00% | ITSA4.SA:12.00% | ITUB3.SA:7.00% | PSSA3.SA:12.00% | QUAL3.SA:12.00% | TITULO_CDI:45.00%,170,mvo_risk_adjusted,0.5500000001960129,0.051616686975451305,0.06367037319283275
2019,2019-01-02,2020-01-02,0.147072656095524,1774.5593402943946,0.0011224316524838037,0.1459502244430402,1580995.4542599653,1811742.0956526336,0.7482877683225357,BRSR6.SA:12.00% | IRBR3.SA:12.00% | ITSA3.SA:7.00% | PSSA3.SA:12.00% | SANB4.SA:12.00% | TITULO_CDI:45.00%,184,mvo_risk_adjusted,0.5500000000548377,0.1473218601274428,0.05915681006147966
2020,2020-01-02,2021-01-04,-0.0903948183669504,2501.122483915584,0.0013805069109544639,-0.09177532527790487,1811742.0956526336,1645468.8755044402,0.9203379406363091,ABCB4.SA:7.00% | BBSE3.SA:12.00% | BPAC3.SA:12.00% | IRBR3.SA:12.00% | QUAL3.SA:12.00% | TITULO_CDI:45.00%,204,mvo_risk_adjusted,0.5499999996692138,-0.09133973019804462,0.027325854367195035
2021,2021-01-04,2022-01-03,0.17207113828137044,1359.4263147326787,0.0008261634935610245,0.17124497478780942,1645468.8755044402,1927247.151604323,0.5507756623740163,BPAC3.SA:12.00% | BSLI3.SA:12.00% | ITUB3.SA:2.00% | QUAL3.SA:2.96% | SANB4.SA:12.00% | TITULO_CDI:59.04%,220,mvo_risk_adjusted,0.40956506196850706,0.17124627841622728,0.04379550070628868
2022,2022-01-03,2023-01-02,0.08042689303006223,1054.4581569560078,0.0005471317760559312,0.0798797612540063,1927247.151604323,2081195.19395194,0.3647545173706208,BBDC4.SA:2.00% | BPAC3.SA:12.00% | BSLI3.SA:12.00% | ITSA4.SA:2.00% | PSSA3.SA:2.00% | TITULO_CDI:70.00%,229,mvo_risk_adjusted,0.2999999998162983,0.07987976125362592,0.12294915546054419
2023,2023-01-02,2024-01-02,0.29405666617230963,3052.451266466618,0.0014666818736354947,0.2925899842986741,2081195.19395194,2690132.063072814,0.9777879157569964,ABCB4.SA:12.00% | BBAS3.SA:12.00% | BBSE3.SA:12.00% | ITUB4.SA:12.00% | PSSA3.SA:7.00% | TITULO_CDI:45.00%,267,mvo_risk_adjusted,0.5499999978057651,0.2925899842986726,0.129326575852571
2024,2024-01-02,2025-01-02,0.016020777836413203,3942.479856285575,0.0014655339454904908,0.014555243890922711,2690132.063072814,2729287.5913496297,0.9770226303269938,BBAS3.SA:12.00% | BEES3.SA:12.00% | BRSR6.SA:12.00% | CXSE3.SA:12.00% | ITUB3.SA:7.00% | TITULO_CDI:45.00%,286,mvo_risk_adjusted,0.5500000000309568,0.00043670541023152617,0.08222592706285003
2025,2025-01-02,2025-12-31,0.2989418273981921,3174.949611715809,0.0011632887724176404,0.29777853862577447,2729287.5913496297,3542010.8617911823,0.7755258482784269,BBSE3.SA:12.00% | BMEB3.SA:12.00% | CXSE3.SA:12.00% | ITUB3.SA:2.00% | PSSA3.SA:12.00% | TITULO_CDI:50.00%,285,mvo_risk_adjusted,0.5000000002525038,0.28948434848751636,0.14209253474057104
