date,ITUB4.SA,MGLU3.SA,PETR4.SA,VALE3.SA,TITULO_CDI
2013-01-02,8.136,3.3927,4.2124,17.5878,100.026555
2013-01-03,8.379,3.5327,4.3643,17.2887,100.05311705168023
2013-01-04,8.3035,3.4851,4.3814,16.9616,100.07972417709779
2013-01-07,8.1879,3.4297,4.2958,16.6865,100.10630034785302
2013-01-08,8.2209,3.4059,4.1718,16.5548,100.13284653657925
2013-01-09,8.353,3.3531,4.2103,16.6306,100.15936271567061
2013-01-10,8.2469,3.3927,4.2424,16.8061,100.18592297547555
2013-01-11,8.2681,3.3294,4.2531,16.4591,100.2125273473217
2013-01-14,8.3696,3.4218,4.2466,16.5229,100.23917686471917
2013-01-15,8.2657,3.4191,4.2402,16.4153,100.26587055751826
2013-01-16,8.3389,3.3531,4.2445,16.3116,100.29257135884772
2013-01-17,8.4805,3.2739,4.2167,16.3435,100.3192792706006
2013-01-18,8.5088,3.2264,4.1889,16.1959,100.34591905521091
2013-01-21,8.4474,3.2079,4.1482,16.1839,100.37260404546527
2013-01-22,8.5418,3.134,4.1889,16.4113,100.39929613205909
2013-01-23,8.4238,3.1049,4.1825,16.2916,100.42599531687951
2013-01-24,8.4333,3.0363,4.1953,15.9526,100.45270160181413
2013-01-28,8.2115,3.1023,4.144,15.4701,100.50620983435992
2013-01-29,8.1997,3.1736,4.0883,15.6495,100.53301182533644
2013-01-30,8.0439,3.1155,3.8936,15.4541,100.55982096359992
2013-01-31,8.1053,3.1683,3.868,16.0563,100.58663725105627
2013-02-01,8.0616,3.3162,3.9493,16.2916,100.61346068961201
2013-02-04,7.8728,3.3241,3.8509,16.1321,100.64032850815457
2013-02-05,8.0711,3.1261,3.868,15.833,100.66720350147938
2013-02-06,7.9034,3.031,3.7653,16.0125,100.69408567150239
2013-02-07,7.8539,3.0152,3.7439,15.5658,100.72093776332842
2013-02-08,7.9955,2.9835,3.7952,15.6894,100.74779701580177
2013-02-13,7.9743,2.9386,3.8081,15.5977,100.77466343083196
2013-02-14,7.9365,2.9729,3.7803,15.3863,100.8014997237036
2013-02-15,8.3048,2.8805,3.7717,15.2746,100.82834316308002
2013-02-18,8.3921,2.8119,3.8295,15.171,100.85519375086436
2013-02-19,8.2292,2.9043,3.8723,15.0154,100.88201417253853
2013-02-20,8.0852,2.8066,3.7696,14.5328,100.90891637925792
2013-02-21,8.0262,2.8383,3.7054,14.6365,100.93582575998879
2013-02-22,8.2859,2.8488,3.669,14.2457,100.96277966289972
2013-02-25,8.3024,2.8066,3.6262,14.3095,100.98989018849483
2013-02-26,8.1513,2.7802,3.5813,14.5967,101.0169332612895
2013-02-27,8.182,2.7142,3.5963,14.7562,101.04398357567818
2013-02-28,8.2788,2.6772,3.5535,15.0752,101.07104113360008
2013-03-01,8.313,2.6271,3.6155,14.6565,101.09810593699481
2013-03-04,8.2776,2.5003,3.53,14.2138,101.12521539410182
2013-03-05,8.3626,2.561,3.5428,14.138,101.15233212060974
2013-03-06,8.5017,2.5742,3.8616,14.9157,101.17945611846788
2013-03-07,8.5566,2.5082,4.0541,14.9077,101.20658738962605
2013-03-08,8.8097,2.4845,3.93,14.493,101.23372593603457
2013-03-11,8.7619,2.5452,4.0498,14.6246,101.26087175964432
2013-03-12,8.6306,2.6007,4.0092,14.473,101.28802486240664
2013-03-13,8.6187,2.4871,4.0135,13.9027,101.3151852462735
2013-03-14,8.4873,2.5241,4.1461,13.9585,101.34235291319729
2013-03-15,8.4945,2.4792,4.084,13.8509,101.36952786513096
2013-03-18,8.6019,2.4317,4.1076,13.9665,101.39671010402797
2013-03-19,8.5518,2.4158,4.0862,13.3922,101.42389963184235
2013-03-20,8.6258,2.4079,4.0327,13.6993,101.45109645052861
2013-03-21,8.5303,2.4449,3.9642,13.815,101.47830056204181
2013-03-22,8.4253,2.4158,3.9856,13.8429,101.50551196833753
2013-03-25,8.356,2.4317,3.9856,13.6594,101.53273067137182
2013-03-26,8.4444,2.3498,3.9771,13.7392,101.55995667310135
2013-03-27,8.4635,2.3498,3.9407,14.0104,101.58718997548324
2013-03-28,8.5924,2.4185,3.9257,13.9187,101.61450575499575
2013-04-01,8.467,2.3974,3.8594,13.5358,101.64186647681535
2013-04-02,8.3476,2.4686,3.7867,13.2407,101.6692345657829
2013-04-03,8.3165,2.4686,3.8509,14.0981,101.6965724062653
2013-04-04,8.0801,2.4607,3.791,13.6355,101.72391759761963
2013-04-05,8.0777,2.4158,3.8081,13.7831,101.75127014182246
2013-04-08,8.0729,2.3894,3.7246,13.8389,101.7786300408509
2013-04-09,8.264,2.4079,3.8829,14.4331,101.8059972966826
2013-04-10,8.3882,2.3736,3.9407,13.9585,101.83337191129571
2013-04-11,8.4192,2.2759,3.8487,13.6156,101.86075388666896
2013-04-12,8.264,2.3261,3.8423,13.791,101.88814322478154
2013-04-15,8.0849,2.2416,3.6861,12.9456,101.91553992761327
2013-04-16,8.2879,2.2759,3.7867,13.2407,101.94290628839464
2013-04-17,8.0849,2.1518,3.6733,13.2901,101.9702799975912
2013-04-18,7.8078,2.1624,3.8124,13.0608,101.99856859266814
2013-04-19,7.9798,2.1544,3.9535,13.1427,102.0268650355671
2013-04-22,7.9535,2.099,4.0156,13.3311,102.05516932846528
2013-04-23,7.9893,2.0805,4.1033,13.675,102.08348147354039
2013-04-24,8.0466,2.0858,4.1611,13.7487,102.11180147297077
2013-04-25,8.0944,2.1228,4.1076,14.0148,102.14012932893539
2013-04-26,7.8269,1.9855,4.1268,13.5644,102.16842725176598
2013-04-29,7.8341,1.9036,4.3536,13.7569,102.1967330145361
2013-04-30,8.0347,1.8904,4.4697,14.023,102.22504661941775
2013-05-02,7.9427,1.9406,4.5053,13.7118,102.25336806858367
2013-05-03,8.0526,2.0673,4.4497,13.8388,102.28169736420708
2013-05-06,8.0407,2.1043,4.5276,13.851,102.31007235268986
2013-05-07,8.2772,2.1914,4.5877,14.2687,102.33845521296195
2013-05-08,8.3633,2.1386,4.5142,14.3137,102.36680808197869
2013-05-09,8.3633,2.1386,4.5031,14.3915,102.39520668187679
2013-05-10,8.2844,2.1122,4.4386,14.0189,102.42357527388799
2013-05-13,8.1267,2.0198,4.314,13.6914,102.45191382869476
2013-05-14,8.2486,2.128,4.3496,13.4252,102.48026022421288
2013-05-15,8.3871,2.1676,4.354,13.1427,102.50861446261172
2013-05-16,8.3083,2.0462,4.3941,12.8357,102.53697654606124
2013-05-17,8.423,2.1835,4.4386,12.9585,102.56534647673202
2013-05-20,8.4947,2.3498,4.4942,13.4662,102.5937242567952
2013-05-21,7.8447,2.4185,4.5031,13.5726,102.62210988842257
2013-05-22,7.9475,2.3155,4.4319,13.3556,102.65050337378652
2013-05-23,7.8806,2.2706,4.4186,13.1059,102.67890471505999
2013-05-24,7.8567,2.3023,4.4608,12.979,102.70731391441655
2013-05-27,7.8232,2.3261,4.4364,13.0404,102.73573097403039
2013-05-28,7.8495,2.3525,4.4653,12.8152,102.76415589607628
2013-05-29,7.6583,2.3102,4.4163,12.7128,102.7925886827296
2013-05-31,7.742,2.1518,4.4608,12.4672,102.82292688735342
2013-06-03,7.6786,2.1571,4.5142,12.938,102.85327404599497
2013-06-04,7.7169,2.1228,4.4653,13.1018,102.88363016129689
