decision_year,selected_configuration,equity_weight,imputed_weight,imputed_share_of_equity,imputed_tickers,actions_applied_to_selected_tickers
2015,eq55_n8_low_volatility,0.54999994372973,0.1099999971199235,0.2000000152254152,CIEL3.SA,21
2016,eq75_n5_value_quality,0.7499999991676438,0.2399999977712374,0.3199999973834552,ENBR3.SA,4
2017,eq75_n5_value_quality,0.7499999907786452,0.0,0.0,,4
2018,eq95_n5_value_quality,0.949999992597652,0.0,0.0,,5
2019,eq95_n5_triple_factor,0.9499999999999997,0.0,0.0,,13
2020,eq95_n5_triple_factor,0.9499999999999998,0.5,0.5263157894736843,AZUL4.SA | MRFG3.SA,6
2021,eq95_n5_triple_factor,0.9499999999999998,0.25,0.26315789473684215,MRFG3.SA,3
2022,eq75_n5_triple_factor,0.7499999999999998,0.0,0.0,,7
2023,eq55_n5_triple_factor,0.5499999999999998,0.0,0.0,,9
2024,eq55_n5_triple_factor,0.5499999999999998,0.0,0.0,,0
2025,eq55_n5_triple_factor,0.5499999999999998,0.050441560826489,0.09171192877543458,STBP3.SA,0
