date,decision_year,strategy,mvo,cdi,equity_sleeve,IBOVESPA,BOVA11
2012-01-03,2012,100.855083,100.057133,100.0,101.638775,100.0,102.402249
2012-01-04,2012,100.90825,99.213134,100.0,101.735444,100.168734,102.402249
2012-01-05,2012,100.910307,98.58067,100.0,101.739184,98.786805,101.017012
2012-01-06,2012,101.09207,98.631055,100.0,102.069661,98.877921,101.262496
2012-01-09,2012,101.388547,98.786973,100.0,102.60871,99.692905,102.139227
2012-01-10,2012,102.393947,98.038764,100.0,104.43671,100.912849,103.278981
2012-01-11,2012,102.944838,98.262668,100.0,105.438331,101.176074,103.805018
2012-01-12,2012,102.984948,98.521141,100.0,105.511258,101.106893,103.629668
2012-01-13,2012,102.540205,98.437993,100.0,104.702635,99.800894,102.051555
2012-01-16,2012,103.233595,99.902111,100.0,105.963343,101.16595,102.051555
2012-01-17,2012,104.062746,99.714243,100.0,107.470892,102.330212,102.051555
2012-01-18,2012,104.686122,100.879868,100.0,108.604301,104.147473,106.610557
2012-01-19,2012,104.963803,100.770553,100.0,109.109176,104.49169,106.838509
2012-01-20,2012,105.194581,101.2447,100.0,109.528772,105.141314,107.662639
2012-01-23,2012,104.934718,100.704984,100.0,109.056294,105.266177,107.873052
2012-01-24,2012,104.899897,101.003366,100.0,108.992984,105.434911,108.013326
2012-01-26,2012,105.488056,100.700106,100.0,110.062364,106.222897,108.802386
2012-01-27,2012,105.489472,100.26366,100.0,110.064938,106.140218,108.767316
2012-01-30,2012,105.653773,100.368544,100.0,110.363667,105.914115,108.46923
2012-01-31,2012,106.012931,101.086762,100.0,111.016682,106.42369,109.012799
2012-02-01,2012,107.146404,101.343921,100.0,113.077542,108.946258,111.379979
2012-02-02,2012,108.011651,101.22797,100.0,114.650718,108.990129,111.502721
2012-02-03,2012,108.988708,101.373576,100.0,116.427185,110.043027,112.589866
2012-02-06,2012,108.533917,101.090067,100.0,115.600293,110.054838,112.554802
2012-02-07,2012,109.422194,104.071759,100.0,117.215342,111.224163,113.887425
2012-02-08,2012,109.184369,104.708582,100.0,116.782933,111.079052,113.589339
2012-02-09,2012,109.201323,105.210566,100.0,116.813758,110.571163,113.133435
2012-02-10,2012,107.933577,105.397101,100.0,114.508766,107.986164,110.555849
2012-02-13,2012,108.707385,106.498617,100.0,115.915688,110.844512,110.555849
2012-02-14,2012,108.277482,106.320542,100.0,115.134047,109.742681,112.239179
2012-02-15,2012,108.533247,106.763834,100.0,115.599074,110.297815,112.887951
2012-02-16,2012,110.410341,107.252063,100.0,119.011972,111.603813,113.992642
2012-02-17,2012,110.432631,108.95802,100.0,119.0525,111.708428,114.185524
2012-02-22,2012,110.100337,108.162163,100.0,118.448329,,
2012-02-23,2012,110.306913,107.687782,100.0,118.823923,111.060491,113.729619
2012-02-24,2012,111.389011,109.029543,100.0,120.791373,111.268033,113.782221
2012-02-27,2012,110.849922,109.612004,100.0,119.811211,110.083523,112.660006
2012-02-28,2012,111.551271,109.611775,100.0,121.086391,111.295031,113.975103
2012-02-29,2012,112.396662,110.081345,100.0,122.623466,111.046992,113.519199
2012-03-01,2012,112.705889,110.16938,100.0,123.185696,112.730954,113.519199
2012-03-02,2012,113.660531,111.56756,100.0,124.921409,114.371045,117.043664
2012-03-05,2012,113.733983,111.611684,100.0,125.054958,112.990804,115.640888
2012-03-06,2012,112.226761,110.93668,100.0,122.314555,109.869231,112.256704
2012-03-07,2012,112.126541,112.273513,100.0,122.132337,111.392896,112.256704
2012-03-08,2012,112.90962,113.794704,100.0,123.556117,112.896313,115.500621
2012-03-09,2012,113.311829,114.749945,100.0,124.287406,112.552097,115.097319
2012-03-12,2012,113.022067,115.881148,100.0,123.760566,112.013836,114.658953
2012-03-13,2012,114.547831,116.978449,100.0,126.534681,115.403695,118.008074
2012-03-14,2012,114.674982,117.092837,100.0,126.765866,115.17253,117.657373
2012-03-15,2012,114.26538,115.217119,100.0,126.021134,114.315363,116.815718
2012-03-16,2012,113.66903,114.190509,100.0,124.936862,114.205686,116.833243
2012-03-19,2012,114.032029,114.466275,100.0,125.596859,114.283304,116.833243
2012-03-20,2012,113.548627,114.357905,100.0,124.717946,113.551,115.991589
2012-03-21,2012,112.691806,114.462402,100.0,123.16009,112.815321,115.991589
2012-03-22,2012,112.12444,114.576255,100.0,122.128516,111.07399,115.448006
2012-03-23,2012,112.923874,114.468354,100.0,123.582033,111.04868,113.782221
2012-03-26,2012,114.714269,116.667484,100.0,126.837296,112.520037,115.342802
2012-03-27,2012,114.195661,115.896524,100.0,125.894373,111.426643,113.817298
2012-03-28,2012,113.066771,113.714985,100.0,123.841846,109.810175,112.484662
2012-03-29,2012,112.917155,113.644307,100.0,123.569816,109.460896,112.046296
2012-03-30,2012,112.995298,113.35838,100.0,123.711894,108.851767,112.046296
2012-04-02,2012,114.68527,115.584563,100.0,126.784571,110.04134,112.747684
2012-04-03,2012,114.151849,114.871243,100.0,125.814714,108.468742,111.204628
2012-04-04,2012,113.922586,113.882578,100.0,125.397873,107.194803,109.854468
2012-04-05,2012,114.190741,114.170519,100.0,125.885427,107.468152,109.942139
2012-04-09,2012,113.265864,113.344103,100.0,124.203832,106.172277,108.679644
2012-04-10,2012,112.308268,113.83149,100.0,122.462748,104.172783,106.645627
2012-04-11,2012,112.594475,114.299179,100.0,122.983126,103.421919,106.645627
2012-04-12,2012,113.786854,115.065385,100.0,125.151086,106.400067,108.714714
