decision_year,decision_date,holding_end_exclusive,gross_return,estimated_cost_brl,estimated_cost_rate,net_return,opening_wealth_brl,closing_wealth_brl,turnover,weights_at_decision,known_snapshot_count,factor,target_equity_weight,mvo_eligible_net_return,mvo_turnover,mvo_equity_gain_rate,mvo_cash_weight,equity_gain_rate,cash_weight,cdi_net_return,eligible_universe_size,priced_universe_size,benchmark_IBOVESPA,benchmark_BOVA11,realised_share_for_tax,tax_rate,net_return_after_tax,mvo_realised_share_for_tax,mvo_tax_rate,mvo_net_return_after_tax,cdi_net_return_after_tax
2012,2012-01-02,2013-01-02,0.02749525080553905,494.1052193965094,0.0004941052193965094,0.02700114558614254,1000000.0,1027001.1455861425,0.4499999998194103,AMBV3.SA:11.00% | AMBV4.SA:11.00% | CMIG3.SA:11.00% | CMIG4.SA:11.00% | CPFE3.SA:11.00% | TITULO_CDI:45.00%,103,low_volatility,0.5500000001805898,0.06964367190984522,5.612935259880221e-09,0.07057773880370521,5.612935259880221e-09,0.02749525080553894,0.4499999998194103,0.0,27,103,0.028465367417531473,0.04664211650619454,0.28704177110603035,0.0011838428232339607,0.02581730276290858,0.5960938754806261,0.0063106436769240016,0.06333302823292121,0.0
2013,2013-01-02,2014-01-02,0.08826903370622285,803.1611906202617,0.0007820450776243991,0.08748698862859845,1027001.1455861425,1116850.383131595,0.5740835422120607,AMBV3.SA:11.00% | GRND3.SA:11.00% | LEVE3.SA:11.00% | SBSP3.SA:11.00% | UGPA3.SA:11.00% | TITULO_CDI:45.00%,126,low_volatility,0.550000000076457,0.08241218875525293,1.1921877509612522,0.08434056574520188,6.622154545579907e-11,0.052287099002154,0.449999999923543,0.07995985491151636,23,126,-0.17654676258992807,-0.18002282841339912,0.389450417744273,0.005506791295159442,0.08198019733343902,0.9533465913787005,0.012060868631104315,0.07035132012414862,0.065966880302001
2014,2014-01-02,2015-01-02,0.10927256907576943,774.7236613914196,0.000817538264550813,0.10845503081121861,1116850.383131595,1237978.4258456535,0.778900835488546,CESP6.SA:11.00% | CIEL3.SA:11.00% | MDIA3.SA:11.00% | PSSA3.SA:11.00% | UGPA3.SA:11.00% | TITULO_CDI:45.00%,148,low_volatility,0.5499999997623208,0.02334718367138076,1.906693182757401,0.02522794188961086,5.459598879607333e-09,0.061010478953264835,0.4500000002376793,0.10724908910447484,26,148,-0.006634750998192329,-0.011002463231076454,0.3858208580567676,0.006789458479999057,0.10166557233121956,0.8439033250041608,0.0031934916930220626,0.020153691978358697,0.08848049851119175
2015,2015-01-02,2016-01-04,0.02058514885111773,962.9551453578109,0.0007778448519407951,0.019807303999176934,1237978.4258456535,1262499.4408708008,0.7716417161135352,BBSE3.SA:11.00% | CIEL3.SA:11.00% | ITUB3.SA:6.92% | ITUB4.SA:4.08% | VLID3.SA:11.00% | WEGE3.SA:11.00% | TITULO_CDI:45.00%,170,low_volatility,0.5499999998686043,-0.010464054086751398,1.6878066500083215,-0.035099728425265875,0.1995413189104608,-0.03850247042508026,0.4500000001313957,0.1313058205754336,30,170,-0.10640666226912932,-0.1085484010921044,0.5499999927738071,0.0056871832806128265,0.014120120718564107,0.7722308735757282,0.0035408051303113244,-0.014004859217062723,0.10832730197473273
2016,2016-01-04,2017-01-02,0.33313838499888915,1481.1614679465638,0.0011731977219133992,0.33196518727697577,1262499.4408708008,1681605.3041965533,1.0999999855476141,ABEV3.SA:11.00% | ENBR3.SA:11.00% | SANB3.SA:11.00% | SANB4.SA:11.00% | UGPA3.SA:11.00% | TITULO_CDI:45.00%,179,low_volatility,0.5499999971818219,0.23858414155103044,1.5444617471514563,0.1461848653850581,0.673297648655599,0.2706714948386906,0.4500000028181779,0.13881531059776075,27,179,0.4291782349730666,0.41703172361765506,0.45059363177818745,0.02322018478978475,0.308745002487191,0.8954845644246727,0.03428267169090688,0.20430146986012357,0.11452263124315262
2017,2017-01-02,2018-01-02,0.22822583544804376,2006.4614449148942,0.0011931821579664569,0.2270326532900773,1681605.3041965533,2063384.6181949642,0.9011872635563749,CVCB3.SA:11.00% | FLRY3.SA:11.00% | PNVL3.SA:11.00% | SANB3.SA:11.00% | SAPR4.SA:11.00% | TITULO_CDI:45.00%,184,low_volatility,0.5500000003238872,0.2164244939240247,1.7909691288493454,0.21769379893098906,8.568825923847582e-11,0.18381197075632572,0.44999999967611287,0.09869747716374411,33,184,0.28214938998808514,0.28093004210729355,0.4143398111581673,0.014644518241872882,0.21238813504820442,0.7661765797553648,0.025018783545968544,0.19140571037805618,0.08142541866008889
2018,2018-01-02,2019-01-02,-0.06756193787859888,3063.280178490123,0.0014845900040120709,-0.06904652788261095,2063384.6181949642,1920915.0746222152,0.8286796223163346,ALPA4.SA:5.11% | BPAC3.SA:4.49% | BRSR3.SA:8.61% | FLRY3.SA:9.33% | GRND3.SA:11.00% | QUAL3.SA:11.00% | SAPR3.SA:4.87% | SEER3.SA:0.60% | TITULO_CDI:45.00%,169,low_volatility,0.5500000000020562,-0.16136944091646926,1.5323531595107296,-0.15861229749889794,3.708808571192625e-10,-0.09621360581524263,0.4499999999979437,0.06367037319283275,34,169,0.12833318355137302,0.12649800523329735,0.4949999994852676,0.0024819507324308804,-0.07152847861504183,0.6378126348476829,2.635742505233394e-12,-0.16136944091910502,0.05252805788408702
2019,2019-01-02,2020-01-02,0.13720405406185732,2833.711860720879,0.001475188517263449,0.13572886554459387,1920915.0746222152,2181638.6985081974,0.9899999989705353,CSMG3.SA:11.00% | IRBR3.SA:11.00% | ITSA3.SA:1.69% | PSSA3.SA:5.51% | SANB4.SA:8.62% | SLCE3.SA:6.18% | UNIP6.SA:11.00% | TITULO_CDI:45.00%,182,low_volatility,0.5499999999818502,0.3542290582491429,1.2756252696953658,0.3572790364344589,7.154159809928982e-11,0.11058348953311736,0.45000000001814977,0.059156810061480325,36,182,0.27416164901331697,0.265415260819831,0.4708838692147249,0.010004456237938372,0.12572440930665552,0.8102543378405136,0.04342303336417498,0.31080602488496795,0.04880436830072127
2020,2020-01-02,2021-01-04,0.088968029139181,5007.195407215093,0.002295153368263501,0.0866728757709175,2181638.6985081974,2370727.5984010245,0.9417677384294498,ALPA4.SA:11.00% | BPAC3.SA:11.00% | BPAN4.SA:11.00% | CGAS5.SA:11.00% | CPLE3.SA:11.00% | TITULO_CDI:45.00%,235,low_volatility,0.5500000000049021,0.10588264091012306,1.6205086756810272,0.11058985012832179,2.293917525076533e-11,0.07667139467407669,0.4499999999950979,0.027325854367195923,55,235,0.006181845782766704,0.0035889676976212925,0.36421624838354216,0.0049725061216881195,0.08170036964922939,0.7898361952778139,0.013102179969341243,0.09278046094078182,0.022543829852936636
2021,2021-01-04,2022-01-03,0.21954187441221262,3456.88559918497,0.0014581538602395831,0.21808372055197303,2370727.5984010245,2887744.6934755635,0.7284324967670843,BPAC3.SA:6.12% | BSLI3.SA:11.00% | CGAS3.SA:6.37% | CGAS5.SA:9.50% | UNIP6.SA:11.00% | WEGE3.SA:11.00% | TITULO_CDI:45.00%,259,low_volatility,0.5500000000007979,0.13776696420899603,1.5796723905556278,0.12858247584496252,0.3060401624797936,0.19983389909441795,0.44999999999920204,0.04379550070628846,48,259,-0.11585890450243763,-0.1164869288519651,0.4354600193409543,0.014554807214480181,0.20352891333749284,0.699974226344471,0.015142492217704641,0.1226244719912914,0.03613128808268798
