decision_year,decision_date,ticker,previous_weight,new_weight,reason,decision_action,factor
2012,2012-01-02,AMBV3.SA,0.0,0.10999999921541538,entered_after_point_in_time_screen,entered,low_volatility
2012,2012-01-02,AMBV4.SA,0.0,0.10999999974592511,entered_after_point_in_time_screen,entered,low_volatility
2012,2012-01-02,CMIG3.SA,0.0,0.10999999963692454,entered_after_point_in_time_screen,entered,low_volatility
2012,2012-01-02,CMIG4.SA,0.0,0.10999999719175833,entered_after_point_in_time_screen,entered,low_volatility
2012,2012-01-02,CPFE3.SA,0.0,0.10999999933029417,entered_after_point_in_time_screen,entered,low_volatility
2012,2012-01-02,TITULO_CDI,0.0,0.4499999998194103,defensive_residual_adjustment,entered,low_volatility
2013,2013-01-02,AMBV3.SA,0.16865172896871874,0.10999999989102105,rebalanced_after_point_in_time_review,reduced,low_volatility
2013,2013-01-02,AMBV4.SA,0.13877066092040544,8.943130497030607e-11,removed_by_constrained_allocator,exited,low_volatility
2013,2013-01-02,CMIG3.SA,0.08819652437776762,0.0,removed_or_blocked_by_eligibility,exited,low_volatility
2013,2013-01-02,CMIG4.SA,0.07553295258148054,0.0,removed_or_blocked_by_eligibility,exited,low_volatility
2013,2013-01-02,CPFE3.SA,0.09088989856160798,0.0,removed_or_blocked_by_eligibility,exited,low_volatility
2013,2013-01-02,GRND3.SA,0.0,0.10999999998282413,entered_after_point_in_time_screen,entered,low_volatility
2013,2013-01-02,LEVE3.SA,0.0,0.10999999997323066,entered_after_point_in_time_screen,entered,low_volatility
2013,2013-01-02,SBSP3.SA,3.8541294637816614e-10,0.10999999993632766,entered_after_point_in_time_screen,entered,low_volatility
2013,2013-01-02,UGPA3.SA,0.0,0.10999999974870524,entered_after_point_in_time_screen,entered,low_volatility
2013,2013-01-02,TITULO_CDI,0.43795822848486926,0.449999999923543,defensive_residual_adjustment,increased,low_volatility
2014,2014-01-02,CESP6.SA,1.667822962137599e-11,0.10999999789912063,entered_after_point_in_time_screen,entered,low_volatility
2014,2014-01-02,CIEL3.SA,2.1763755510699026e-11,0.10999988268862632,entered_after_point_in_time_screen,entered,low_volatility
2014,2014-01-02,GRND3.SA,0.11649457584932252,1.1685783758084544e-07,removed_by_constrained_allocator,exited,low_volatility
2014,2014-01-02,LEVE3.SA,0.10754888822029386,1.7867567076501563e-10,removed_by_constrained_allocator,exited,low_volatility
2014,2014-01-02,MDIA3.SA,0.0,0.10999999958924145,entered_after_point_in_time_screen,entered,low_volatility
2014,2014-01-02,PSSA3.SA,0.0,0.10999999948917173,entered_after_point_in_time_screen,entered,low_volatility
2014,2014-01-02,SBSP3.SA,0.09476840162370995,8.781736768179368e-11,removed_by_constrained_allocator,exited,low_volatility
2014,2014-01-02,UGPA3.SA,0.12665335230430777,0.10999999951526813,rebalanced_after_point_in_time_review,reduced,low_volatility
2014,2014-01-02,TITULO_CDI,0.44656414873126143,0.4500000002376793,defensive_residual_adjustment,increased,low_volatility
2015,2015-01-02,BBSE3.SA,0.0,0.10999999875700728,entered_after_point_in_time_screen,entered,low_volatility
2015,2015-01-02,CESP6.SA,0.12184158282287343,8.240662800687017e-09,removed_by_constrained_allocator,exited,low_volatility
2015,2015-01-02,CIEL3.SA,0.12775766349367945,0.10999999711992352,rebalanced_after_point_in_time_review,reduced,low_volatility
2015,2015-01-02,ITUB3.SA,2.0162583433471912e-10,0.06920407594107163,entered_after_point_in_time_screen,entered,low_volatility
2015,2015-01-02,ITUB4.SA,1.9572246525496658e-10,0.040795875060128106,entered_after_point_in_time_screen,entered,low_volatility
2015,2015-01-02,MDIA3.SA,0.09266306930017626,0.0,removed_by_constrained_allocator,exited,low_volatility
2015,2015-01-02,PSSA3.SA,0.11279667911533185,2.096066411181428e-09,removed_by_constrained_allocator,exited,low_volatility
2015,2015-01-02,UGPA3.SA,0.09576177345664098,0.0,removed_by_constrained_allocator,exited,low_volatility
2015,2015-01-02,VLID3.SA,0.0,0.10999999867620797,entered_after_point_in_time_screen,entered,low_volatility
2015,2015-01-02,WEGE3.SA,1.040886564071384e-09,0.10999999817539184,entered_after_point_in_time_screen,entered,low_volatility
2015,2015-01-02,TITULO_CDI,0.44917913256912945,0.4500000001313957,defensive_residual_adjustment,increased,low_volatility
2016,2016-01-04,ABEV3.SA,0.0,0.10999999704355456,entered_after_point_in_time_screen,entered,low_volatility
2016,2016-01-04,BBSE3.SA,0.09130246698007616,1.8998650465933228e-10,removed_by_constrained_allocator,exited,low_volatility
2016,2016-01-04,CIEL3.SA,0.09333009598800097,2.3460784988035346e-10,removed_by_constrained_allocator,exited,low_volatility
2016,2016-01-04,ENBR3.SA,0.0,0.10999999905833892,entered_after_point_in_time_screen,entered,low_volatility
2016,2016-01-04,ITUB3.SA,0.062422616935407925,3.988781912838011e-10,removed_by_constrained_allocator,exited,low_volatility
2016,2016-01-04,ITUB4.SA,0.03596093495531857,2.48870321478058e-10,removed_by_constrained_allocator,exited,low_volatility
2016,2016-01-04,SANB3.SA,0.0,0.10999999641016141,entered_after_point_in_time_screen,entered,low_volatility
2016,2016-01-04,SANB4.SA,0.0,0.10999973104219081,entered_after_point_in_time_screen,entered,low_volatility
2016,2016-01-04,UGPA3.SA,0.0,0.1099999958132675,entered_after_point_in_time_screen,entered,low_volatility
2016,2016-01-04,VLID3.SA,0.11107527118403271,0.0,removed_or_blocked_by_eligibility,exited,low_volatility
2016,2016-01-04,WEGE3.SA,0.10708922743537876,5.583235035389254e-10,removed_by_constrained_allocator,exited,low_volatility
2016,2016-01-04,TITULO_CDI,0.498819348861463,0.4500000028181779,defensive_residual_adjustment,reduced,low_volatility
2017,2017-01-02,ABEV3.SA,0.08149476041316024,0.0,removed_by_constrained_allocator,exited,low_volatility
2017,2017-01-02,CVCB3.SA,0.0,0.1099999859432432,entered_after_point_in_time_screen,entered,low_volatility
2017,2017-01-02,ENBR3.SA,0.09901828375697076,0.0,removed_or_blocked_by_eligibility,exited,low_volatility
2017,2017-01-02,FLRY3.SA,0.0,0.1099999998600379,entered_after_point_in_time_screen,entered,low_volatility
2017,2017-01-02,PNVL3.SA,0.0,0.10999999954553177,entered_after_point_in_time_screen,entered,low_volatility
2017,2017-01-02,SANB3.SA,0.2061890535760571,0.10999999887382107,rebalanced_after_point_in_time_review,reduced,low_volatility
2017,2017-01-02,SANB4.SA,0.12837140652173384,1.879032659113402e-10,removed_by_constrained_allocator,exited,low_volatility
2017,2017-01-02,SAPR4.SA,0.0,0.10999999991529226,entered_after_point_in_time_screen,entered,low_volatility
2017,2017-01-02,UGPA3.SA,0.10051981723961946,0.0,removed_by_constrained_allocator,exited,low_volatility
2017,2017-01-02,TITULO_CDI,0.38440637427059277,0.44999999967611287,defensive_residual_adjustment,increased,low_volatility
2018,2018-01-02,ALPA4.SA,3.833469943891644e-10,0.051101878976938686,entered_after_point_in_time_screen,entered,low_volatility
2018,2018-01-02,BPAC3.SA,0.0,0.044871869178112055,entered_after_point_in_time_screen,entered,low_volatility
2018,2018-01-02,BRSR3.SA,0.0,0.08609322623098883,entered_after_point_in_time_screen,entered,low_volatility
2018,2018-01-02,CVCB3.SA,0.1908939371780343,0.0,removed_or_blocked_by_eligibility,exited,low_volatility
2018,2018-01-02,FLRY3.SA,0.1555151728404297,0.09330631222486878,rebalanced_after_point_in_time_review,reduced,low_volatility
2018,2018-01-02,GRND3.SA,0.0,0.10999999982789535,entered_after_point_in_time_screen,entered,low_volatility
