date,decision_year,strategy,mvo,cdi,equity_sleeve,IBOVESPA,BOVA11
2012-01-03,2012,98.991392,98.407026,100.0,98.256005,100.0,102.402249
2012-01-04,2012,98.797383,97.646994,100.0,97.903261,100.168734,102.402249
2012-01-05,2012,98.744324,97.583118,100.0,97.806791,98.786805,101.017012
2012-01-06,2012,98.731514,97.629989,100.0,97.7835,98.877921,101.262496
2012-01-09,2012,98.672671,97.621611,100.0,97.676511,99.692905,102.139227
2012-01-10,2012,98.21883,97.135745,100.0,96.851347,100.912849,103.278981
2012-01-11,2012,98.23592,97.306338,100.0,96.882419,101.176074,103.805018
2012-01-12,2012,98.437882,97.572971,100.0,97.249622,101.106893,103.629668
2012-01-13,2012,98.61406,97.962073,100.0,97.569947,99.800894,102.051555
2012-01-16,2012,98.85357,98.544249,100.0,98.005419,101.16595,102.051555
2012-01-17,2012,99.011684,98.638595,100.0,98.2929,102.330212,102.051555
2012-01-18,2012,100.017127,100.290155,100.0,100.120977,104.147473,106.610557
2012-01-19,2012,99.494155,99.485537,100.0,99.170119,104.49169,106.838509
2012-01-20,2012,100.086768,100.240336,100.0,100.247598,105.141314,107.662639
2012-01-23,2012,99.639471,99.516544,100.0,99.434331,105.266177,107.873052
2012-01-24,2012,99.819328,99.717115,100.0,99.761343,105.434911,108.013326
2012-01-26,2012,99.891455,100.037317,100.0,99.892483,106.222897,108.802386
2012-01-27,2012,99.683156,99.466677,100.0,99.513757,106.140218,108.767316
2012-01-30,2012,99.9584,99.885279,100.0,100.014201,105.914115,108.46923
2012-01-31,2012,100.757963,101.054512,100.0,101.467952,106.42369,109.012799
2012-02-01,2012,101.094686,101.698212,100.0,102.080175,108.946258,111.379979
2012-02-02,2012,101.033333,101.782868,100.0,101.968625,108.990129,111.502721
2012-02-03,2012,101.276148,102.187655,100.0,102.410106,110.043027,112.589866
2012-02-06,2012,101.256104,101.942145,100.0,102.373663,110.054838,112.554802
2012-02-07,2012,101.259242,102.420527,100.0,102.379369,111.224163,113.887425
2012-02-08,2012,101.245891,102.065894,100.0,102.355094,111.079052,113.589339
2012-02-09,2012,102.248976,103.554738,100.0,104.178885,110.571163,113.133435
2012-02-10,2012,102.601456,103.78696,100.0,104.819757,107.986164,110.555849
2012-02-13,2012,103.517884,105.455632,100.0,106.485989,110.844512,110.555849
2012-02-14,2012,103.403207,105.119833,100.0,106.277487,109.742681,112.239179
2012-02-15,2012,103.893675,105.728651,100.0,107.169246,110.297815,112.887951
2012-02-16,2012,104.514858,107.352073,100.0,108.298671,111.603813,113.992642
2012-02-17,2012,105.291281,108.629417,100.0,109.710348,111.708428,114.185524
2012-02-22,2012,105.163605,108.176292,100.0,109.478211,,
2012-02-23,2012,105.228466,108.087418,100.0,109.596139,111.060491,113.729619
2012-02-24,2012,105.909433,109.808316,100.0,110.834261,111.268033,113.782221
2012-02-27,2012,105.83523,109.73846,100.0,110.699347,110.083523,112.660006
2012-02-28,2012,106.37815,110.104221,100.0,111.686473,111.295031,113.975103
2012-02-29,2012,106.712133,111.042991,100.0,112.293715,111.046992,113.519199
2012-03-01,2012,107.077669,111.423026,100.0,112.958326,112.730954,113.519199
2012-03-02,2012,107.303345,112.051419,100.0,113.368646,114.371045,117.043664
