decision_year,decision_date,holding_end_exclusive,gross_return,estimated_cost_brl,estimated_cost_rate,net_return,opening_wealth_brl,closing_wealth_brl,turnover,weights_at_decision,known_snapshot_count,factor,target_equity_weight,mvo_eligible_net_return,mvo_turnover,mvo_equity_gain_rate,mvo_cash_weight,equity_gain_rate,cash_weight,cdi_net_return,eligible_universe_size,priced_universe_size,benchmark_IBOVESPA,benchmark_BOVA11,realised_share_for_tax,tax_rate,net_return_after_tax,mvo_realised_share_for_tax,mvo_tax_rate,mvo_net_return_after_tax,cdi_net_return_after_tax
2012,2012-01-02,2013-01-02,0.20940944745839074,809.7609946579977,0.0008097609946579976,0.20859968646373275,1000000.0,1208599.6864637327,0.04999999999999993,AMBV4.SA:11.86% | CIEL3.SA:25.00% | GGBR4.SA:25.00% | HGTX3.SA:20.64% | VALE3.SA:12.50% | TITULO_CDI:5.00%,103,triple_factor,0.9500000000000001,0.239190776454891,7.646417519288226e-10,0.24006384190513907,7.646417519288226e-10,0.20940944745839063,0.04999999999999993,0.0,33,103,0.028465367417531473,0.04664211650619454,0.5841795029102285,0.018349906038142235,0.19024978042559051,0.639716430364438,0.023035917600469254,0.21615485885442176,0.0
2013,2013-01-02,2014-01-02,-0.013676107220005895,730.8571973730258,0.0012105388142031126,-0.014886646034209007,1208599.6864637327,1190607.6907342912,1.168359005820457,BBAS3.SA:11.56% | BBDC3.SA:10.31% | CIEL3.SA:25.00% | CMIG4.SA:23.13% | CRUZ3.SA:25.00% | TITULO_CDI:5.00%,126,triple_factor,0.9500000000000001,-0.06412159314452105,1.279432860728876,-0.062203074960267446,2.577459096107164e-12,-0.01767409996558167,0.04999999999999993,0.07995985491151636,43,126,-0.17654676258992807,-0.18002282841339912,0.11460041333774827,8.018003370375376e-05,-0.014966826067912761,0.6252069182215102,2.254891258428392e-14,-0.0641215931445436,0.065966880302001
2014,2014-01-02,2015-01-02,0.10973741893350675,191.66269708886443,0.0002526738052133184,0.10948474512829343,1190607.6907342912,1320961.070302121,0.22920082667549654,BBAS3.SA:12.48% | CIEL3.SA:25.00% | CMIG4.SA:25.00% | CRUZ3.SA:25.00% | ESTC3.SA:7.52% | TITULO_CDI:5.00%,148,triple_factor,0.9499999999999997,0.12216268020287127,1.2504138364430204,0.12362070379305201,9.73878338519566e-11,0.10437496447828298,0.050000000000000266,0.10724908910447484,44,148,-0.006634750998192329,-0.011002463231076454,0.26058245316633794,0.004324280912898673,0.10516046421539475,0.8208583258330453,0.015221262594580513,0.10694141760829076,0.08848049851119175
2015,2015-01-02,2016-01-04,-0.04082337465601138,349.8997015944092,0.00043109162564523845,-0.04125446628165662,1320961.070302121,1266465.5263679612,0.5211649063326759,CIEL3.SA:25.00% | CMIG4.SA:25.00% | CRUZ3.SA:25.00% | ITSA4.SA:8.76% | ITUB4.SA:11.24% | TITULO_CDI:5.00%,170,triple_factor,0.9499999999999998,0.18814732836738846,1.6417166516660906,0.18967564768555967,1.628058038797559e-10,-0.04738866568478306,0.050000000000000155,0.1313058205754336,42,170,-0.10640666226912932,-0.1085484010921044,0.4955295517551497,0.0005693267511101356,-0.04182379303276675,0.7310810571684632,0.02080024095709579,0.16734708741029267,0.10832730197473273
2016,2016-01-04,2017-01-02,0.5108244582552652,938.838603127853,0.0016901496037630222,0.5091343086515022,1266465.5263679612,1911266.5765662738,0.9910591035102994,BRSR6.SA:25.00% | CMIG4.SA:24.95% | ENBR3.SA:11.46% | LREN3.SA:8.60% | SMLE3.SA:25.00% | TITULO_CDI:5.00%,179,triple_factor,0.9499999999999998,0.3551400187805626,1.4621621143369263,0.28239747933750514,0.5298246951419533,0.5038836927253773,0.050000000000000155,0.13881531059776075,35,179,0.4291782349730666,0.41703172361765506,0.5033954153980245,0.03865935229250947,0.4704749563589927,0.9999999970997181,0.05523048317367828,0.2999095356068843,0.11452263124315262
2017,2017-01-02,2018-01-02,0.240358249964304,858.1839437652427,0.0009496472839123124,0.23940860268039169,1911266.5765662738,2368840.2370117414,1.006790830796049,CMIG4.SA:25.00% | CPLE6.SA:12.14% | ELET3.SA:12.78% | SAPR4.SA:20.08% | SMLE3.SA:25.00% | TITULO_CDI:5.00%,184,triple_factor,0.95,0.26806388901713823,1.9999999941994362,0.2695216016191613,1.555550891900437e-10,0.23542337610611686,0.050000000000000044,0.09869747716374411,39,184,0.28214938998808514,0.28093004210729355,0.5615526777589107,0.02031535262407177,0.2190932500563199,0.8448861427067484,0.03415725995749372,0.23390662905964452,0.08142541866008889
2018,2018-01-02,2019-01-02,0.5753184954188313,1972.9836067892347,0.0019409097850134264,0.5733775856338179,2368840.2370117414,3727080.1328617744,1.1231053555178214,BRSR6.SA:16.03% | CVCB3.SA:20.84% | ITSA3.SA:22.85% | MGLU3.SA:25.00% | SAPR4.SA:10.28% | TITULO_CDI:5.00%,169,triple_factor,0.9499999999999998,0.550254127212609,1.6897722854134969,0.5522257159030635,1.188221025314688e-10,0.5721349767591896,0.050000000000000155,0.06367037319283275,44,169,0.12833318355137302,0.12649800523329735,0.4943395481666745,0.04269974624098609,0.5306778393928319,0.539048949060533,0.04465150377097571,0.5056026234416333,0.05252805788408702
2019,2019-01-02,2020-01-02,0.48370544950995176,2158.8505613139264,0.0011144877266286175,0.4825909617833231,3727080.1328617744,5525735.3188230535,0.988679096333349,BRSR6.SA:25.00% | CMIG3.SA:8.41% | CSNA3.SA:25.00% | IRBR3.SA:11.59% | MGLU3.SA:25.00% | TITULO_CDI:5.00%,182,triple_factor,0.9499999999999998,0.4517019194845169,1.078097898121066,0.4532796152458298,4.028602712637851e-12,0.48074760900687774,0.050000000000000155,0.059156810061480325,48,182,0.27416164901331697,0.265415260819831,0.6551081173953419,0.04758034759343792,0.4350106141898852,0.7948753379013129,0.054045118099879066,0.3976568013846378,0.04880436830072127
2020,2020-01-02,2021-01-04,0.019466285632790514,4481.369184585618,0.001624281679758869,0.017842003953031645,5525735.3188230535,5624325.510224901,1.3102162347906838,AZUL4.SA:25.00% | BBSE3.SA:24.76% | CMIG3.SA:9.60% | EQTL3.SA:10.64% | MRFG3.SA:25.00% | TITULO_CDI:5.00%,235,triple_factor,0.95,-0.17349047354697894,1.5897506758026259,-0.17157432979585452,7.443603056821579e-11,0.01809999291443065,0.050000000000000044,0.027325854367195923,67,235,0.006181845782766704,0.0035889676976212925,0.25820260186694277,0.000762756348230546,0.0170792476048011,0.9361734096999756,3.33235533890783e-13,-0.17349047354731217,0.022543829852936636
2021,2021-01-04,2022-01-03,0.21951636695393906,2561.6901953240103,0.0007047052744070057,0.21881166167953206,5624325.510224901,6854993.520943794,0.5164052037338855,BBSE3.SA:25.00% | CSMG3.SA:7.19% | EQTL3.SA:12.81% | MRFG3.SA:25.00% | TASA4.SA:25.00% | TITULO_CDI:5.00%,259,triple_factor,0.9499999999999998,0.0587262237781151,1.8723468193999513,0.03415183638240149,0.5909730268371348,0.2173265919186248,0.050000000000000155,0.04379550070628846,72,259,-0.11585890450243763,-0.1164869288519651,0.856065074030163,0.028234908987281357,0.19057675269225072,0.9222892138330516,0.008902044681600857,0.049824179096514244,0.03613128808268798
2022,2022-01-03,2023-01-02,-0.016010840478777322,7140.532115599314,0.0016300135842254447,-0.017640854063002767,6854993.520943794,6734065.580637995,1.712130148060326,FHER3.SA:25.00% | GOAU4.SA:25.00% | TASA4.SA:10.11% | UNIP6.SA:22.06% | USIM5.SA:12.82% | TITULO_CDI:5.00%,267,triple_factor,0.9500000000000001,-0.03159213078289292,1.8445784276661032,-0.030351258016077853,3.583324222558697e-11,-0.022158298251804598,0.04999999999999993,0.12294915546054463,90,267,0.058784472970112134,0.06024213574183901,0.5785671424253964,0.0006224254884612015,-0.01826327955146397,0.9470707156059051,7.301836630185135e-13,-0.03159213078362311,0.10143305325494932
2023,2023-01-02,2024-01-02,0.26153608757898117,4801.553584691548,0.001502209483572837,0.26003387809540834,6734065.580637995,8485150.768920101,1.1571342848507928,BRAP4.SA:12.39% | CURY3.SA:7.61% | KEPL3.SA:25.00% | UNIP6.SA:25.00% | VIVA3.SA:25.00% | TITULO_CDI:5.00%,299,triple_factor,0.9500000000000001,0.10969109225002452,1.8941414312118101,0.11171258780876991,1.0068514765925552e-10,0.25506975878635274,0.04999999999999993,0.1293265758525708,90,299,0.2614217492667519,0.2704862406620203,0.6065256207919156,0.023892300533879404,0.23614157756152893,0.9999999985648678,0.01675688814954586,0.09293420410047866,0.1066944250783709
2024,2024-01-02,2025-01-02,-0.12175229640157648,5563.0991141343075,0.0012373246442943203,-0.1229896210458708,8485150.768920101,7441565.291333539,1.2130512415838313,BBSE3.SA:16.59% | CMIN3.SA:19.26% | CURY3.SA:25.00% | PLPL3.SA:9.15% | VIVA3.SA:25.00% | TITULO_CDI:5.00%,313,triple_factor,0.9499999999999998,0.029327169311716708,1.9999999971297355,0.031265654736695625,6.95149503069746e-11,-0.1271408415783103,0.050000000000000155,0.10777090353467633,90,313,-0.09355147441162948,-0.08923577472783695,0.2380144578493274,0.00022444654029645948,-0.12321406758616726,0.9999999799953176,0.004689848117996466,0.02463732119372024,0.08891099541610797
2025,2025-01-02,2025-12-31,0.575381608667568,2496.694889563337,0.0004255422728076142,0.5749560663947604,7441565.291333539,11720138.39905845,0.4760289156986548,BBSE3.SA:25.00% | CMIN3.SA:8.09% | CURY3.SA:25.00% | STBP3.SA:11.91% | VIVA3.SA:25.00% | TITULO_CDI:5.00%,306,triple_factor,0.95,0.3050507005388696,1.9999999599906353,0.3069405602571207,8.449955568504968e-11,0.5682769819305393,0.050000000000000044,0.14209253474057104,96,306,0.3413111342351718,0.3492741422615624,1.0,0.0864848569685609,0.4884712094261995,1.0,0.04604108404066928,0.2590096164982003,0.11722634116097111
