date,decision_year,strategy,mvo,cdi,equity_sleeve,IBOVESPA,BOVA11
2012-01-03,2012,98.587066,98.407026,100.0,98.607894,100.0,102.402249
2012-01-04,2012,97.3981,97.646994,100.0,97.356351,100.168734,102.402249
2012-01-05,2012,97.212655,97.583118,100.0,97.161146,98.786805,101.017012
2012-01-06,2012,97.378625,97.629989,100.0,97.335851,98.877921,101.262496
2012-01-09,2012,97.703809,97.621611,100.0,97.67815,99.692905,102.139227
2012-01-10,2012,98.119365,97.135745,100.0,98.115577,100.912849,103.278981
2012-01-11,2012,98.294732,97.306338,100.0,98.300174,101.176074,103.805018
2012-01-12,2012,98.622727,97.572971,100.0,98.645432,101.106893,103.629668
2012-01-13,2012,98.764827,97.962073,100.0,98.795011,99.800894,102.051555
2012-01-16,2012,99.528401,98.544249,100.0,99.598773,101.16595,102.051555
2012-01-17,2012,100.079572,98.638595,100.0,100.178953,102.330212,102.051555
2012-01-18,2012,101.971026,100.290155,100.0,102.169957,104.147473,106.610557
2012-01-19,2012,101.62834,99.485537,100.0,101.809235,104.49169,106.838509
2012-01-20,2012,102.364627,100.240336,100.0,102.584274,105.141314,107.662639
2012-01-23,2012,101.618533,99.516544,100.0,101.798912,105.266177,107.873052
2012-01-24,2012,101.954176,99.717115,100.0,102.15222,105.434911,108.013326
2012-01-26,2012,102.666663,100.037317,100.0,102.902206,106.222897,108.802386
2012-01-27,2012,102.158882,99.466677,100.0,102.367701,106.140218,108.767316
2012-01-30,2012,102.38458,99.885279,100.0,102.605277,105.914115,108.46923
2012-01-31,2012,103.528614,101.054512,100.0,103.809523,106.42369,109.012799
2012-02-01,2012,104.473539,101.698212,100.0,104.804181,108.946258,111.379979
2012-02-02,2012,104.528329,101.782868,100.0,104.861855,108.990129,111.502721
2012-02-03,2012,105.300119,102.187655,100.0,105.674266,110.043027,112.589866
2012-02-06,2012,104.423375,101.942145,100.0,104.751377,110.054838,112.554802
2012-02-07,2012,104.240923,102.420527,100.0,104.559322,111.224163,113.887425
2012-02-08,2012,104.199471,102.065894,100.0,104.515688,111.079052,113.589339
2012-02-09,2012,105.402063,103.554738,100.0,105.781575,110.571163,113.133435
2012-02-10,2012,105.620864,103.78696,100.0,106.011892,107.986164,110.555849
2012-02-13,2012,107.405057,105.455632,100.0,107.889989,110.844512,110.555849
2012-02-14,2012,107.278894,105.119833,100.0,107.757187,109.742681,112.239179
2012-02-15,2012,108.389727,105.728651,100.0,108.926485,110.297815,112.887951
2012-02-16,2012,109.997993,107.352073,100.0,110.619396,111.603813,113.992642
2012-02-17,2012,111.441743,108.629417,100.0,112.139132,111.708428,114.185524
2012-02-22,2012,111.087426,108.176292,100.0,111.766168,,
2012-02-23,2012,111.04893,108.087418,100.0,111.725645,111.060491,113.729619
2012-02-24,2012,113.027985,109.808316,100.0,113.808861,111.268033,113.782221
2012-02-27,2012,112.882026,109.73846,100.0,113.65522,110.083523,112.660006
2012-02-28,2012,113.722644,110.104221,100.0,114.540081,111.295031,113.975103
2012-02-29,2012,114.78741,111.042991,100.0,115.660888,111.046992,113.519199
2012-03-01,2012,114.399737,111.423026,100.0,115.252811,112.730954,113.519199
2012-03-02,2012,115.751008,112.051419,100.0,116.675201,114.371045,117.043664
2012-03-05,2012,116.848904,113.603794,100.0,117.830881,112.990804,115.640888
