decision_year,decision_date,ticker,weight,previous_weight,decision_action,factor,value_quality_score,factor_signal_at_decision,trailing_12m_return_at_decision,trailing_12m_volatility_at_decision,eligible_at_decision,fundamental_status,decision_rationale,realised_next_year_return
2013,2013-01-02,AMBV3.SA,0.06666295885807694,0.0,entered,triple_factor,0.9459459459459459,,0.6011367022450909,0.25508583194733414,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.0677005219064053
2013,2013-01-02,BBDC3.SA,0.05996456850270759,0.0,entered,triple_factor,0.8918918918918919,,0.4016741864308553,0.26206756538095827,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.028113119827894106
2013,2013-01-02,BISA3.SA,0.019186112038352875,0.0,entered,triple_factor,0.6486486486486487,,-0.33019789630050433,0.5431764984585238,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.6718134246858023
2013,2013-01-02,BRAP4.SA,0.037997843792608815,0.0,entered,triple_factor,0.7567567567567568,,0.06747711328890826,0.2704697922250626,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.22329480451665074
2013,2013-01-02,CIEL3.SA,0.0733,0.0,entered,triple_factor,1.0,,0.23274047976199186,0.3184161392205703,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.14360093145838593
2013,2013-01-02,CMIG4.SA,0.0733,0.0,entered,triple_factor,0.972972972972973,,-0.2894802698912662,0.4595737573158104,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.026998484844856674
2013,2013-01-02,EQTL3.SA,0.04428284755881087,0.0,entered,triple_factor,0.8108108108108109,,0.5358858243396083,0.3010425181988302,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.2239714285059411
2013,2013-01-02,EZTC3.SA,0.03360072661742331,0.0,entered,triple_factor,0.7027027027027027,,0.726002509313757,0.2415635781734178,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.1222356911143676
2013,2013-01-02,ITSA4.SA,0.04477438211625542,0.0,entered,triple_factor,0.8378378378378378,,-0.1090674235665422,0.3139113620530195,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.030653742381623106
2013,2013-01-02,KLBN4.SA,0.03387342729784909,0.0,entered,triple_factor,0.7297297297297297,,0.7078685291268436,0.3027796918780372,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.012505044067670057
