decision_year,decision_date,ticker,previous_weight,new_weight,reason,decision_action,factor
2013,2013-01-02,AMBV3.SA,0.0,0.021999995823513495,entered_after_point_in_time_screen,entered,momentum_12m
2013,2013-01-02,GRND3.SA,0.0,0.17599999957555715,entered_after_point_in_time_screen,entered,momentum_12m
2013,2013-01-02,LEVE3.SA,0.0,0.17599999913076117,entered_after_point_in_time_screen,entered,momentum_12m
2013,2013-01-02,SBSP3.SA,0.0,0.17599999946001332,entered_after_point_in_time_screen,entered,momentum_12m
2013,2013-01-02,TITULO_CDI,0.0,0.4499999987588753,defensive_residual_adjustment,entered,momentum_12m
2014,2014-01-02,CESP6.SA,2.0940704758405883e-10,0.0220000076886955,entered_after_point_in_time_screen,entered,momentum_12m
2014,2014-01-02,GRND3.SA,0.19053598742144057,2.5641905113606985e-10,removed_by_constrained_allocator,exited,momentum_12m
2014,2014-01-02,LEVE3.SA,0.17590461541862365,6.911453535864018e-11,removed_by_constrained_allocator,exited,momentum_12m
2014,2014-01-02,MDIA3.SA,0.0,0.17599999678399922,entered_after_point_in_time_screen,entered,momentum_12m
2014,2014-01-02,PSSA3.SA,0.0,0.17599999847337575,entered_after_point_in_time_screen,entered,momentum_12m
2014,2014-01-02,SBSP3.SA,0.15500113068662233,0.0,removed_by_constrained_allocator,exited,momentum_12m
2014,2014-01-02,UGPA3.SA,4.557849225142569e-09,0.17599999446578837,entered_after_point_in_time_screen,entered,momentum_12m
2014,2014-01-02,TITULO_CDI,0.4564941134430591,0.4500000000173618,defensive_residual_adjustment,reduced,momentum_12m
2015,2015-01-02,BBSE3.SA,0.0,0.17599999995591062,entered_after_point_in_time_screen,entered,momentum_12m
2015,2015-01-02,CESP6.SA,0.025508403388145025,1.8427233668747324e-11,removed_by_constrained_allocator,exited,momentum_12m
2015,2015-01-02,CIEL3.SA,1.3146004040901322e-09,0.02928127996562369,entered_after_point_in_time_screen,entered,momentum_12m
2015,2015-01-02,MDIA3.SA,0.15516464597881716,6.32853942650349e-12,removed_by_constrained_allocator,exited,momentum_12m
2015,2015-01-02,PSSA3.SA,0.18887845069905312,1.3660275341854129e-11,removed_by_constrained_allocator,exited,momentum_12m
2015,2015-01-02,UGPA3.SA,0.16035343533512725,6.360333602551434e-12,removed_by_constrained_allocator,exited,momentum_12m
2015,2015-01-02,VLID3.SA,0.0,0.17599999995356808,entered_after_point_in_time_screen,entered,momentum_12m
2015,2015-01-02,WEGE3.SA,2.660876511118396e-10,0.16871869536407622,entered_after_point_in_time_screen,entered,momentum_12m
2015,2015-01-02,TITULO_CDI,0.4700950618171168,0.45000000000615276,defensive_residual_adjustment,reduced,momentum_12m
2016,2016-01-04,ABEV3.SA,2.4908252238143088e-12,0.021999999004317188,entered_after_point_in_time_screen,entered,momentum_12m
2016,2016-01-04,BBSE3.SA,0.14439270008565022,0.0,removed_by_constrained_allocator,exited,momentum_12m
2016,2016-01-04,CIEL3.SA,0.02454743234976234,0.0,removed_by_constrained_allocator,exited,momentum_12m
2016,2016-01-04,ENBR3.SA,0.0,0.17599999994238433,entered_after_point_in_time_screen,entered,momentum_12m
2016,2016-01-04,SANB3.SA,0.0,0.17599999993446386,entered_after_point_in_time_screen,entered,momentum_12m
2016,2016-01-04,SANB4.SA,0.0,0.1759999962549593,entered_after_point_in_time_screen,entered,momentum_12m
2016,2016-01-04,VLID3.SA,0.17566292413627319,0.0,removed_or_blocked_by_eligibility,exited,momentum_12m
2016,2016-01-04,WEGE3.SA,0.16235252743493675,4.9873715500707234e-11,removed_by_constrained_allocator,exited,momentum_12m
2016,2016-01-04,TITULO_CDI,0.4930443982204998,0.45000000015829544,defensive_residual_adjustment,reduced,momentum_12m
2017,2017-01-02,ABEV3.SA,0.014892604936438408,8.484265408138675e-12,removed_by_constrained_allocator,exited,momentum_12m
2017,2017-01-02,ENBR3.SA,0.14475993783844499,0.0,removed_or_blocked_by_eligibility,exited,momentum_12m
2017,2017-01-02,FLRY3.SA,0.0,0.17599999749798478,entered_after_point_in_time_screen,entered,momentum_12m
