date,decision_year,strategy,mvo,cdi,equity_sleeve,IBOVESPA,BOVA11
2013-01-03,2013,99.332827,98.587071,100.026555,98.858944,101.218225,101.060874
2013-01-04,2013,99.4895,99.107573,100.053155,99.12204,99.956835,100.081605
2013-01-07,2013,100.42386,101.13694,100.079724,100.799138,99.013589,99.151297
2013-01-08,2013,99.91047,100.428783,100.106263,99.843988,97.726619,97.780316
2013-01-09,2013,100.292374,101.007448,100.132772,100.51667,98.447642,98.335237
2013-01-10,2013,100.368778,100.798911,100.159326,100.633861,98.605915,98.726948
2013-01-11,2013,100.490255,101.054531,100.185923,100.832967,98.316547,98.416841
2013-01-14,2013,101.291367,102.617827,100.212565,102.267736,99.2502,99.151297
2013-01-15,2013,100.710741,101.788978,100.239252,101.190218,98.685851,98.77591
2013-01-16,2013,101.80283,103.571079,100.265946,103.153994,98.780176,98.808553
2013-01-17,2013,102.295748,104.196201,100.292647,104.028362,99.430855,99.575645
2013-01-18,2013,102.22584,104.028712,100.319279,103.879466,99.05036,99.216583
2013-01-21,2013,102.347708,104.048827,100.345957,104.079217,98.960831,99.151297
2013-01-22,2013,102.484359,104.17239,100.372642,104.30584,98.628297,99.151297
2013-01-23,2013,101.553239,102.573346,100.399334,102.591055,99.066347,99.249226
2013-01-24,2013,101.830079,102.877995,100.426033,103.072556,97.793765,97.780316
2013-01-28,2013,101.624199,102.739827,100.479527,102.654462,95.966427,96.115552
2013-01-29,2013,102.186862,103.5772,100.506322,103.655563,96.572342,96.833689
2013-01-30,2013,102.122852,103.671861,100.533124,103.517251,94.863309,94.793539
2013-01-31,2013,102.83831,105.134781,100.559934,104.79615,95.541167,95.789127
2013-02-01,2013,103.459788,105.998813,100.58675,105.904168,96.484412,96.393016
2013-02-04,2013,104.020477,106.297311,100.613611,106.901625,95.245404,95.315817
2013-02-05,2013,104.196529,106.746633,100.640478,107.199738,95.035971,94.924105
2013-02-06,2013,103.965101,106.229137,100.667353,106.756971,94.246203,94.320223
2013-02-07,2013,103.364393,105.27263,100.694198,105.642811,93.320544,93.340947
2013-02-08,2013,103.793465,106.222062,100.721051,106.400971,93.521982,93.37359
2013-02-13,2013,105.132403,109.37075,100.74791,108.813428,93.3749,93.47152
2013-02-14,2013,105.062818,109.262117,100.774739,108.664959,92.848921,92.998203
2013-02-15,2013,105.314086,109.664396,100.801575,109.099853,92.570743,92.541212
2013-02-18,2013,105.651442,110.021228,100.828419,109.691264,92.108713,92.133182
2013-02-19,2013,105.539566,109.70427,100.855232,109.465916,91.629097,91.561936
2013-02-20,2013,104.477739,106.688231,100.882127,107.513316,89.81295,89.472824
2013-02-21,2013,104.33992,106.540507,100.909029,107.240725,89.776179,89.489149
2013-02-22,2013,104.378221,107.245318,100.935976,107.288316,90.642686,90.468418
2013-02-25,2013,105.048441,108.485645,100.963079,108.484722,90.516387,90.239922
2013-02-26,2013,105.551034,109.513304,100.990115,109.376407,91.045564,91.104944
2013-02-27,2013,105.607508,109.813138,101.017158,109.456961,91.565148,91.610904
2013-02-28,2013,105.647273,109.775185,101.044209,109.50713,91.804956,91.627222
2013-03-01,2013,106.133632,111.742764,101.071266,110.36928,90.941647,91.039658
2013-03-04,2013,105.783214,111.659205,101.098369,109.709981,90.326139,90.256241
2013-03-05,2013,106.910834,114.091152,101.125478,111.738021,89.45004,89.603397
2013-03-06,2013,108.147253,116.755455,101.152595,113.963867,92.629896,92.459607
2013-03-07,2013,108.365106,117.520498,101.179719,114.337771,94.079936,93.977479
2013-03-08,2013,108.526185,117.78615,101.20685,114.608444,93.418066,93.275667
2013-03-11,2013,108.807507,118.416663,101.233989,115.097735,93.597122,93.895868
2013-03-12,2013,108.98103,119.320852,101.261135,115.391021,93.059952,93.06349
2013-03-13,2013,108.192767,117.955021,101.288288,113.935599,91.744205,91.627222
2013-03-14,2013,108.714815,119.028403,101.315449,114.862555,91.576339,91.480331
2013-03-15,2013,108.221583,117.726634,101.342616,113.943541,90.917666,90.794844
2013-03-18,2013,108.69241,118.712543,101.369791,114.777356,91.083933,91.007015
2013-03-19,2013,108.374772,119.016628,101.396974,114.177593,90.105516,90.011427
2013-03-20,2013,108.203138,118.601908,101.424163,113.843285,89.576339,89.53811
2013-03-21,2013,107.60375,116.99362,101.45136,112.731236,88.852118,88.88526
2013-03-22,2013,108.42224,118.24827,101.478564,114.197141,88.318145,88.558835
2013-03-25,2013,108.76822,118.345879,101.505776,114.803933,87.726619,87.759099
2013-03-26,2013,108.447568,117.908811,101.532995,114.198659,89.002398,89.064794
2013-03-27,2013,108.110171,117.322147,101.560221,113.562935,89.582734,89.636034
2013-03-28,2013,108.399146,118.026079,101.587529,114.065999,90.091127,89.929816
2013-04-01,2013,108.678047,117.828423,101.614883,114.550713,89.371703,89.440181
2013-04-02,2013,109.505906,119.638151,101.642243,116.033525,87.752198,87.726456
2013-04-03,2013,108.879009,118.317497,101.669574,114.87135,88.829736,88.868941
2013-04-04,2013,109.192501,118.95954,101.696912,115.418969,87.366906,87.318426
2013-04-05,2013,109.713535,119.891088,101.724257,116.343929,88.011191,88.265059
2013-04-08,2013,109.285634,119.396792,101.75161,115.543549,88.076739,88.052881
2013-04-09,2013,109.535641,119.778798,101.77897,115.975722,89.38769,89.325933
2013-04-10,2013,110.268781,121.454495,101.806337,117.286311,89.827338,89.782925
2013-04-11,2013,109.273124,119.937184,101.833712,115.453628,88.570743,88.379307
2013-04-12,2013,109.062246,119.469835,101.861094,115.047811,87.870504,87.693813
2013-04-15,2013,107.309467,116.114275,101.888483,111.838531,84.652278,84.788641
2013-04-16,2013,109.481699,120.042066,101.915843,115.765657,86.316547,86.290189
2013-04-17,2013,109.783485,121.180166,101.943209,116.291969,84.543565,84.576464
