decision_year,decision_date,holding_end_exclusive,gross_return,estimated_cost_brl,estimated_cost_rate,net_return,opening_wealth_brl,closing_wealth_brl,turnover,weights_at_decision,known_snapshot_count,factor,target_equity_weight,mvo_eligible_net_return,mvo_turnover,mvo_equity_gain_rate,mvo_cash_weight,equity_gain_rate,cash_weight,cdi_net_return,eligible_universe_size,priced_universe_size,benchmark_IBOVESPA,benchmark_BOVA11,realised_share_for_tax,tax_rate,net_return_after_tax,mvo_realised_share_for_tax,mvo_tax_rate,mvo_net_return_after_tax,cdi_net_return_after_tax
2013,2013-01-02,2014-01-02,0.06749471326650713,459.9278587492348,0.00045992785874923476,0.0670347854077579,1000000.0,1067034.785407758,0.44999999999999996,AMBV3.SA:9.74% | BBDC3.SA:8.15% | CIEL3.SA:17.60% | CMIG4.SA:14.96% | ITSA4.SA:4.55% | TITULO_CDI:45.00%,109,triple_factor,0.55,-0.06310991756749043,3.557354016454995e-12,-0.062184456932928844,3.557354016454995e-12,0.03151277855632484,0.44999999999999996,0.07995985491151636,37,109,-0.17654676258992807,-0.18002282841339912,0.10798413052687424,0.0011903906374455143,0.06584439477031238,0.6254292704847803,3.113259597924209e-14,-0.06310991756752156,0.065966880302001
2014,2014-01-02,2015-01-02,0.14864823341019484,222.4440182867142,0.00042000609195672956,0.14822822731823812,1067034.785407758,1225199.4601356466,0.21596826105374847,BBAS3.SA:9.31% | CIEL3.SA:17.60% | CMIG4.SA:17.60% | ESTC3.SA:6.87% | EZTC3.SA:3.61% | TITULO_CDI:45.00%,139,triple_factor,0.55,0.12203413570002541,1.2508585409695605,0.12348271536389266,6.055657701248575e-11,0.1003861433131813,0.44999999999999996,0.10724908910447484,41,139,-0.006634750998192329,-0.011002463231076454,0.18119457839121317,0.004258758823889017,0.1439694684943491,0.8213275038557832,0.015212962557807509,0.10682117314221791,0.08848049851119175
2015,2015-01-02,2016-01-04,-0.07838113994856455,227.36186277385508,0.0003393819275092587,-0.07872052187607381,1225199.4601356466,1128751.1192314846,0.36238915678242634,BBSE3.SA:6.60% | CIEL3.SA:17.60% | CMIG4.SA:17.60% | ITSA4.SA:5.60% | ITUB4.SA:7.60% | TITULO_CDI:45.00%,162,triple_factor,0.55,0.18807806758849013,1.6426550077115665,0.1896007393493746,1.6610829833765114e-10,-0.13746875920750967,0.44999999999999996,0.1313058205754336,39,162,-0.10640666226912932,-0.1085484010921044,0.2929059276327908,0.0030287449378645324,-0.08174926681393835,0.7310282907218616,0.020790525663716454,0.16728754192477369,0.10832730197473273
2016,2016-01-04,2017-01-02,0.3521610234147152,452.28426747859953,0.000692122076437724,0.3514689013382775,1128751.1192314846,1525472.0349921256,0.5858118552655815,BRSR6.SA:14.94% | CMIG4.SA:12.19% | ENBR3.SA:5.90% | LREN3.SA:4.37% | SMLE3.SA:17.60% | TITULO_CDI:45.00%,175,triple_factor,0.55,0.35523950459360937,1.4620565814437232,0.2824873795443933,0.5298686494500003,0.28969413364572305,0.44999999999999996,0.13881531059776075,33,175,0.4291782349730666,0.41703172361765506,0.3194315710480349,0.017372549764121788,0.33409635157415574,0.9999999971301236,0.055245035974260684,0.2999944686193487,0.11452263124315262
2017,2017-01-02,2018-01-02,0.20963265130063147,327.56977063527916,0.0005169222425785108,0.20911572905805295,1525472.0349921256,1844472.2317471756,0.6388631420960698,CMIG4.SA:17.60% | CPLE6.SA:5.34% | ELET3.SA:5.63% | SAPR4.SA:8.83% | SMLE3.SA:17.60% | TITULO_CDI:45.00%,183,triple_factor,0.5500000000000002,0.26818466149926695,1.999999994260247,0.26961957701813843,1.5555452581305435e-10,0.16521878657694666,0.44999999999999984,0.09869747716374411,39,183,0.28214938998808514,0.28093004210729355,0.3502315947619634,0.01140187513367277,0.19771385392438018,0.8448553303540947,0.0341684305240085,0.23401623097525845,0.08142541866008889
2018,2018-01-02,2019-01-02,0.38905325704779314,831.6326795901427,0.0011006382674731163,0.38795261878032,1844472.2317471756,2560040.0643210737,0.7004631895239268,BRSR6.SA:8.56% | CVCB3.SA:11.14% | ITSA3.SA:12.21% | MGLU3.SA:17.60% | SAPR4.SA:5.49% | TITULO_CDI:45.00%,169,triple_factor,0.55,0.5502977816577632,1.6897106607081893,0.5522257159030635,1.188221025314688e-10,0.3604015891110184,0.44999999999999996,0.06367037319283275,44,169,0.12833318355137302,0.12649800523329735,0.36540928046584936,0.02158629024223246,0.36636632853808754,0.5620857247217244,0.04655972876074615,0.5037380528970171,0.05252805788408702
2019,2019-01-02,2020-01-02,0.3139830913392081,902.9796734828675,0.0006374559280576938,0.3133456354111504,2560040.0643210737,3362217.444953763,0.7308185609316987,BRSR6.SA:15.65% | CMIG3.SA:3.91% | CSNA3.SA:13.73% | IRBR3.SA:5.30% | MGLU3.SA:16.41% | TITULO_CDI:45.00%,182,triple_factor,0.55,0.4280559049877926,1.1241714494434487,0.4296447904167966,3.877087055231941e-12,0.28736252681154195,0.44999999999999996,0.059156810061480325,48,182,0.27416164901331697,0.265415260819831,0.4352239317688992,0.020787590997231493,0.2925580444139189,0.7947831533328172,0.05122116620110374,0.3768347387866889,0.04880436830072127
2020,2020-01-02,2021-01-04,0.024786994457844047,1513.9545487667256,0.0009737229430230889,0.023813271514820957,3362217.444953763,3442282.8418623144,0.8704478635377983,AZUL4.SA:17.60% | BBSE3.SA:11.45% | CMIG3.SA:4.44% | EQTL3.SA:4.92% | MRFG3.SA:16.60% | TITULO_CDI:45.00%,235,triple_factor,0.5500000000000002,-0.1734666412935467,1.5895663066656345,-0.17161514457713067,7.396192562406299e-11,0.012490359992605948,0.44999999999999984,0.027325854367195923,67,235,0.006181845782766704,0.0035889676976212925,0.16685699986237684,0.0006716770180080331,0.023141594496812926,0.9361734097784348,3.311130589157824e-13,-0.17346664129387782,0.022543829852936636
2021,2021-01-04,2022-01-03,0.1631480660674285,995.3017703591315,0.0004308561020720774,0.1627172099653564,3442282.8418623144,4002401.5018017683,0.3337139997247537,BBSE3.SA:14.88% | CSMG3.SA:2.96% | EQTL3.SA:5.28% | MRFG3.SA:15.62% | TASA4.SA:16.26% | TITULO_CDI:45.00%,258,triple_factor,0.55,0.05876548994817443,1.8723468195568695,0.034151836380677314,0.5909730268365796,0.14344009074959874,0.44999999999999996,0.04379550070628846,72,258,-0.11585890450243763,-0.1164869288519651,0.545371053295738,0.013615138876588703,0.14910207108876772,0.9222890443848136,0.00890204304582395,0.04986344690235048,0.03613128808268798
2022,2022-01-03,2023-01-02,0.048940986882424875,2438.8752831599536,0.0009395314331458874,0.04800145544927899,4002401.5018017683,4194522.599180633,1.090742106591476,FHER3.SA:17.60% | GOAU4.SA:14.83% | TASA4.SA:5.08% | UNIP6.SA:11.05% | USIM5.SA:6.44% | TITULO_CDI:45.00%,265,triple_factor,0.55,-0.031543667100895456,1.8445780887696273,-0.03035021041665642,3.504470799871206e-11,-0.006386133074820166,0.44999999999999996,0.12294915546054463,89,265,0.058784472970112134,0.06024213574183901,0.3462602239855092,0.003352576666052043,0.044648878783226945,0.9470707159071894,7.141154881536835e-13,-0.03154366710160957,0.10143305325494932
2023,2023-01-02,2024-01-02,0.2201288564304893,1696.7079978796194,0.0008182330346229922,0.2193106233958663,4194522.599180633,5114425.965254988,0.6925204479710184,BRAP4.SA:5.75% | CURY3.SA:3.53% | KEPL3.SA:13.64% | UNIP6.SA:14.47% | VIVA3.SA:17.60% | TITULO_CDI:45.00%,297,triple_factor,0.55,0.10977993134877434,1.8941414318143788,0.1117125874463275,7.675578413429917e-11,0.16193189729683255,0.44999999999999996,0.1293265758525708,89,297,0.2614217492667519,0.2704862406620203,0.36007076576487973,0.012413170476292118,0.20689745291957418,0.9999999988399033,0.016756888099246664,0.09302304324952768,0.1066944250783709
