decision_year,decision_date,ticker,previous_weight,new_weight,reason,decision_action,factor
2013,2013-01-02,AMBV3.SA,0.0,0.09738415087017309,entered_after_point_in_time_screen,entered,triple_factor
2013,2013-01-02,BBDC3.SA,0.0,0.08150290925089498,entered_after_point_in_time_screen,entered,triple_factor
2013,2013-01-02,CIEL3.SA,0.0,0.176,entered_after_point_in_time_screen,entered,triple_factor
2013,2013-01-02,CMIG4.SA,0.0,0.149624506859889,entered_after_point_in_time_screen,entered,triple_factor
2013,2013-01-02,ITSA4.SA,0.0,0.04548843301904302,entered_after_point_in_time_screen,entered,triple_factor
2013,2013-01-02,TITULO_CDI,0.0,0.44999999999999996,defensive_residual_adjustment,entered,triple_factor
2014,2014-01-02,BBAS3.SA,0.0,0.0931416753693974,entered_after_point_in_time_screen,entered,triple_factor
2014,2014-01-02,BBDC3.SA,0.07849613610598519,0.0,removed_by_constrained_allocator,exited,triple_factor
2014,2014-01-02,CIEL3.SA,0.18854778523519167,0.176,rebalanced_after_point_in_time_review,reduced,triple_factor
2014,2014-01-02,CMIG4.SA,0.13637994649502955,0.176,rebalanced_after_point_in_time_review,increased,triple_factor
2014,2014-01-02,ESTC3.SA,0.0,0.06872724444833347,entered_after_point_in_time_screen,entered,triple_factor
2014,2014-01-02,EZTC3.SA,0.0,0.03613108018226918,entered_after_point_in_time_screen,entered,triple_factor
2014,2014-01-02,ITSA4.SA,0.04391855354739155,0.0,removed_by_constrained_allocator,exited,triple_factor
2014,2014-01-02,TITULO_CDI,0.4552546524779404,0.44999999999999996,defensive_residual_adjustment,reduced,triple_factor
2015,2015-01-02,BBAS3.SA,0.08588704304742437,0.0,removed_by_constrained_allocator,exited,triple_factor
2015,2015-01-02,BBSE3.SA,0.0,0.06604830212919385,entered_after_point_in_time_screen,entered,triple_factor
2015,2015-01-02,CIEL3.SA,0.19744679012968855,0.176,rebalanced_after_point_in_time_review,reduced,triple_factor
2015,2015-01-02,CMIG4.SA,0.1833991692313655,0.176,rebalanced_after_point_in_time_review,reduced,triple_factor
2015,2015-01-02,ESTC3.SA,0.0720516594057307,0.0,removed_by_constrained_allocator,exited,triple_factor
2015,2015-01-02,EZTC3.SA,0.027434067641600998,0.0,removed_or_blocked_by_eligibility,exited,triple_factor
2015,2015-01-02,ITSA4.SA,0.0,0.05597240137162578,entered_after_point_in_time_screen,entered,triple_factor
2015,2015-01-02,ITUB4.SA,0.0,0.07597929649918042,entered_after_point_in_time_screen,entered,triple_factor
2015,2015-01-02,TITULO_CDI,0.43378127054418997,0.44999999999999996,defensive_residual_adjustment,increased,triple_factor
2016,2016-01-04,BBSE3.SA,0.06070848299298955,0.0,removed_by_constrained_allocator,exited,triple_factor
2016,2016-01-04,BRSR6.SA,0.0,0.14942718662226878,entered_after_point_in_time_screen,entered,triple_factor
2016,2016-01-04,CIEL3.SA,0.16530417997227606,0.0,removed_by_constrained_allocator,exited,triple_factor
