decision_year,decision_date,holding_end_exclusive,gross_return,estimated_cost_brl,estimated_cost_rate,net_return,opening_wealth_brl,closing_wealth_brl,turnover,weights_at_decision,known_snapshot_count,factor,target_equity_weight,mvo_eligible_net_return,mvo_turnover,mvo_equity_gain_rate,mvo_cash_weight,equity_gain_rate,cash_weight,cdi_net_return,eligible_universe_size,priced_universe_size,benchmark_IBOVESPA,benchmark_BOVA11,realised_share_for_tax,tax_rate,net_return_after_tax,mvo_realised_share_for_tax,mvo_tax_rate,mvo_net_return_after_tax,cdi_net_return_after_tax
2013,2013-01-02,2014-01-02,0.08821499481171546,487.75833222047953,0.0004877583322204795,0.08772723647949499,1000000.0,1087727.236479495,0.44999999996285367,AMBV3.SA:11.00% | GRND3.SA:11.00% | LEVE3.SA:11.00% | SBSP3.SA:11.00% | UGPA3.SA:11.00% | TITULO_CDI:45.00%,109,low_volatility,0.5500000000371463,0.08329460677857069,8.772824565051199e-11,0.08433532684558531,8.772824565051199e-11,0.05223306010450335,0.44999999996285367,0.07995985491151636,17,109,-0.17654676258992807,-0.18002282841339912,0.38945048067028953,0.005503635363941722,0.08222360111555327,0.9531294141815744,0.01205737210184169,0.071237234676729,0.065966880302001
2014,2014-01-02,2015-01-02,0.10933091706962283,753.4982555260301,0.0008160469391514435,0.1085148701304714,1087727.236479495,1205761.816283444,0.7789009613405791,CESP6.SA:11.00% | CIEL3.SA:11.00% | MDIA3.SA:11.00% | PSSA3.SA:11.00% | UGPA3.SA:11.00% | TITULO_CDI:45.00%,139,low_volatility,0.549999999930137,0.023099675752946712,1.9062588283631487,0.02497550548912253,4.656407675635031e-09,0.061068826965116285,0.45000000006986296,0.10724908910447484,23,139,-0.006634750998192329,-0.011002463231076454,0.38584449225636586,0.006793251368987818,0.10172161876148358,0.8446735928085467,0.0031644225668755865,0.019935253186071124,0.08848049851119175
2015,2015-01-02,2016-01-04,0.02081775693183352,939.5863920901114,0.0007792470945764622,0.02003850983725706,1205761.816283444,1229923.4863004286,0.7716889845127317,BBSE3.SA:11.00% | CIEL3.SA:11.00% | ITUB3.SA:8.19% | ITUB4.SA:2.81% | VLID3.SA:11.00% | WEGE3.SA:11.00% | TITULO_CDI:45.00%,162,low_volatility,0.5499999999416507,-0.010527087883721526,1.6893471856170934,-0.035146690798353086,0.19940751053225403,-0.03826986233477325,0.45000000005834945,0.1313058205754336,27,162,-0.10640666226912932,-0.1085484010921044,0.5499999972779459,0.005687183326263952,0.014351326510993107,0.7723687897484102,0.0035390626821106387,-0.014066150565832165,0.10832730197473273
2016,2016-01-04,2017-01-02,0.33313901491531217,1441.2086600763962,0.0011717872502878261,0.33196722766502434,1229923.4863004286,1638217.7762876835,1.0999999945558918,ABEV3.SA:11.00% | ENBR3.SA:11.00% | SANB3.SA:11.00% | SANB4.SA:11.00% | UGPA3.SA:11.00% | TITULO_CDI:45.00%,175,low_volatility,0.549999998553847,0.23861820871201184,1.5447375794968203,0.14619603981048523,0.6734454583355032,0.27067212494557147,0.4500000014461531,0.13881531059776075,26,175,0.4291782349730666,0.41703172361765506,0.4505938151088512,0.023220236810580497,0.30874699085444385,0.8954845644040348,0.034287388079239464,0.20433082063277236,0.11452263124315262
2017,2017-01-02,2018-01-02,0.2282258356046405,1945.4030902025588,0.0011875118916992201,0.22703832371294128,1638217.7762876835,2010155.9940927813,0.9011876302177024,CVCB3.SA:11.00% | FLRY3.SA:11.00% | PNVL3.SA:11.00% | SANB3.SA:11.00% | SAPR4.SA:11.00% | TITULO_CDI:45.00%,183,low_volatility,0.5500000003226306,0.21642878760495687,1.7909691288080696,0.21769379893111318,8.568823252451197e-11,0.18381197091279877,0.44999999967736926,0.09869747716374411,33,183,0.28214938998808514,0.28093004210729355,0.41433981121783636,0.014644518253715781,0.21239380545922548,0.7661765797553146,0.02501878354598117,0.1914100040589757,0.08142541866008889
2018,2018-01-02,2019-01-02,-0.06756193787859888,2965.5741615219986,0.0014752955344487883,-0.06903723341304767,2010155.9940927813,1871380.385531961,0.8286796224356727,ALPA4.SA:5.11% | BPAC3.SA:4.49% | BRSR3.SA:8.61% | FLRY3.SA:9.33% | GRND3.SA:11.00% | QUAL3.SA:11.00% | SAPR3.SA:4.87% | SEER3.SA:0.60% | TITULO_CDI:45.00%,169,low_volatility,0.5500000000020562,-0.1613519044321071,1.5323531595106292,-0.15861229749889794,3.708808571192625e-10,-0.09621360581524263,0.4499999999979437,0.06367037319283275,34,169,0.12833318355137302,0.12649800523329735,0.49499999981869963,0.0024819507341027223,-0.07151918414715039,0.635748124667277,2.627210975850502e-12,-0.1613519044347343,0.05252805788408702
2019,2019-01-02,2020-01-02,0.13498637112698075,2839.1171700648893,0.0015171245739320452,0.1334692465530487,1871380.385531961,2121152.1156030656,0.9899999996373993,CSMG3.SA:11.00% | IRBR3.SA:11.00% | PSSA3.SA:2.58% | SANB4.SA:11.00% | SLCE3.SA:8.42% | UNIP6.SA:11.00% | TITULO_CDI:45.00%,182,low_volatility,0.5499999999965122,0.356199336099203,1.271496249334554,0.35923045559840683,4.7960822231614796e-11,0.10836580659910844,0.4500000000034878,0.059156810061480325,36,182,0.27416164901331697,0.265415260819831,0.47006494627631434,0.009830689049641825,0.12363855750340688,0.8102331306234876,0.04365906249862213,0.3125402736005809,0.04880436830072127
2020,2020-01-02,2021-01-04,0.0889558316720449,4943.992009493416,0.002330805024838017,0.08662502664720689,2121152.1156030656,2304896.9741399605,0.9401298925526287,ALPA4.SA:11.00% | BPAC3.SA:11.00% | BPAN4.SA:11.00% | CGAS5.SA:11.00% | CPLE3.SA:11.00% | TITULO_CDI:45.00%,235,low_volatility,0.5500000000048835,0.10588466872843073,1.6204662612469751,0.11054821627114553,2.3041909240022303e-11,0.07665919720694025,0.4499999999951166,0.027325854367195923,55,235,0.006181845782766704,0.0035889676976212925,0.3640321819680282,0.004969327092233158,0.08165569955497373,0.7898329841238914,0.013097194132138857,0.09278747459629187,0.022543829852936636
2021,2021-01-04,2022-01-03,0.21952509592123892,3335.442977220104,0.0014471115258696883,0.21807798439536924,2304896.9741399605,2807544.260499389,0.7280643639360564,BPAC3.SA:6.12% | BSLI3.SA:11.00% | CGAS3.SA:6.36% | CGAS5.SA:9.53% | UNIP6.SA:11.00% | WEGE3.SA:11.00% | TITULO_CDI:45.00%,258,low_volatility,0.55000000000004,0.13780942408621738,1.5796659682477827,0.12858247584018168,0.30604016247847654,0.19981712060341073,0.44999999999996,0.04379550070628846,48,258,-0.11585890450243763,-0.1164869288519651,0.4356477009680305,0.01455998385487977,0.20351800054048946,0.6999742263442104,0.01514249221718997,0.12266693186902741,0.03613128808268798
2022,2022-01-03,2023-01-02,0.03602201545386263,6670.828774642429,0.0023760369047417487,0.03364597854912088,2807544.260499389,2902006.8344638585,0.871295401936061,BRKM3.SA:11.00% | BSLI3.SA:1.42% | ENMT3.SA:11.00% | FESA4.SA:9.58% | UNIP3.SA:11.00% | UNIP6.SA:11.00% | TITULO_CDI:45.00%,265,low_volatility,0.5500000001656832,-0.011559828052378637,1.3999484526884207,-0.005433267290069654,1.257890614486392e-10,-0.019305104483011815,0.4499999998343169,0.12294915546054463,62,265,0.058784472970112134,0.06024213574183901,0.38057054989909556,0.003684777680274169,0.02996120086884671,0.5458436266486375,1.4773204821922289e-12,-0.011559828053855957,0.10143305325494932
