date,decision_year,strategy,mvo,cdi,equity_sleeve,IBOVESPA,BOVA11
2013-01-03,2013,99.617524,98.587071,100.026555,99.371546,101.218225,101.060874
2013-01-04,2013,99.766493,99.107573,100.053155,99.620635,99.956835,100.081605
2013-01-07,2013,100.672779,101.13694,100.079724,101.246689,99.013589,99.151297
2013-01-08,2013,100.393806,100.428783,100.106263,100.717752,97.726619,97.780316
2013-01-09,2013,100.763874,101.007448,100.132772,101.368913,98.447642,98.335237
2013-01-10,2013,100.652233,100.798911,100.159326,101.144204,98.605915,98.726948
2013-01-11,2013,100.590196,101.054531,100.185923,101.009647,98.316547,98.416841
2013-01-14,2013,101.05169,102.617827,100.212565,101.826929,99.2502,99.151297
2013-01-15,2013,100.769833,101.788978,100.239252,101.292629,98.685851,98.77591
2013-01-16,2013,101.652698,103.571079,100.265946,102.875996,98.780176,98.808553
2013-01-17,2013,102.035901,104.196201,100.292647,103.550883,99.430855,99.575645
2013-01-18,2013,102.015218,104.028712,100.319279,103.491488,99.05036,99.216583
2013-01-21,2013,102.181923,104.048827,100.345957,103.772761,98.960831,99.151297
2013-01-22,2013,102.251657,104.17239,100.372642,103.877717,98.628297,99.151297
2013-01-23,2013,101.866368,102.573346,100.399334,103.155353,99.066347,99.249226
2013-01-24,2013,101.953414,102.877995,100.426033,103.291772,97.793765,97.780316
2013-01-28,2013,101.845272,102.739827,100.479527,103.051382,95.966427,96.115552
2013-01-29,2013,102.675708,103.5772,100.506322,104.539344,96.572342,96.833689
2013-01-30,2013,102.853465,103.671861,100.533124,104.840609,94.863309,94.793539
2013-01-31,2013,103.100819,105.134781,100.559934,105.268408,95.541167,95.789127
2013-02-01,2013,103.670155,105.998813,100.58675,106.281624,96.484412,96.393016
2013-02-04,2013,103.938247,106.297311,100.613611,106.747087,95.245404,95.315817
2013-02-05,2013,104.02067,106.746633,100.640478,106.874964,95.035971,94.924105
2013-02-06,2013,103.863709,106.229137,100.667353,106.567593,94.246203,94.320223
2013-02-07,2013,103.442327,105.27263,100.694198,105.779479,93.320544,93.340947
2013-02-08,2013,104.135728,106.222062,100.721051,107.018239,93.521982,93.37359
2013-02-13,2013,104.953821,109.37075,100.74791,108.483705,93.3749,93.47152
2013-02-14,2013,104.850493,109.262117,100.774739,108.273884,92.848921,92.998203
2013-02-15,2013,104.940627,109.664396,100.801575,108.415808,92.570743,92.541212
2013-02-18,2013,104.959104,110.021228,100.828419,108.427438,92.108713,92.133182
2013-02-19,2013,105.153232,109.70427,100.855232,108.758461,91.629097,91.561936
2013-02-20,2013,104.804095,106.688231,100.882127,108.10166,89.81295,89.472824
2013-02-21,2013,105.065522,106.540507,100.909029,108.554972,89.776179,89.489149
2013-02-22,2013,105.2418,107.245318,100.935976,108.85343,90.642686,90.468418
2013-02-25,2013,105.178079,108.485645,100.963079,108.715398,90.516387,90.239922
2013-02-26,2013,105.343188,109.513304,100.990115,108.993477,91.045564,91.104944
2013-02-27,2013,105.126679,109.813138,101.017158,108.577697,91.565148,91.610904
2013-02-28,2013,105.576314,109.775185,101.044209,109.373084,91.804956,91.627222
2013-03-01,2013,105.800357,111.742764,101.071266,109.758297,90.941647,91.039658
2013-03-04,2013,105.449099,111.659205,101.098369,109.097471,90.326139,90.256241
2013-03-05,2013,106.161523,114.091152,101.125478,110.370607,89.45004,89.603397
2013-03-06,2013,107.150266,116.755455,101.152595,112.146135,92.629896,92.459607
2013-03-07,2013,106.881227,117.520498,101.179719,111.63478,94.079936,93.977479
2013-03-08,2013,107.032449,117.78615,101.20685,111.887532,93.418066,93.275667
2013-03-11,2013,107.047633,118.416663,101.233989,111.892933,93.597122,93.895868
2013-03-12,2013,107.376372,119.320852,101.261135,112.468432,93.059952,93.06349
2013-03-13,2013,106.794859,117.955021,101.288288,111.388919,91.744205,91.627222
2013-03-14,2013,107.101425,119.028403,101.315449,111.924089,91.576339,91.480331
2013-03-15,2013,106.622119,117.726634,101.342616,111.030396,90.917666,90.794844
2013-03-18,2013,106.991477,118.712543,101.369791,111.679722,91.083933,91.007015
2013-03-19,2013,106.813554,119.016628,101.396974,111.333985,90.105516,90.011427
2013-03-20,2013,106.714892,118.601908,101.424163,111.132354,89.576339,89.53811
2013-03-21,2013,106.187137,116.99362,101.45136,110.150547,88.852118,88.88526
2013-03-22,2013,106.51405,118.24827,101.478564,110.722676,88.318145,88.558835
2013-03-25,2013,106.704969,118.345879,101.505776,111.047538,87.726619,87.759099
2013-03-26,2013,106.593542,117.908811,101.532995,110.822674,89.002398,89.064794
2013-03-27,2013,106.477051,117.322147,101.560221,110.588595,89.582734,89.636034
2013-03-28,2013,106.825979,118.026079,101.587529,111.200667,90.091127,89.929816
2013-04-01,2013,107.009578,117.828423,101.614883,111.512102,89.371703,89.440181
2013-04-02,2013,107.564397,119.638151,101.642243,112.498479,87.752198,87.726456
2013-04-03,2013,106.909121,118.317497,101.669574,111.284707,88.829736,88.868941
2013-04-04,2013,107.068269,118.95954,101.696912,111.5517,87.366906,87.318426
2013-04-05,2013,107.191987,119.891088,101.724257,111.754268,88.011191,88.265059
2013-04-08,2013,106.843296,119.396792,101.75161,111.097904,88.076739,88.052881
2013-04-09,2013,107.269511,119.778798,101.77897,111.850455,89.38769,89.325933
2013-04-10,2013,107.941722,121.454495,101.806337,113.050265,89.827338,89.782925
2013-04-11,2013,107.106747,119.937184,101.833712,111.509732,88.570743,88.379307
2013-04-12,2013,106.870535,119.469835,101.861094,111.057852,87.870504,87.693813
2013-04-15,2013,105.275233,116.114275,101.888483,108.134892,84.652278,84.788641
2013-04-16,2013,107.217658,120.042066,101.915843,111.644191,86.316547,86.290189
2013-04-17,2013,107.38388,121.180166,101.943209,111.924021,84.543565,84.576464
2013-04-18,2013,107.994606,121.440902,101.97149,113.011293,84.997602,84.935532
2013-04-19,2013,108.453676,122.966175,101.999779,113.82282,86.217426,86.061693
2013-04-22,2013,107.82333,122.462391,102.028076,112.653586,86.807354,86.763505
2013-04-23,2013,108.370637,124.09743,102.05638,113.62553,87.745803,87.628527
2013-04-24,2013,107.94126,122.372637,102.084693,112.821681,87.904077,87.759099
2013-04-25,2013,107.973071,122.921402,102.113013,112.856347,87.870504,87.889666
2013-04-26,2013,107.71817,122.719865,102.141304,112.369744,86.733813,86.665575
2013-04-29,2013,106.786283,120.544119,102.169602,110.652251,87.749001,87.726456
2013-04-30,2013,107.871506,121.820555,102.197908,112.602224,89.384492,88.868941
2013-05-02,2013,107.371596,121.091281,102.226222,111.670131,88.444444,88.216091
2013-05-03,2013,107.512059,119.970784,102.254544,111.902345,88.709832,88.379307
2013-05-06,2013,107.00804,118.919449,102.282911,110.962739,88.617106,88.575159
2013-05-07,2013,107.314152,119.879621,102.311286,111.496089,89.968026,90.076707
2013-05-08,2013,107.879981,121.321217,102.339632,112.501677,89.216627,89.276971
2013-05-09,2013,107.429729,119.003893,102.368023,111.659808,88.645883,88.542516
2013-05-10,2013,107.926615,119.634878,102.396384,112.540033,88.102318,87.987595
2013-05-13,2013,107.575676,119.201092,102.424715,111.878782,87.047162,86.992001
2013-05-14,2013,107.699604,118.923483,102.453054,112.080919,87.397282,87.334744
2013-05-15,2013,107.940206,119.604458,102.481401,112.495184,87.827338,87.726456
2013-05-16,2013,107.107092,116.698379,102.509755,110.957233,87.566747,87.595883
2013-05-17,2013,107.451319,117.62769,102.538117,111.559895,88.191847,88.199772
2013-05-20,2013,107.765075,117.95802,102.566488,112.107148,89.05036,89.064794
2013-05-21,2013,108.154044,118.800335,102.594866,112.791146,89.952038,89.880854
2013-05-22,2013,108.332332,119.524975,102.623252,113.09208,90.214229,90.35417
2013-05-23,2013,107.622411,117.546671,102.651646,111.778085,90.08793,90.10935
2013-05-24,2013,107.373304,117.633748,102.680047,111.301924,90.177458,90.321527
2013-05-27,2013,107.7885,118.764404,102.708457,112.033583,90.161471,90.337846
2013-05-28,2013,108.17098,118.895362,102.736874,112.705749,89.585931,89.440181
2013-05-29,2013,107.298555,116.962059,102.765299,111.096266,87.346123,87.269464
2013-05-31,2013,105.20855,110.378923,102.79563,107.271442,85.541167,85.604701
2013-06-03,2013,104.873172,110.382889,102.825969,106.636839,86.241407,86.094336
2013-06-04,2013,105.231472,112.724698,102.856317,107.263465,86.359712,86.27387
2013-06-05,2013,104.578324,111.914172,102.886674,106.051084,84.410871,84.445897
2013-06-06,2013,104.682001,111.975661,102.91704,106.214743,84.548361,84.609107
2013-06-07,2013,104.311958,111.581423,102.947415,105.517085,82.52438,82.519995
2013-06-10,2013,103.693575,109.268533,102.977798,104.367893,82.041567,81.916106
2013-06-11,2013,103.166848,108.679435,103.008191,103.385341,79.568345,79.484251
2013-06-12,2013,103.011071,109.305985,103.038593,103.077236,78.626699,78.717152
2013-06-13,2013,102.998695,109.90605,103.069004,103.029853,80.59952,80.643054
2013-06-14,2013,103.308251,109.982063,103.099424,103.567793,78.868106,78.92933
2013-06-17,2013,103.333253,109.83348,103.129853,103.588354,78.479616,78.586586
2013-06-18,2013,102.868541,107.797469,103.16029,102.718519,79.080735,78.913005
2013-06-19,2013,101.902725,105.110578,103.190737,100.93758,76.567546,76.693327
2013-06-20,2013,101.140547,103.463001,103.221193,99.526883,77.080735,77.248248
2013-06-21,2013,101.243244,105.636114,103.251657,99.688679,75.229416,75.387626
2013-06-24,2013,99.750226,102.875032,103.282131,96.949169,73.485212,73.641258
2013-06-25,2013,100.507859,104.281171,103.312614,98.301744,74.968825,75.077525
2013-06-26,2013,101.873126,106.933108,103.343106,100.759099,75.414868,75.387626
2013-06-27,2013,103.224653,108.618385,103.373606,103.191466,76.113509,76.285297
2013-06-28,2013,103.572678,107.87802,103.404116,103.799276,75.870504,75.893585
2013-07-01,2013,103.937956,108.813728,103.434635,104.438448,75.507594,75.714051
2013-07-02,2013,102.615631,106.040471,103.465162,102.009244,72.308553,72.13971
2013-07-03,2013,101.624689,103.314815,103.495699,100.182545,72.01279,71.764323
2013-07-04,2013,101.705205,103.581808,103.526245,100.303947,73.16227,73.380119
2013-07-05,2013,101.672557,102.589722,103.556799,100.219588,72.278177,72.449811
2013-07-08,2013,101.614188,102.927206,103.587363,100.088456,72.063949,72.107067
2013-07-10,2013,102.084842,102.655903,103.648518,100.894155,72.714628,72.661988
2013-07-11,2013,102.391179,102.394807,103.681015,101.424543,74.541966,74.718457
2013-07-12,2013,102.298068,102.418165,103.713522,101.228653,72.794564,72.95577
2013-07-15,2013,102.921362,103.708049,103.746039,102.33531,74.722622,74.767425
2013-07-16,2013,102.999498,105.526474,103.778567,102.450762,74.930456,75.273378
2013-07-17,2013,103.39495,106.345376,103.811104,103.143144,75.790568,76.007833
2013-07-18,2013,103.653371,107.503482,103.843652,103.58637,76.190248,76.138406
2013-07-19,2013,103.766805,108.063343,103.87621,103.765976,75.779376,75.958871
2013-07-22,2013,104.65977,110.508467,103.908779,105.3629,77.656275,77.901092
2013-07-23,2013,105.167339,111.793783,103.941357,106.259099,78.04956,78.064308
2013-07-24,2013,105.086904,112.192671,103.973946,106.086189,77.336531,77.460419
2013-07-25,2013,105.306278,112.822145,104.006545,106.458379,78.444444,78.570261
2013-07-26,2013,105.428029,112.923333,104.039154,106.653065,79.01199,79.141507
2013-07-29,2013,105.696581,113.99561,104.071773,107.114652,78.676259,78.766114
2013-07-30,2013,105.821633,114.320144,104.104403,107.315322,77.63709,77.656278
2013-07-31,2013,106.163028,113.034104,104.137043,107.909335,77.11271,77.231923
2013-08-01,2013,106.978635,114.552051,104.16973,109.365513,78.56275,78.717152
2013-08-02,2013,106.303082,113.172618,104.202428,108.110481,77.496403,77.476744
2013-08-05,2013,106.697776,114.23455,104.235099,108.801377,77.435651,77.60731
2013-08-06,2013,106.223352,114.121328,104.26778,107.912049,75.814548,75.763013
2013-08-07,2013,105.374347,112.566282,104.300471,106.341656,75.854516,76.024158
2013-08-08,2013,106.30954,113.825708,104.333172,108.015253,78.223821,78.504975
2013-08-09,2013,106.574711,114.652767,104.365884,108.470618,79.736211,79.859638
2013-08-12,2013,106.324367,114.304173,104.398605,107.988673,80.414069,80.643054
2013-08-13,2013,106.583728,114.445564,104.431338,108.433457,80.896882,81.034766
2013-08-14,2013,106.163304,113.899625,104.46408,107.642262,81.368505,81.116371
2013-08-15,2013,105.538199,112.328967,104.496833,106.47891,81.38769,81.540719
2013-08-16,2013,106.123277,113.328183,104.529595,107.515882,82.396483,82.536314
2013-08-19,2013,105.699556,113.363809,104.562369,106.718665,82.452438,82.748491
2013-08-20,2013,104.021788,109.501756,104.595152,103.641355,80.746603,81.002123
