decision_year,decision_date,holding_end_exclusive,gross_return,estimated_cost_brl,estimated_cost_rate,net_return,opening_wealth_brl,closing_wealth_brl,turnover,weights_at_decision,known_snapshot_count,factor,target_equity_weight,mvo_eligible_net_return,mvo_turnover,mvo_equity_gain_rate,mvo_cash_weight,equity_gain_rate,cash_weight,cdi_net_return,eligible_universe_size,priced_universe_size,benchmark_IBOVESPA,benchmark_BOVA11,realised_share_for_tax,tax_rate,net_return_after_tax,mvo_realised_share_for_tax,mvo_tax_rate,mvo_net_return_after_tax,cdi_net_return_after_tax
2013,2013-01-02,2014-01-02,0.0044482186999519335,799.8921035007436,0.0007998921035007436,0.00364832659645119,1000000.0,1003648.3265964511,0.050000000000000155,AMBV3.SA:11.51% | BBDC3.SA:10.35% | BISA3.SA:3.31% | BRAP4.SA:6.56% | CIEL3.SA:12.67% | CMIG4.SA:12.67% | EQTL3.SA:7.65% | EZTC3.SA:5.80% | ITSA4.SA:7.73% | KLBN4.SA:5.85% | SBSP3.SA:3.87% | VALE3.SA:7.02% | TITULO_CDI:5.00%,109,triple_factor,0.9499999999999998,-0.06310991756749043,3.557354016454995e-12,-0.062184456932928844,3.557354016454995e-12,0.00045022595437604895,0.050000000000000155,0.07995985491151636,37,109,-0.17654676258992807,-0.18002282841339912,0.3721481918200447,0.00028550562618047284,0.003362820970270717,0.7850872111199103,3.908004326903484e-14,-0.06310991756752951,0.065966880302001
2015,2015-01-02,2016-01-04,-0.10624437386773267,533.0853308683763,0.0010054415647141103,-0.10724981543244677,1003648.3265964511,896007.2288098977,0.7442963836400894,ABEV3.SA:5.49% | BBDC4.SA:9.45% | BBSE3.SA:10.56% | CIEL3.SA:12.67% | CMIG4.SA:12.67% | EQTL3.SA:4.65% | ITSA4.SA:9.98% | ITUB4.SA:11.13% | LREN3.SA:3.62% | MRVE3.SA:3.78% | PSSA3.SA:7.75% | TOTS3.SA:3.23% | TITULO_CDI:5.00%,162,triple_factor,0.95,0.18798269547314142,1.5701744222398206,0.1896007393493746,1.6610829833765114e-10,-0.11280966489650435,0.050000000000000044,0.1313058205754336,39,162,-0.10640666226912932,-0.1085484010921044,0.45951366429961893,0.0005279471641192512,-0.10777776259656602,0.7310282907218616,0.020790525663716454,0.16719216980942497,0.10832730197473273
2016,2016-01-04,2017-01-02,0.5452902196403864,523.1029045466224,0.0009751217729772,0.5443150978674092,896007.2288098977,1383717.4912494633,0.9190273285992379,ABEV3.SA:3.47% | BBAS3.SA:7.20% | BBDC3.SA:2.74% | BRSR6.SA:12.67% | CMIG4.SA:12.67% | ENBR3.SA:8.75% | EQTL3.SA:7.47% | ITSA4.SA:6.98% | ITUB4.SA:7.63% | LREN3.SA:7.79% | RADL3.SA:4.97% | SMLE3.SA:12.67% | TITULO_CDI:5.00%,175,triple_factor,0.95,0.35524561163880747,1.4620565814437232,0.2824873795443933,0.5298686494500003,0.5383494541104983,0.050000000000000044,0.13881531059776075,33,175,0.4291782349730666,0.41703172361765506,0.5230690572257314,0.042874428657309914,0.5014406692100992,0.9999999971301236,0.055245035974260684,0.3000005756645468,0.11452263124315262
2017,2017-01-02,2018-01-02,0.2624328782871246,783.9626421652321,0.0009425184685001079,0.26149035981862445,1383717.4912494633,1745546.2759236097,1.0461381144514628,BBAS3.SA:4.18% | BBDC4.SA:6.15% | CMIG4.SA:12.67% | CPLE6.SA:11.63% | CVCB3.SA:5.25% | ELET3.SA:11.79% | ENBR3.SA:3.05% | ITSA4.SA:5.19% | ITUB4.SA:6.21% | SAPR4.SA:12.67% | SMLE3.SA:12.67% | SUZB5.SA:3.55% | TITULO_CDI:5.00%,183,triple_factor,0.95,0.26819374771183224,1.999999994260247,0.26961957701813843,1.5555452581305435e-10,0.25749800442893744,0.050000000000000044,0.09869747716374411,39,183,0.28214938998808514,0.28093004210729355,0.6034365051508168,0.02382868391239644,0.237661675906228,0.945434665946991,0.03823615421217705,0.2299575934996552,0.08142541866008889
2018,2018-01-02,2019-01-02,0.41236382734908017,1154.539859573521,0.0013400382902117548,0.41102378905886844,1745546.2759236097,2463007.3202313287,1.2068730103016336,ABEV3.SA:3.57% | BBDC3.SA:3.18% | BBSE3.SA:7.85% | BRAP4.SA:3.60% | BRSR6.SA:7.03% | CPLE6.SA:12.67% | CVCB3.SA:11.64% | GOLL4.SA:12.67% | ITSA3.SA:9.36% | ITUB3.SA:4.90% | MGLU3.SA:12.67% | SAPR4.SA:5.87% | TITULO_CDI:5.00%,201,triple_factor,0.95,0.5765571247581466,1.890869331893982,0.5783704734819742,8.078296903860098e-12,0.40918030868943855,0.050000000000000044,0.06367037319283275,53,201,0.12833318355137302,0.12649800523329735,0.6068335761208007,0.03758372905228735,0.3734400600065811,0.5470312383706513,0.04745800745192887,0.5290991173062177,0.05252805788408702
2019,2019-01-02,2020-01-02,0.48459244457418604,1615.447630040535,0.001124150654044983,0.48346829392014107,2463007.3202313287,3653793.267256388,1.2136671522416014,BBSE3.SA:3.72% | BRSR6.SA:12.67% | CMIG3.SA:6.21% | CPLE6.SA:7.93% | CSNA3.SA:12.14% | ELET3.SA:12.67% | IRBR3.SA:6.42% | ITUB4.SA:5.23% | MGLU3.SA:12.67% | QGEP3.SA:9.11% | SLCE3.SA:2.90% | TEND3.SA:3.32% | TITULO_CDI:5.00%,219,triple_factor,0.9500000000000002,0.4434789459369091,1.0940624767413025,0.4450315708467648,5.9897026458949035e-12,0.48163460407111214,0.04999999999999982,0.059156810061480325,62,219,0.27416164901331697,0.265415260819831,0.7485735238660434,0.05446831510827432,0.42899997881186674,0.928082671033467,0.06195391334491031,0.3815250325919988,0.04880436830072127
2020,2020-01-02,2021-01-04,-0.020452185726809624,2512.3254102357596,0.0014040478889428513,-0.021856233615752476,3653793.267256388,3573935.1080235685,1.4971470477320867,AZUL4.SA:12.67% | BBSE3.SA:12.67% | BPAN4.SA:7.00% | BRAP4.SA:4.53% | CMIG3.SA:10.52% | CSAN3.SA:2.96% | EQTL3.SA:10.84% | IRBR3.SA:6.95% | LIGT3.SA:7.89% | MRFG3.SA:12.67% | POSI3.SA:3.29% | TEND3.SA:3.01% | TITULO_CDI:5.00%,235,triple_factor,0.95,-0.17347386552368976,1.856165342066934,-0.17161514457713067,7.396192562406299e-11,-0.021818478445169487,0.050000000000000044,0.027325854367195923,67,235,0.006181845782766704,0.0035889676976212925,0.45713600021190576,0.00010930177796818867,-0.021965535393720665,0.9361734097784348,3.311130589157824e-13,-0.1734738655240209,0.022543829852936636
2021,2021-01-04,2022-01-03,0.0843960633674703,2118.7551292007124,0.0009440465868520537,0.08345201678061824,3573935.1080235685,3872187.2006311924,0.9142720004238115,B3SA3.SA:3.10% | BBSE3.SA:12.67% | BEEF3.SA:8.00% | BMGB4.SA:5.25% | CMIG3.SA:5.30% | CSMG3.SA:9.79% | ELET3.SA:3.32% | EQTL3.SA:12.22% | JHSF3.SA:3.65% | MRFG3.SA:12.67% | TASA4.SA:12.67% | WEGE3.SA:6.37% | TITULO_CDI:5.00%,258,triple_factor,0.9500000000000001,0.058762817330006316,1.8723468195568695,0.034151836380677314,0.5909730268365796,0.08220628833215582,0.04999999999999993,0.04379550070628846,72,258,-0.11585890450243763,-0.1164869288519651,0.8205716866732039,0.010432874694757618,0.07301914208586062,0.9222890443848136,0.00890204304582395,0.04986077428418237,0.03613128808268798
2022,2022-01-03,2023-01-02,-0.011096666951012746,3559.51716537454,0.001430262368911061,-0.012526929319923807,3872187.2006311924,3823680.585255372,1.6411433733464078,BRAP4.SA:9.29% | CSNA3.SA:5.91% | ENAT3.SA:3.48% | FHER3.SA:12.67% | GGBR4.SA:2.93% | GOAU4.SA:12.67% | MRFG3.SA:1.56% | PETR4.SA:6.61% | TASA4.SA:11.57% | UNIP6.SA:12.67% | USIM5.SA:11.99% | VALE3.SA:3.65% | TITULO_CDI:5.00%,265,triple_factor,0.9500000000000002,-0.03154114792865551,1.8445780887696273,-0.03035021041665642,3.504470799871206e-11,-0.017244124724040022,0.04999999999999982,0.12294915546054463,89,265,0.058784472970112134,0.06024213574183901,0.5443244664282312,0.0005855870426337956,-0.013112516362557603,0.9470707159071894,7.141154881536835e-13,-0.03154114792936963,0.10143305325494932
2023,2023-01-02,2024-01-02,0.24966987997784118,2378.8330571070524,0.0011426571018796504,0.24852722287596152,3823680.585255372,4773969.30227362,1.0886489328564624,BBSE3.SA:7.87% | BRAP4.SA:11.72% | CURY3.SA:10.18% | ENAT3.SA:2.46% | FESA4.SA:3.68% | KEPL3.SA:12.67% | PETR3.SA:4.70% | PRIO3.SA:6.08% | RECV3.SA:5.83% | TASA4.SA:4.47% | UNIP6.SA:12.67% | VIVA3.SA:12.67% | TITULO_CDI:5.00%,297,triple_factor,0.95,0.10979497682230138,1.8941414318143788,0.1117125874463275,7.675578413429917e-11,0.24320355118521264,0.050000000000000044,0.1293265758525708,89,297,0.2614217492667519,0.2704862406620203,0.5176640675616887,0.019470453494169766,0.22905676938179176,0.9999999988399033,0.016756888099246664,0.09303808872305472,0.1066944250783709
