decision_year,decision_date,holding_end_exclusive,gross_return,estimated_cost_brl,estimated_cost_rate,net_return,opening_wealth_brl,closing_wealth_brl,turnover,weights_at_decision,known_snapshot_count,factor,target_equity_weight,mvo_eligible_net_return,mvo_turnover,mvo_equity_gain_rate,mvo_cash_weight,equity_gain_rate,cash_weight,cdi_net_return,eligible_universe_size,priced_universe_size,benchmark_IBOVESPA,benchmark_BOVA11,realised_share_for_tax,tax_rate,net_return_after_tax,mvo_realised_share_for_tax,mvo_tax_rate,mvo_net_return_after_tax,cdi_net_return_after_tax
2013,2013-01-02,2014-01-02,0.06749471326650713,459.9278587492348,0.0004599278587492348,0.0670347854077579,1000000.0,1067034.785407758,0.44999999999999996,AMBV3.SA:9.74% | BBDC3.SA:8.15% | CIEL3.SA:17.60% | CMIG4.SA:14.96% | ITSA4.SA:4.55% | TITULO_CDI:45.00%,109,triple_factor,0.55,-0.06310991756749043,3.557354016454995e-12,-0.062184456932928844,3.557354016454995e-12,0.03151277855632484,0.44999999999999996,0.07995985491151636,37,109,-0.17654676258992807,-0.18002282841339912,0.07398623757416098,0.0008156061828564888,0.0662191792249014,0.7850872111199103,3.908004326903484e-14,-0.06310991756752951,0.065966880302001
2015,2015-01-02,2016-01-04,-0.07838113994856455,180.04589388517206,0.0003441355515631292,-0.07872527550012767,1067034.785407758,983032.1779583128,0.14797247514832196,BBSE3.SA:6.60% | CIEL3.SA:17.60% | CMIG4.SA:17.60% | ITSA4.SA:5.60% | ITUB4.SA:7.60% | TITULO_CDI:45.00%,162,triple_factor,0.55,0.18797677921970768,1.5701744222398206,0.1896007393493746,1.6610829833765114e-10,-0.13746875920750967,0.44999999999999996,0.1313058205754336,39,162,-0.10640666226912932,-0.1085484010921044,0.2929059276327908,0.0030287449378645324,-0.08175402043799221,0.7310282907218616,0.020790525663716454,0.16718625355599123,0.10832730197473273
2016,2016-01-04,2017-01-02,0.3521610234147152,391.5192194254935,0.0006891145006126327,0.35147190891410257,983032.1779583128,1328540.3740693086,0.5858118552655815,BRSR6.SA:14.94% | CMIG4.SA:12.19% | ENBR3.SA:5.90% | LREN3.SA:4.37% | SMLE3.SA:17.60% | TITULO_CDI:45.00%,175,triple_factor,0.55,0.3552432445697559,1.4620565814437232,0.2824873795443933,0.5298686494500003,0.28969413364572305,0.44999999999999996,0.13881531059776075,33,175,0.4291782349730666,0.41703172361765506,0.3194315710480349,0.017372549764121788,0.3340993591499808,0.9999999971301236,0.055245035974260684,0.29999820859549525,0.11452263124315262
2017,2017-01-02,2018-01-02,0.20963265130063147,283.8634467703283,0.0005127397748494139,0.20911991152578205,1328540.3740693086,1606364.6195531117,0.6388631420960698,CMIG4.SA:17.60% | CPLE6.SA:5.34% | ELET3.SA:5.63% | SAPR4.SA:8.83% | SMLE3.SA:17.60% | TITULO_CDI:45.00%,183,triple_factor,0.5500000000000002,0.26819740971650213,1.999999994260247,0.26961957701813843,1.5555452581305435e-10,0.16521878657694666,0.44999999999999984,0.09869747716374411,39,183,0.28214938998808514,0.28093004210729355,0.4051164998661052,0.01318866662844418,0.19593124489733788,0.945434665946991,0.03823615421217705,0.22996125550432508,0.08142541866008889
2018,2018-01-02,2019-01-02,0.4120268356089336,706.0158058791955,0.001096196786399799,0.41093063882253383,1606364.6195531117,2266469.0588479885,0.8102329997322104,CPLE6.SA:12.32% | CVCB3.SA:6.79% | GOLL4.SA:14.35% | ITSA3.SA:3.95% | MGLU3.SA:17.60% | TITULO_CDI:45.00%,201,triple_factor,0.55,0.576565807138578,1.890869331893982,0.5783704734819742,8.078296903860098e-12,0.38337516767215885,0.44999999999999996,0.06367037319283275,53,201,0.12833318355137302,0.12649800523329735,0.5478641130128852,0.034252638040272156,0.37667800078226166,0.5470312383706513,0.04745800745192887,0.5291077996866491,0.05252805788408702
2019,2019-01-02,2020-01-02,0.28396487898469625,1189.2605288336783,0.0008567886324543961,0.2831080903522418,2266469.0588479885,2908124.7859408855,1.0957282260257704,BRSR6.SA:12.05% | CSNA3.SA:9.42% | ELET3.SA:17.60% | MGLU3.SA:11.32% | QGEP3.SA:4.61% | TITULO_CDI:45.00%,219,triple_factor,0.5500000000000002,0.44348610936993793,1.0940624767413025,0.4450315708467648,5.9897026458949035e-12,0.2573443144570301,0.44999999999999984,0.059156810061480325,62,219,0.27416164901331697,0.265415260819831,0.6028341060285826,0.026078751700413395,0.2570293386518284,0.928082671033467,0.06195391334491031,0.38153219602502764,0.04880436830072127
2020,2020-01-02,2021-01-04,0.024786994457844047,1383.8311411831203,0.001030714394474246,0.0237562800633698,2908124.7859408855,2977211.012814924,1.2056682120571651,AZUL4.SA:17.60% | BBSE3.SA:11.45% | CMIG3.SA:4.44% | EQTL3.SA:4.92% | MRFG3.SA:16.60% | TITULO_CDI:45.00%,235,triple_factor,0.5500000000000002,-0.17344596069033297,1.856165342066934,-0.17161514457713067,7.396192562406299e-11,0.012490359992605948,0.44999999999999984,0.027325854367195923,67,235,0.006181845782766704,0.0035889676976212925,0.16685699986237684,0.0006716770180080331,0.02308460304536177,0.9361734097784348,3.311130589157824e-13,-0.1734459606906641,0.022543829852936636
2021,2021-01-04,2022-01-03,0.1631480660674285,855.510646203738,0.0004284273625163876,0.1627196387049121,2977211.012814924,3461661.713168454,0.3337139997247537,BBSE3.SA:14.88% | CSMG3.SA:2.96% | EQTL3.SA:5.28% | MRFG3.SA:15.62% | TASA4.SA:16.26% | TITULO_CDI:45.00%,258,triple_factor,0.55,0.058775366290292126,1.8723468195568695,0.034151836380677314,0.5909730268365796,0.14344009074959874,0.44999999999999996,0.04379550070628846,72,258,-0.11585890450243763,-0.1164869288519651,0.545371053295738,0.013615138876588703,0.1491044998283234,0.9222890443848136,0.00890204304582395,0.04987332324446818,0.03613128808268798
2022,2022-01-03,2023-01-02,0.048940986882424875,2091.587801026738,0.0009322597625838837,0.04800872711984099,3461661.713168454,3627851.6857371596,1.090742106591476,FHER3.SA:17.60% | GOAU4.SA:14.83% | TASA4.SA:5.08% | UNIP6.SA:11.05% | USIM5.SA:6.44% | TITULO_CDI:45.00%,265,triple_factor,0.55,-0.03153291522049959,1.8445780887696273,-0.03035021041665642,3.504470799871206e-11,-0.006386133074820166,0.44999999999999996,0.12294915546054463,89,265,0.058784472970112134,0.06024213574183901,0.3462602239855092,0.003352576666052043,0.04465615045378895,0.9470707159071894,7.141154881536835e-13,-0.03153291522121371,0.10143305325494932
2023,2023-01-02,2024-01-02,0.2201288564304893,1452.9867902395422,0.0008078160513709539,0.21932104037911834,3627851.6857371596,4423515.891794172,0.6925204479710184,BRAP4.SA:5.75% | CURY3.SA:3.53% | KEPL3.SA:13.64% | UNIP6.SA:14.47% | VIVA3.SA:17.60% | TITULO_CDI:45.00%,297,triple_factor,0.55,0.10980321688916309,1.8941414318143788,0.1117125874463275,7.675578413429917e-11,0.16193189729683255,0.44999999999999996,0.1293265758525708,89,297,0.2614217492667519,0.2704862406620203,0.36007076576487973,0.012413170476292118,0.20690786990282622,0.9999999988399033,0.016756888099246664,0.09304632878991642,0.1066944250783709
