decision_year,eq55_n5_value_quality,eq55_n5_triple_factor,eq55_n5_momentum_12m,eq55_n5_low_volatility,eq55_n8_value_quality,eq55_n8_triple_factor,eq55_n8_momentum_12m,eq55_n8_low_volatility,eq55_n12_value_quality,eq55_n12_triple_factor,eq55_n12_momentum_12m,eq55_n12_low_volatility,eq75_n5_value_quality,eq75_n5_triple_factor,eq75_n5_momentum_12m,eq75_n5_low_volatility,eq75_n8_value_quality,eq75_n8_triple_factor,eq75_n8_momentum_12m,eq75_n8_low_volatility,eq75_n12_value_quality,eq75_n12_triple_factor,eq75_n12_momentum_12m,eq75_n12_low_volatility,eq95_n5_value_quality,eq95_n5_triple_factor,eq95_n5_momentum_12m,eq95_n5_low_volatility,eq95_n8_value_quality,eq95_n8_triple_factor,eq95_n8_momentum_12m,eq95_n8_low_volatility,eq95_n12_value_quality,eq95_n12_triple_factor,eq95_n12_momentum_12m,eq95_n12_low_volatility
2012,0.11900490557380294,0.12081721591052967,0.04071402264375956,0.006697378709965503,0.10164873433289746,0.11659154189244314,0.08651294306165165,0.027001145586141875,0.04430142126427273,0.08229654237732627,0.054264377964079506,0.06289063864776175,0.1621402571131764,0.16474561607788857,0.04041682034582176,0.013535328730006046,0.14242939125191653,0.15898398431313301,0.11795972654491771,0.03680736765795061,0.0604024015262426,0.11221866912885928,0.07711553212047859,0.08650301597744905,0.21916394884014792,0.20859968646373275,0.05124792968778645,0.10642039734327276,0.18114387152292777,0.20137475518448897,0.14327281336897582,0.04660897849196879,0.07650034395284383,0.14213934558502522,0.09984296261015826,0.11071455346439708
2013,0.08398744971566403,0.019666473751985627,0.06359473619754741,0.06364081134505617,0.0627238745083802,0.022476422544197794,0.08746284574845452,0.08748698862859823,0.06713278478209023,0.024031168204928375,0.05251227064636291,0.05735066609123576,0.08545421760317486,-0.0022415716069431792,0.0576293070083017,0.05768078467578505,0.056460287242676696,0.0015897638909527973,0.09019301870321343,0.09021453312963629,0.06237793543289409,0.003701398153381179,0.042565282521492956,0.04913062448839822,0.0613792976915077,-0.014886646034209007,0.054497871919794695,0.054758194221925884,0.0502012988353041,-0.019288744154351972,0.09292673691833668,0.09293936180079976,0.05440016185381024,-0.016623914489664018,0.03264307391785255,0.04091224609749454
2014,0.1064141700430197,0.1112056607290908,0.05889857413865692,0.05890085319173255,0.10802383529712838,0.10374775573410709,0.10845191113371401,0.10845503081120138,0.09403173811169137,0.09429215077799617,0.10424049402491783,0.10423439615554966,0.10605564650194518,0.11264202674269459,0.04128133186269798,0.04128418982785941,0.09885562564786919,0.1024709330475715,0.10886261068706246,0.10886176582057228,0.0931597913690874,0.0895754131608272,0.10312364618423384,0.10311525083647277,0.1018469871573,0.10948474512829343,0.05863259534669786,0.058623488272491295,0.08896242771014472,0.10119250729007685,0.1092632618837027,0.09923778817705903,0.09228390770341965,0.08485620089375562,0.10199644886995886,0.1019857141839385
2015,-0.027053235308113332,0.017610338312270556,0.031647431142638044,0.03250959986925572,-0.02549989730861063,0.015973539400038265,0.0019388070337406278,0.019807303999176944,-0.04736027583784032,0.027600391471840093,-0.014655889478859336,-0.011662235204236874,-0.0664573634106217,-0.023733947857466523,-0.003452897138401059,-0.0034504971153535035,-0.06895047026404144,-0.02596761593407913,-0.03572203543289845,-0.020498497180672034,-0.10363272670368756,-0.010114366161638877,-0.06774608265475666,-0.06556359902842357,-0.10606109485772412,-0.04125446628165662,-0.05243326969029732,-0.05417952596444674,-0.11553475364334376,-0.06790965303512436,-0.07339367810138887,-0.06081288735545415,-0.16692713677043444,-0.04783071695342709,-0.1342112528929574,-0.13011680480379526
2016,0.44323648175317176,0.35278489277058583,0.4575660557990446,0.33740640380133546,0.32333714950154696,0.3788048586241788,0.3319736887061935,0.33196518727697794,0.28079999321970794,0.37410725732538047,0.29135059697788795,0.29134787700093573,0.5125575799644134,0.4305318455387312,0.5432402495363127,0.3314725768758999,0.3903285447375874,0.4660244065648774,0.402099334917242,0.4000493842487935,0.3110911341592601,0.4596355915223116,0.3467478476251438,0.34674438286758114,0.5148171223168588,0.5091343086515022,0.538306767027469,0.37066757259356553,0.45728004950130946,0.5532171141513775,0.4721785792070398,0.45049016191029534,0.3509642885228117,0.5451464823000062,0.3927634710930799,0.3990719622774763
2017,0.21480989104634263,0.2089410048380217,0.19314452118066402,0.1323421429710037,0.3195419852002728,0.19172530440500196,0.1432190197982396,0.22703265329008035,0.2265866820183049,0.19277990790082603,0.22910490106021192,0.23726225428587094,0.2663916285867296,0.24901843677809998,0.21105296805342225,0.14486717127679166,0.38599606696407757,0.22557169394553797,0.16635657499704798,0.2737523151264745,0.285491709321508,0.22701646877573395,0.27651778665210114,0.2882544455187052,0.4009018313628455,0.23940860268039169,0.1566708458221913,0.136406767061377,0.4273253054864921,0.25941442218117355,0.2188178836646401,0.3205870313986296,0.33654487005925376,0.2612568157929124,0.32396145021617134,0.33930115965966484
2018,0.06507649462307909,0.3879333428834703,0.056766833114291294,-0.06245943111601593,-0.016514107201624214,0.29712200591416504,-0.0635653153955943,-0.0690465278819601,-0.03461644971128523,0.23454038357073273,-0.03529973129662434,-0.06854834123856955,0.051997179048121296,0.5058059568971739,0.03911022517662155,-0.12009865843325117,-0.04781026744361056,0.38198827521530776,-0.09511313237521689,-0.1348259489437453,-0.073223809356721,0.2966622906774124,-0.07857127707035798,-0.1170335863186999,-0.010894625605577666,0.5733775856338179,-0.04662289090335752,-0.19053195923106667,-0.07925564641751497,0.46684847445071737,-0.1206357932051014,-0.20003511963647158,-0.12211818770675367,0.35878229427951214,-0.13020046922009437,-0.1611593223401606
2019,0.14935451740494385,0.3170471545677898,0.15471944032086354,0.1444769407134692,0.11962150768764612,0.2878463943055,0.11966929715429088,0.13572886554459193,0.11810972453083203,0.26066279012377064,0.11701989247212896,0.1226578934484148,0.17888314984960477,0.4108452878234302,0.1893378248267081,0.1782544879063257,0.14104035481673852,0.37101517630848446,0.1411077116893349,0.16454437014761258,0.14331602944942948,0.3339474335658788,0.1412338024044081,0.14560704399802912,0.19058597081390846,0.4825909617833231,0.1983158856725055,0.2032705268254311,0.16220983317974472,0.45418567579652763,0.16548477409136644,0.19327957280861519,0.168370414548429,0.40723540363646193,0.16275501424027264,0.16857065594050893
2020,0.06571635748048019,0.02384481639004896,0.00819795542907343,0.07339858190123731,0.06562237909846386,-0.002322271359061976,0.06573754540717144,0.0866728757709848,0.05898689548206595,-0.0010619853589059329,0.08356210054394969,0.07616566789451387,0.07883082806530226,0.02259552958066801,0.002833501158522378,0.08980285176039893,0.07912508294536341,-0.013089650210467568,0.07932855285784975,0.10792724703000026,0.07024035837914415,-0.01136972770428337,0.10382844466958994,0.0935202147672847,0.08519184214490873,0.017842003953031645,0.04045903125650145,0.09947617822861715,0.09241031863027617,-0.023853582765069794,0.09272307405199005,0.12871461195543285,0.08144408693402383,-0.02167234805826349,0.12407132855364879,0.11527660449438192
2021,0.3354366499294727,0.162718548370075,0.2602941546426421,0.233957181561171,0.2226639390909478,0.12300619425758068,0.222483053976941,0.21808372055199637,0.12156968019396738,0.06675065227695143,0.1276995598343189,0.11480873796596093,0.3885742090424106,0.2059477958770995,0.30535264256274075,0.25621546196836564,0.2874217935129697,0.15179612880974094,0.2872087470219455,0.2828035847561353,0.1605547031191083,0.07508415112267443,0.1604600731937095,0.17500060580508736,0.45659208370273946,0.21881166167953206,0.3860170519054062,0.307438651603723,0.35215153655938797,0.18057797996208422,0.35187377405988923,0.3396032167044123,0.23051173576443315,0.08340992931071134,0.19702336791592162,0.2424898305596732
