decision_year,selected_configuration,training_years,training_excess_sharpe,runner_up,switched,switching_cost,gross_of_switch_return,net_return,cdi_net_return,mvo_eligible_net_return,benchmark_IBOVESPA,benchmark_BOVA11,cdi_net_return_after_tax,turnover,equity_gain_rate,cash_weight,mvo_turnover,mvo_equity_gain_rate,mvo_cash_weight,realised_share_for_tax,tax_rate,net_return_after_tax,mvo_realised_share_for_tax,mvo_tax_rate,mvo_net_return_after_tax
2015,eq55_n8_low_volatility,3,0.8859443896562992,eq75_n8_low_volatility,False,0.0,0.019807303999176944,0.019807303999176944,0.1313058205754336,-0.010464054086751396,-0.10640666226912932,-0.1085484010921044,0.10832730197473273,0.7716417161135183,-0.03850247042508037,0.45000000013139557,0.7716417161135183,-0.03850247042508037,0.45000000013139557,0.7499999991858657,0.007755250021582584,0.01205205397759436,0.7499999991858657,0.007755250021582584,-0.01821930410833398
2016,eq75_n5_value_quality,4,-0.053121797905898285,eq95_n5_value_quality,True,0.0036255571220065153,0.5125575799644134,0.5089320228424069,0.13881531059776075,0.23858122349564095,0.4291782349730666,0.41703172361765506,0.11452263124315262,1.4999999983717314,0.479750583266057,0.2500000006277646,1.4999999983717314,0.479750583266057,0.2500000006277646,0.5651810915090104,0.044104334512307185,0.46482768833009974,0.5651810915090104,0.044104334512307185,0.19447688898333376
2017,eq75_n5_value_quality,5,0.321354689399933,eq55_n5_value_quality,False,0.0,0.2663916285867296,0.2663916285867296,0.09869747716374411,0.21639719298651006,0.28214938998808514,0.28093004210729355,0.08142541866008889,1.1303621830180208,0.2432259173823057,0.2500000000471053,1.1303621830180208,0.2432259173823057,0.2500000000471053,0.6274074490383518,0.025599417396592133,0.24079221119013747,0.6274074490383518,0.025599417396592133,0.19079777558991792
2018,eq95_n5_value_quality,6,0.4561367189869306,eq75_n5_value_quality,True,0.0036255571220065153,-0.010894625605577666,-0.014520182727584182,0.06367037319283275,-0.16156519221429042,0.12833318355137302,0.12649800523329735,0.05252805788408702,1.2548148980767035,-0.007403738005951732,0.050000000078362354,1.2548148980767035,-0.007403738005951732,0.050000000078362354,0.4943395481666745,0.00027540435619442593,-0.014795587083778608,0.4943395481666745,0.00027540435619442593,-0.16184059657048483
2019,eq95_n5_triple_factor,7,0.5575121662654747,eq55_n5_triple_factor,True,0.0036255571220065153,0.4825909617833231,0.4789654046613166,0.059156810061480325,0.4517019194845169,0.27416164901331697,0.265415260819831,0.04880436830072127,0.988679096333349,0.48074760900687774,0.050000000000000155,0.988679096333349,0.48074760900687774,0.050000000000000155,0.6551081173953419,0.04758034759343792,0.43138505706787866,0.6551081173953419,0.04758034759343792,0.40412157189107895
2020,eq95_n5_triple_factor,8,0.6936841195254114,eq55_n5_triple_factor,False,0.0,0.017842003953031645,0.017842003953031645,0.027325854367195923,-0.17349047354697894,0.006181845782766704,0.0035889676976212925,0.022543829852936636,1.3102162347906838,0.01809999291443065,0.050000000000000044,1.3102162347906838,0.01809999291443065,0.050000000000000044,0.25820260186694277,0.000762756348230546,0.0170792476048011,0.25820260186694277,0.000762756348230546,-0.1742532298952095
2021,eq95_n5_triple_factor,9,0.6335010806502032,eq75_n5_triple_factor,False,0.0,0.21881166167953206,0.21881166167953206,0.04379550070628846,0.0587262237781151,-0.11585890450243763,-0.1164869288519651,0.03613128808268798,0.5164052037338855,0.2173265919186248,0.050000000000000155,0.5164052037338855,0.2173265919186248,0.050000000000000155,0.7145724916612743,0.023568172419285105,0.19524348926024696,0.7145724916612743,0.023568172419285105,0.035158051358829996
2022,eq75_n5_triple_factor,10,0.6871123145823571,eq55_n5_triple_factor,True,0.0036255571220065153,0.020924553200442262,0.017298996078435748,0.12294915546054463,-0.03157774923749178,0.058784472970112134,0.06024213574183901,0.10143305325494932,1.4291449833225487,-0.00850207854398266,0.25,1.4291449833225487,-0.00850207854398266,0.25,0.3461070799691976,0.0018617188266743512,0.015437277251761397,0.3461070799691976,0.0018617188266743512,-0.03343946806416613
2023,eq55_n5_triple_factor,11,0.5669497464735085,eq75_n5_triple_factor,True,0.0036255571220065153,0.21927587568574666,0.21565031856374015,0.1293265758525708,0.1097559677821043,0.2614217492667519,0.2704862406620203,0.1066944250783709,0.6922141599383952,0.161907660467277,0.44999999999999996,0.6922141599383952,0.161907660467277,0.44999999999999996,0.36016311386598565,0.012415044726241824,0.20323527383749831,0.36016311386598565,0.012415044726241824,0.09734092305586248
2024,eq55_n5_triple_factor,12,0.5995884793089042,eq75_n5_triple_factor,False,0.0,-0.030831784094738766,-0.030831784094738766,0.10777090353467633,0.02938393804553434,-0.09355147441162948,-0.08923577472783695,0.08891099541610797,0.7203262277319713,-0.07867846399989326,0.45000000000000007,0.7203262277319713,-0.07867846399989326,0.45000000000000007,0.1515772353907524,0.0012864297295512893,-0.03211821382429005,0.1515772353907524,0.0012864297295512893,0.02809750831598305
2025,eq55_n5_triple_factor,13,0.45042265129558245,eq75_n5_triple_factor,False,0.0,0.44402711581774423,0.44402711581774423,0.14209253474057104,0.3050869553341985,0.3413111342351718,0.3492741422615624,0.11722634116097111,0.3031544707815048,0.38029340635041964,0.44999999999999996,0.3031544707815048,0.38029340635041964,0.44999999999999996,1.0,0.06823379806338291,0.3757933177543613,1.0,0.06823379806338291,0.23685315727081557
