decision_year,selected_configuration,training_years,training_excess_sharpe,runner_up,switched,switching_cost,gross_of_switch_return,net_return,cdi_net_return,mvo_eligible_net_return,benchmark_IBOVESPA,benchmark_BOVA11,cdi_net_return_after_tax,turnover,equity_gain_rate,cash_weight,mvo_turnover,mvo_equity_gain_rate,mvo_cash_weight,realised_share_for_tax,tax_rate,net_return_after_tax,mvo_realised_share_for_tax,mvo_tax_rate,mvo_net_return_after_tax
2016,eq35_f20_triple_factor,3,-0.4393056364732678,eq35_f20s3_triple_factor,False,0.0,0.27183033743853546,0.27183033743853546,0.13881531059776075,0.3552372418054053,0.4291782349730666,0.41703172361765506,0.11452263124315262,0.3547974919978474,0.1819966311325817,0.65,0.3547974919978474,0.1819966311325817,0.65,0.4802392162925778,0.020693381167137592,0.25113695627139787,0.4802392162925778,0.020693381167137592,0.3345438606382677
2017,eq55_f10_momentum_12m,4,0.2038331206966987,eq55_f10s3_momentum_12m,True,0.003108819151897777,0.19317131207006139,0.1900624929181636,0.09869747716374411,0.21642324479965494,0.28214938998808514,0.28093004210729355,0.08142541866008889,0.9604784325851556,0.15009384707138917,0.4500000000135384,0.9604784325851556,0.15009384707138917,0.4500000000135384,0.41433981121638785,0.012548904096017314,0.1775135888221463,0.41433981121638785,0.012548904096017314,0.20387434070363764
2018,eq55_n8_low_volatility,5,0.36862386044500756,eq55_n8s3_low_volatility,True,0.003108819151897777,-0.06903723341239683,-0.0721460525642946,0.06367037319283275,-0.16135190443210715,0.12833318355137302,0.12649800523329735,0.05252805788408702,0.8286796224327757,-0.0962136058145937,0.4499999999979431,0.8286796224327757,-0.0962136058145937,0.4499999999979431,0.2824659872884896,0.0014162962924575578,-0.07356234885675215,0.2824659872884896,0.0014162962924575578,-0.16276820072456472
2019,eq35_f20_triple_factor,6,0.4506977292531398,eq35_f20s3_triple_factor,True,0.003108819151897777,0.20832356020546788,0.2052147410535701,0.059156810061480325,0.4280651821814896,0.27416164901331697,0.265415260819831,0.04880436830072127,0.5649319745769792,0.17030664019472908,0.6499999999999999,0.5649319745769792,0.17030664019472908,0.6499999999999999,0.2714207426680554,0.008760127044679657,0.19645461400889044,0.2714207426680554,0.008760127044679657,0.41930505513680993
2020,eq35_f20_triple_factor,7,0.5928353277140811,eq35_f20s3_triple_factor,False,0.0,0.00592476145965302,0.00592476145965302,0.027325854367195923,-0.1734444690286547,0.006181845782766704,0.0035889676976212925,0.022543829852936636,0.5428414853361108,-0.011320964297549363,0.6500000000000001,0.5428414853361108,-0.011320964297549363,0.6500000000000001,0.10626516851608162,0.0003303057165562677,0.0055944557430967524,0.10626516851608162,0.0003303057165562677,-0.17377477474521097
2021,eq35_n5_triple_factor,8,0.5179306550125327,eq35_n5s3_triple_factor,True,0.003108819151897777,0.1194790816752828,0.11637026252338503,0.04379550070628846,0.05877777607607324,-0.11585890450243763,-0.1164869288519651,0.03613128808268798,0.21253033703216323,0.09128005774974463,0.65,0.21253033703216323,0.09128005774974463,0.65,0.3617590823133372,0.006755397530247609,0.10961486499313743,0.3617590823133372,0.006755397530247609,0.052022378545825636
2022,eq35_n5_triple_factor,9,0.5728582427436149,eq35_n5s3_triple_factor,False,0.0,0.07526051622564742,0.07526051622564742,0.12294915546054463,-0.031527659763255694,0.058784472970112134,0.06024213574183901,0.10143305325494932,0.7235181646266744,-0.004063902865794611,0.65,0.7235181646266744,-0.004063902865794611,0.65,0.22218980710202152,0.0031074280891215914,0.07215308813652582,0.22218980710202152,0.0031074280891215914,-0.03463508785237729
2023,eq35_n5_triple_factor,10,0.4702138227635398,eq35_n5s3_triple_factor,False,0.0,0.18662037313182425,0.18662037313182425,0.1293265758525708,0.10981074980305552,0.2614217492667519,0.2704862406620203,0.1066944250783709,0.44437961420404304,0.10304757100707529,0.65,0.44437961420404304,0.10304757100707529,0.65,0.23862450897971377,0.007198832217638722,0.17942154091418552,0.23862450897971377,0.007198832217638722,0.1026119175854168
2024,eq35_n5_triple_factor,11,0.5037713665617264,eq35_n5s3_triple_factor,False,0.0,0.019587643932532428,0.019587643932532428,0.10777090353467633,0.029430433673370806,-0.09355147441162948,-0.08923577472783695,0.08891099541610797,0.47724901795942754,-0.05006303128153361,0.65,0.47724901795942754,-0.05006303128153361,0.65,0.102433378270702,0.0012557246665989975,0.01833191926593343,0.102433378270702,0.0012557246665989975,0.028174709006771808
2025,eq35_n5_triple_factor,12,0.3729496368900213,eq35_n5s3_triple_factor,False,0.0,0.33423884856798103,0.33423884856798103,0.14209253474057104,0.30512336864049006,0.3413111342351718,0.3492741422615624,0.11722634116097111,0.204866756541404,0.242004894950267,0.65,0.204866756541404,0.242004894950267,0.65,1.0,0.05246376006928001,0.28177508849870103,1.0,0.05246376006928001,0.25265960857121006
