ticker,isin,issuer_name,asset_class,cnpj_cia,cvm_name,cvm_sector,match_method,confidence,mapping_status,source,universe_year,decision_date
VALE3.SA,BRVALEACNOR0,VALE,equity,33.592.510/0001-54,VALE S.A.,Extração Mineral,prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
PETR4.SA,BRPETRACNPR6,PETROBRAS,equity,33.000.167/0001-01,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Petróleo e Gás,prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
ITUB4.SA,BRITUBACNPR1,ITAUUNIBANCO,equity,60.872.504/0001-23,ITAÚ UNIBANCO HOLDING S.A.,Bancos,prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
BBDC4.SA,BRBBDCACNPR8,BRADESCO,equity,60.746.948/0001-12,BANCO BRADESCO S.A.,Bancos,prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
BBAS3.SA,BRBBASACNOR3,BRASIL,equity,00.000.000/0001-91,BANCO DO BRASIL S.A.,Bancos,prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
B3SA3.SA,BRB3SAACNOR6,B3,equity,09.346.601/0001-25,"B3 S.A. - BRASIL, BOLSA, BALCÃO",Bolsas de Valores/Mercadorias e Futuros,prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
BPAC11.SA,BRBPACUNT006,BTGP BANCO,equity,30.306.294/0001-45,BANCO BTG PACTUAL S/A,Bancos,prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
SBSP3.SA,BRSBSPACNOR5,SABESP,equity,43.776.517/0001-80,CIA SANEAMENTO BÁSICO ESTADO SÃO PAULO,"Saneamento, Serv. Água e Gás",prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
WEGE3.SA,BRWEGEACNOR0,WEG,equity,84.429.695/0001-11,WEG SA,"Emp. Adm. Part. - Máqs., Equip., Veíc. e Peças",prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
ABEV3.SA,BRABEVACNOR1,AMBEV S/A,equity,07.526.557/0001-00,AMBEV S.A.,Bebidas e Fumo,prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
PETR3.SA,BRPETRACNOR9,PETROBRAS,equity,33.000.167/0001-01,PETRÓLEO BRASILEIRO S.A. - PETROBRAS,Petróleo e Gás,prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
EQTL3.SA,BREQTLACNOR0,EQUATORIAL,equity,03.220.438/0001-73,EQUATORIAL S.A.,Energia Elétrica,prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
RENT3.SA,BRRENTACNOR4,LOCALIZA,equity,16.670.085/0001-55,LOCALIZA RENT A CAR SA,Serviços Transporte e Logística,prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
ITSA4.SA,BRITSAACNPR7,ITAUSA,equity,61.532.644/0001-15,ITAUSA S.A.,Emp. Adm. Part. - Intermediação Financeira,prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
PRIO3.SA,BRPRIOACNOR1,PETRORIO,equity,10.629.105/0001-68,PRIO S.A.,Petróleo e Gás,prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
SUZB3.SA,BRSUZBACNOR0,SUZANO S.A.,equity,16.404.287/0001-55,SUZANO S.A.,Papel e Celulose,prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
LREN3.SA,BRLRENACNOR1,LOJAS RENNER,equity,92.754.738/0001-62,LOJAS RENNER SA,Comércio (Atacado e Varejo),prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
RDOR3.SA,BRRDORACNOR8,REDE D OR,equity,06.047.087/0001-39,REDE D'OR SÃO LUIZ S.A.,Serviços Médicos,prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
RAIL3.SA,BRRAILACNOR9,RUMO S.A.,equity,02.387.241/0001-60,RUMO S.A.,Emp. Adm. Part. - Serviços Transporte e Logística,prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
VBBR3.SA,BRVBBRACNOR1,VIBRA,equity,34.274.233/0001-02,VIBRA ENERGIA S/A,Comércio (Atacado e Varejo),prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
RADL3.SA,BRRADLACNOR0,RAIADROGASIL,equity,61.585.865/0001-51,RAIA DROGASIL S.A.,Comércio (Atacado e Varejo),prior_accepted_b3_cvm_bridge_same_ticker_isin,1.0,accepted,B3 COTAHIST official annual file; last trading session 2025-01-02; 60-session average traded value,2026,2026-01-02
