year,net_return,gross_return,turnover,cdi_return,eligible_assets,baseline_mvo_return
2015,0.03325215987276847,0.03475215987276847,1.0,0.1318997108790032,257,0.2473397014913701
2016,0.5746902339008866,0.5771852207842785,1.6633245889279575,0.13939289494698648,258,0.7397646564531561
2017,0.6968547281347298,0.6992608262672708,1.6040654216939958,0.09869747716374477,260,0.8758134462196199
2018,0.5751006419188519,0.5775321478026287,1.6210039225179125,0.06393224883871174,262,0.6530546159819116
2019,0.2905247354349795,0.2928671024736771,1.5615780257984175,0.05933780936875266,266,0.2061423908230255
2020,0.2914105034218613,0.2943633468027218,1.9685622539069882,0.0274025853352573,268,0.311075188790148
2021,0.4483089473218107,0.45090127056141616,1.7282154930703075,0.04415820920482849,273,0.5278810024533993
2022,-0.007097623720355179,-0.004225058792258762,1.9150432853976114,0.12294915546054375,297,0.010774454327504
2023,0.16060484143868078,0.16360484143451615,1.999999997223577,0.1293265758525719,332,0.2075973884334144
2024,0.10410022836966729,0.10710022836596633,1.9999999975327003,0.10777090353467478,333,0.1475271691096646
2025,-0.03651886833872649,-0.03375694402948126,1.841282872830148,0.14209253474057149,325,-0.3087918114055668
