decision_year,decision_date,holding_end_exclusive,gross_return,estimated_cost_brl,estimated_cost_rate,net_return,opening_wealth_brl,closing_wealth_brl,turnover,weights_at_decision,known_snapshot_count,factor,target_equity_weight,mvo_eligible_net_return,cdi_net_return
2013,2013-01-02,2014-01-02,0.06645678927328746,372.7264850421675,0.0003727264850421675,0.0660840627882453,1000000.0,1066084.0627882453,1.0,ITUB4.SA:14.88% | BBDC4.SA:10.58% | WEGE3.SA:4.54% | BBAS3.SA:15.00% | TITULO_CDI:55.00%,12,triple_factor,0.45,0.06983791907679288,0.07857469049866928
2014,2014-01-02,2015-01-02,0.17664451206273313,161.2554741014692,0.00015125962363579497,0.17649325243909733,1066084.0627882453,1254240.7064032296,0.19053043158251204,ITUB4.SA:9.59% | BBDC4.SA:6.14% | WEGE3.SA:14.27% | BBAS3.SA:15.00% | TITULO_CDI:55.00%,18,triple_factor,0.45,0.1730746721152673,0.10540624317644642
2015,2015-01-02,2016-01-04,0.025021021323084147,243.5409312273978,0.0001941739970518076,0.02482684732603234,1254240.7064032296,1285379.5489311975,0.3955836195101031,ITUB4.SA:15.00% | BBDC4.SA:15.00% | WEGE3.SA:10.51% | ABEV3.SA:4.49% | TITULO_CDI:55.00%,25,triple_factor,0.44999999999999996,0.015790316534246493,0.12954569629278212
2016,2016-01-04,2017-01-02,0.2829057381730986,308.90252418070327,0.00024032008634146854,0.28266541808675716,1285379.5489311975,1648711.8965300017,0.44957825120045897,ITUB4.SA:13.40% | WEGE3.SA:3.99% | ABEV3.SA:15.00% | BBAS3.SA:12.60% | TITULO_CDI:55.00%,31,triple_factor,0.45,0.11627153914392298,0.13821818995312585
2017,2017-01-02,2018-01-02,0.20056341135007694,449.09805206881236,0.00027239328654934594,0.2002910180635276,1648711.8965300017,1978934.080779445,0.42803594472439466,ITUB4.SA:13.48% | BBDC4.SA:15.00% | ABEV3.SA:6.95% | BBAS3.SA:9.56% | TITULO_CDI:55.00%,39,triple_factor,0.44999999999999996,0.19299277657501343,0.10022611215747501
2018,2018-01-02,2019-01-02,0.09536583609868554,241.24497514031827,0.00012190652406435835,0.09524392957462119,1978934.080779445,2167415.5390020204,0.2853720020536742,ITUB4.SA:14.45% | BBDC4.SA:12.67% | RENT3.SA:5.54% | ABEV3.SA:12.35% | TITULO_CDI:55.00%,47,triple_factor,0.44999999999999996,0.12581629837310593,0.06288552611006737
2019,2019-01-02,2020-01-02,0.10063537011602586,305.7885185848016,0.00014108439894529914,0.10049428571708056,2167415.5390020204,2385228.4154461296,0.25573077404259803,ITUB4.SA:13.87% | BBDC4.SA:15.00% | ABEV3.SA:5.36% | BBAS3.SA:10.76% | TITULO_CDI:55.00%,55,triple_factor,0.44999999999999996,0.15538897754432385,0.05825368501784567
2020,2020-01-02,2021-01-04,-0.02268250603661226,553.5397387689274,0.00023206990793181293,-0.022914575944544074,2385228.4154461296,2330571.917775305,0.45660785283027355,PETR4.SA:8.39% | ITUB4.SA:6.61% | ABEV3.SA:15.00% | BBAS3.SA:15.00% | TITULO_CDI:55.00%,63,triple_factor,0.44999999999999996,0.27035902205400386,0.027172409622468585
2021,2021-01-04,2022-01-03,0.0005915434280703291,499.0892417490779,0.0002141488267075207,0.0003773946013628084,2330571.917775305,2331451.463035161,0.4573854314450776,VALE3.SA:4.87% | WEGE3.SA:15.00% | ABEV3.SA:10.13% | BBAS3.SA:15.00% | TITULO_CDI:55.00%,71,triple_factor,0.4500000000000001,-0.006563428071011028,0.043186650987467656
2022,2022-01-03,2023-01-02,0.19890505886956977,651.7050686616785,0.00027952761573396307,0.1986255312538358,2331451.463035161,2794537.248473053,0.5009354347019944,PETR4.SA:15.00% | VALE3.SA:15.00% | WEGE3.SA:7.18% | ABEV3.SA:7.82% | TITULO_CDI:55.00%,79,triple_factor,0.44999999999999996,0.18266507357174813,0.12294915546054574
2023,2023-01-02,2024-01-02,0.27687913307336265,382.63645273308566,0.0001369230103990061,0.2767422100629636,2794537.248473053,3567903.6627187585,0.2577677540329356,PETR4.SA:15.00% | VALE3.SA:14.77% | WEGE3.SA:4.70% | BBAS3.SA:10.53% | TITULO_CDI:55.00%,87,triple_factor,0.45000000000000007,0.31084416181678015,0.129326575852573
2024,2024-01-02,2025-01-02,0.12901678420346574,613.4780270638067,0.00017194355146807236,0.12884484065199767,3567903.6627187585,4027609.641603436,0.39197215133429925,PETR4.SA:15.00% | ITUB4.SA:4.66% | WEGE3.SA:10.34% | BBAS3.SA:15.00% | TITULO_CDI:55.00%,95,triple_factor,0.45,0.08059495563885782,0.10726695312630197
2025,2025-01-02,2026-01-02,0.12791312037241442,548.9484411507947,0.00013629633703336064,0.12777682403538107,4027609.641603436,4542244.810061803,0.1754015070534833,PETR4.SA:15.00% | ITUB4.SA:10.39% | WEGE3.SA:15.00% | BBAS3.SA:4.61% | TITULO_CDI:55.00%,102,triple_factor,0.45000000000000007,0.08998684630648415,0.14146323464468114
