decision_year,decision_date,ticker,previous_weight,new_weight,reason,decision_action,factor
2013,2013-01-02,ITUB4.SA,0.0,0.1488063253452845,entered_after_point_in_time_screen,entered,triple_factor
2013,2013-01-02,BBDC4.SA,0.0,0.10578939413537136,entered_after_point_in_time_screen,entered,triple_factor
2013,2013-01-02,WEGE3.SA,0.0,0.045404280519344156,entered_after_point_in_time_screen,entered,triple_factor
2013,2013-01-02,BBAS3.SA,0.0,0.15,entered_after_point_in_time_screen,entered,triple_factor
2013,2013-01-02,TITULO_CDI,0.0,0.55,defensive_residual_adjustment,entered,triple_factor
2014,2014-01-02,ITUB4.SA,0.14893947874972824,0.0959307351773491,rebalanced_after_point_in_time_review,reduced,triple_factor
2014,2014-01-02,BBDC4.SA,0.09175329086542372,0.061378085024070425,rebalanced_after_point_in_time_review,reduced,triple_factor
2014,2014-01-02,WEGE3.SA,0.04883950096211664,0.14269117979858048,rebalanced_after_point_in_time_review,increased,triple_factor
2014,2014-01-02,BBAS3.SA,0.14858646304520773,0.15,rebalanced_after_point_in_time_review,increased,triple_factor
2014,2014-01-02,TITULO_CDI,0.5618812663775236,0.55,defensive_residual_adjustment,reduced,triple_factor
2015,2015-01-02,ITUB4.SA,0.10351262819430447,0.15,rebalanced_after_point_in_time_review,increased,triple_factor
2015,2015-01-02,BBDC4.SA,0.06696179213769128,0.15,rebalanced_after_point_in_time_review,increased,triple_factor
2015,2015-01-02,WEGE3.SA,0.16527575858075697,0.10510426941587223,rebalanced_after_point_in_time_review,reduced,triple_factor
2015,2015-01-02,ABEV3.SA,0.0,0.044895730584127776,entered_after_point_in_time_screen,entered,triple_factor
2015,2015-01-02,BBAS3.SA,0.13762032059016682,0.0,removed_by_constrained_allocator,exited,triple_factor
2015,2015-01-02,TITULO_CDI,0.5266295004970805,0.55,defensive_residual_adjustment,increased,triple_factor
2016,2016-01-04,ITUB4.SA,0.13195593764885785,0.13404470271593283,rebalanced_after_point_in_time_review,increased,triple_factor
2016,2016-01-04,BBDC4.SA,0.10512175714648522,0.0,removed_by_constrained_allocator,exited,triple_factor
2016,2016-01-04,WEGE3.SA,0.10211670178211543,0.039941026991860314,rebalanced_after_point_in_time_review,reduced,triple_factor
2016,2016-01-04,ABEV3.SA,0.0533139097590524,0.15,rebalanced_after_point_in_time_review,increased,triple_factor
