decision_year,decision_date,holding_end_exclusive,gross_return,estimated_cost_brl,estimated_cost_rate,net_return,opening_wealth_brl,closing_wealth_brl,turnover,weights_at_decision,known_snapshot_count,factor,target_equity_weight,mvo_eligible_net_return,cdi_net_return
2013,2013-01-02,2014-01-02,0.06318179773365751,458.72015686190366,0.00045872015686190365,0.0627230775767956,1000000.0,1062723.0775767956,1.0,ITUB4.SA:15.00% | BBDC4.SA:15.00% | WEGE3.SA:10.00% | BBAS3.SA:15.00% | TITULO_CDI:45.00%,12,triple_factor,0.55,0.054361402502849654,0.07857469049866928
2014,2014-01-02,2015-01-02,0.19365975691527026,65.76004111078599,6.187881160982314e-05,0.19359787810366044,1062723.0775767956,1268464.010407455,0.08569246177771563,ITUB4.SA:15.00% | BBDC4.SA:10.00% | WEGE3.SA:15.00% | BBAS3.SA:15.00% | TITULO_CDI:45.00%,18,triple_factor,0.55,0.17279115499221695,0.10540624317644642
2015,2015-01-02,2016-01-04,0.02461075949076208,180.30754688730832,0.00014214636395508775,0.024468613126806992,1268464.010407455,1299501.5655433931,0.3341103313116117,ITUB4.SA:15.00% | BBDC4.SA:15.00% | WEGE3.SA:15.00% | ABEV3.SA:10.00% | TITULO_CDI:45.00%,25,triple_factor,0.55,0.015790311913956242,0.12954569629278212
2016,2016-01-04,2017-01-02,0.3090650746793391,265.9646598746526,0.00020466667138137548,0.3088604080079577,1299501.5655433931,1700866.1492841055,0.3978857207170486,ITUB4.SA:15.00% | WEGE3.SA:10.00% | ABEV3.SA:15.00% | BBAS3.SA:15.00% | TITULO_CDI:45.00%,31,triple_factor,0.55,0.11627153909077831,0.13821818995312585
2017,2017-01-02,2018-01-02,0.2191749550324702,389.4331766164651,0.00022896168330493116,0.21894599334916526,1700866.1492841055,2073263.9778930836,0.42046720147843497,ITUB4.SA:15.00% | BBDC4.SA:15.00% | ABEV3.SA:10.53% | BBAS3.SA:14.47% | TITULO_CDI:45.00%,39,triple_factor,0.55,0.2700541552040327,0.10022611215747501
2018,2018-01-02,2019-01-02,0.10331263737880625,284.8080303857799,0.00013737181247667788,0.10317526556632957,2073263.9778930836,2287173.5394013072,0.3465282731476021,ITUB4.SA:15.00% | BBDC4.SA:15.00% | RENT3.SA:10.00% | ABEV3.SA:15.00% | TITULO_CDI:45.00%,47,triple_factor,0.55,0.0859290246786822,0.06288552611006737
2019,2019-01-02,2020-01-02,0.11239388762392521,371.43568148129873,0.00016239943103684475,0.11223148819288838,2287173.5394013072,2543866.4294837117,0.3343057883954752,ITUB4.SA:15.00% | BBDC4.SA:15.00% | ABEV3.SA:10.00% | BBAS3.SA:15.00% | TITULO_CDI:45.00%,55,triple_factor,0.55,0.18010021858766248,0.05825368501784567
2020,2020-01-02,2021-01-04,-0.030199006752325785,467.4273401451061,0.00018374680947378687,-0.03038275356179957,2543866.4294837117,2466576.7626625733,0.3975486620201288,PETR4.SA:13.98% | ITUB4.SA:11.02% | ABEV3.SA:15.00% | BBAS3.SA:15.00% | TITULO_CDI:45.00%,63,triple_factor,0.55,0.24735181699265793,0.027172409622468585
2021,2021-01-04,2022-01-03,0.0016637606238423253,591.3792545945414,0.00023975708502020046,0.0014240035388221248,2466576.7626625733,2470089.1767013813,0.5852072040018057,VALE3.SA:10.00% | WEGE3.SA:15.00% | ABEV3.SA:15.00% | BBAS3.SA:15.00% | TITULO_CDI:45.00%,71,triple_factor,0.55,-0.006794761614381163,0.043186650987467656
2022,2022-01-03,2023-01-02,0.20008460284809026,487.1910324501461,0.00019723621197383374,0.19988736663611642,2470089.1767013813,2963828.7975885933,0.3961568806702048,PETR4.SA:15.00% | VALE3.SA:15.00% | WEGE3.SA:11.97% | ABEV3.SA:13.03% | TITULO_CDI:45.00%,79,triple_factor,0.5499999999999999,0.18266504918104745,0.12294915546054574
2023,2023-01-02,2024-01-02,0.2966788465274506,505.0821835763369,0.0001704154382963273,0.29650843108915426,2963828.7975885933,3842629.024378442,0.337273773895838,PETR4.SA:15.00% | VALE3.SA:15.00% | WEGE3.SA:10.00% | BBAS3.SA:15.00% | TITULO_CDI:45.00%,87,triple_factor,0.55,0.31057243625314995,0.129326575852573
2024,2024-01-02,2025-01-02,0.13849854106536963,999.7869319692742,0.0002601830480190559,0.13823835801735057,3842629.024378442,4373827.751178332,0.4908454668038807,PETR4.SA:15.00% | ITUB4.SA:10.00% | WEGE3.SA:15.00% | BBAS3.SA:15.00% | TITULO_CDI:45.00%,95,triple_factor,0.5500000000000002,0.039628869882620356,0.10726695312630197
2025,2025-01-02,2026-01-02,0.138816502698079,496.19041149274915,0.00011344534803847109,0.13870305735004052,4373827.751178332,4980491.032589219,0.15013132396456758,PETR4.SA:15.00% | ITUB4.SA:15.00% | WEGE3.SA:15.00% | BBAS3.SA:10.00% | TITULO_CDI:45.00%,102,triple_factor,0.55,0.08972815170683962,0.14146323464468114
