decision_year,decision_date,holding_end_exclusive,gross_return,estimated_cost_brl,estimated_cost_rate,net_return,opening_wealth_brl,closing_wealth_brl,turnover,weights_at_decision,known_snapshot_count,factor,target_equity_weight,mvo_eligible_net_return,cdi_net_return
2013,2013-01-02,2014-01-02,0.05581321933933525,372.51709634066106,0.00037251709634066103,0.05544070224299459,1000000.0,1055440.7022429947,1.0,ITUB4.SA:15.00% | BBDC4.SA:15.00% | BBAS3.SA:15.00% | TITULO_CDI:55.00%,12,triple_factor,0.44999999999999996,0.046449510992922216,0.07857469049866928
2014,2014-01-02,2015-01-02,0.17588679487915027,143.3496687795928,0.0001358197276975863,0.1757509751514527,1055440.7022429947,1240935.434876735,0.3000374214799,ITUB4.SA:15.00% | WEGE3.SA:15.00% | BBAS3.SA:15.00% | TITULO_CDI:55.00%,18,triple_factor,0.44999999999999996,0.17264606618299344,0.10540624317644642
2015,2015-01-02,2016-01-04,0.016240314725871396,189.89202705432706,0.00015302329332967228,0.016087291432541725,1240935.434876735,1260898.7248665649,0.346579269085624,ITUB4.SA:15.00% | BBDC4.SA:15.00% | WEGE3.SA:15.00% | TITULO_CDI:55.00%,25,triple_factor,0.44999999999999996,0.0157903108487884,0.12954569629278212
2016,2016-01-04,2017-01-02,0.3120847234522277,331.90535319068886,0.0002632291925156899,0.311821494259712,1260898.7248665649,1654074.0493646224,0.633504630311751,ITUB4.SA:15.00% | ABEV3.SA:15.00% | BBAS3.SA:15.00% | TITULO_CDI:55.00%,31,triple_factor,0.44999999999999996,0.11627153908462284,0.13821818995312585
2017,2017-01-02,2018-01-02,0.1943427713193242,359.0420196778119,0.00021706526368376935,0.19412570605564045,1654074.0493646224,1975172.3420658421,0.4510167650810435,ITUB4.SA:15.00% | BBDC4.SA:15.00% | BBAS3.SA:15.00% | TITULO_CDI:55.00%,39,triple_factor,0.44999999999999996,0.31003012558632664,0.10022611215747501
2018,2018-01-02,2019-01-02,0.07512651917116786,306.7764141563148,0.00015531627677383122,0.07497120289439403,1975172.3420658421,2123253.388474256,0.37705131460747476,ITUB4.SA:15.00% | BBDC4.SA:15.00% | ABEV3.SA:15.00% | TITULO_CDI:55.00%,47,triple_factor,0.44999999999999996,0.06613102079455152,0.06288552611006737
2019,2019-01-02,2020-01-02,0.0972820191752446,358.0453617693023,0.00016863053826401256,0.09711338863698059,2123253.388474256,2329449.719963942,0.31536524140781286,ITUB4.SA:15.00% | BBDC4.SA:15.00% | BBAS3.SA:15.00% | TITULO_CDI:55.00%,55,triple_factor,0.44999999999999996,0.2049728916137442,0.05825368501784567
2020,2020-01-02,2021-01-04,-0.012986808030417296,590.1184525010137,0.0002533295513715352,-0.013240137581788831,2329449.719963942,2298607.48518176,0.628872522737196,PETR4.SA:15.00% | ABEV3.SA:15.00% | BBAS3.SA:15.00% | TITULO_CDI:55.00%,63,triple_factor,0.44999999999999996,0.23348916657460397,0.027172409622468585
2021,2021-01-04,2022-01-03,0.0010337486355518344,372.93278772581033,0.0001622429188671684,0.000871505716684666,2298607.48518176,2300610.73474551,0.39432052907619886,WEGE3.SA:15.00% | ABEV3.SA:15.00% | BBAS3.SA:15.00% | TITULO_CDI:55.00%,71,triple_factor,0.44999999999999996,-0.006911825040116672,0.043186650987467656
2022,2022-01-03,2023-01-02,0.17866956087469021,575.653902368168,0.0002502178633152583,0.17841934301137496,2300610.73474551,2711084.1905637207,0.6000000000000001,PETR4.SA:15.00% | VALE3.SA:15.00% | ABEV3.SA:15.00% | TITULO_CDI:55.00%,79,triple_factor,0.44999999999999996,0.1826650484446657,0.12294915546054574
2023,2023-01-02,2024-01-02,0.3112941615819296,415.199335827941,0.00015314881672546209,0.3111410127652041,2711084.1905637207,3554613.67130745,0.33224850634539577,PETR4.SA:15.00% | VALE3.SA:15.00% | BBAS3.SA:15.00% | TITULO_CDI:55.00%,87,triple_factor,0.44999999999999996,0.32101547258035723,0.129326575852573
2024,2024-01-02,2025-01-02,0.15084978623012257,843.5132649241671,0.00023730096795973553,0.15061248526216284,3554613.67130745,4089982.870489926,0.4791358970332517,PETR4.SA:15.00% | WEGE3.SA:15.00% | BBAS3.SA:15.00% | TITULO_CDI:55.00%,95,triple_factor,0.44999999999999996,0.01950210139503442,0.10726695312630197
2025,2025-01-02,2026-01-02,0.155326927066731,658.5904609409979,0.00016102523697418504,0.15516590182975684,4089982.870489926,4724608.751057753,0.3398688702144933,PETR4.SA:15.00% | ITUB4.SA:15.00% | WEGE3.SA:15.00% | TITULO_CDI:55.00%,102,triple_factor,0.44999999999999996,0.08959169277428627,0.14146323464468114
