decision_year,decision_date,ticker,weight,previous_weight,decision_action,factor,value_quality_score,factor_signal_at_decision,trailing_12m_return_at_decision,trailing_12m_volatility_at_decision,eligible_at_decision,fundamental_status,decision_rationale,realised_next_year_return
2015,2015-01-02,BBSE3.SA,0.11999999926606772,0.0,entered,low_volatility,0.48148148148148145,0.7515527950310559,0.3704341338937569,0.27180100037109783,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.15289142812468115
2015,2015-01-02,CIEL3.SA,0.11999999921078133,0.0,entered,low_volatility,0.5026455026455027,0.826086956521739,0.2934241622450864,0.26683438364809114,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.13438948916030435
2015,2015-01-02,ITUB3.SA,0.069864948454053,0.0,entered,low_volatility,0.6058201058201058,0.1925465838509317,0.26435167734409704,0.3449697103503039,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.07942422566341856
2015,2015-01-02,ITUB4.SA,0.0001350177897958896,0.0,entered,low_volatility,0.5740740740740741,0.2546583850931676,0.2616405736022114,0.3375381686842137,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.1003699246527715
2015,2015-01-02,VLID3.SA,0.11999999922590714,0.0,entered,low_volatility,0.2857142857142857,0.7142857142857142,0.35935928513266324,0.2785980287755247,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.030561577629850012
2015,2015-01-02,WEGE3.SA,0.11999999909846608,0.0,entered,low_volatility,0.4285714285714285,1.0,0.30289835471416326,0.20545536033588302,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.006421118769278644
2015,2015-01-02,TITULO_CDI,0.45000000080833436,0.0,entered,low_volatility,,,,,True,CDI residual,"Defensive residual after equity, issuer and eligibility constraints.",0.1313058205754336
2016,2016-01-04,ABEV3.SA,0.11999999652679724,2.7703447827077616e-10,entered,low_volatility,0.6043956043956044,0.9770114942528736,0.23808045676556278,0.2245009969857083,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.012329125426664644
2016,2016-01-04,ENBR3.SA,0.11999999963476801,0.0,entered,low_volatility,0.31318681318681324,0.49425287356321834,0.385518601472552,0.3623327728386188,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.20005170850135023
2016,2016-01-04,SANB3.SA,0.11999999708539476,0.0,entered,low_volatility,0.5467032967032966,-0.28735632183908044,0.38567489871004845,0.5418783534582144,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,1.4988959169042473
