decision_year,decision_date,holding_end_exclusive,gross_return,estimated_cost_brl,estimated_cost_rate,net_return,opening_wealth_brl,closing_wealth_brl,turnover,weights_at_decision,known_snapshot_count,factor,target_equity_weight,mvo_eligible_net_return,mvo_turnover,mvo_equity_gain_rate,mvo_cash_weight,equity_gain_rate,cash_weight,cdi_net_return,eligible_universe_size,priced_universe_size,benchmark_IBOVESPA,benchmark_BOVA11,realised_share_for_tax,tax_rate,net_return_after_tax,mvo_realised_share_for_tax,mvo_tax_rate,mvo_net_return_after_tax,cdi_net_return_after_tax
2015,2015-01-02,2016-01-04,0.021948233873350986,478.1571528133984,0.0004781571528133984,0.02147007672053759,1000000.0,1021470.0767205376,0.45000000080833436,BBSE3.SA:12.00% | CIEL3.SA:12.00% | ITUB3.SA:6.99% | ITUB4.SA:0.01% | VLID3.SA:12.00% | WEGE3.SA:12.00% | TITULO_CDI:45.00%,161,low_volatility,0.5499999991916656,-0.009686996393581605,0.19940751053225356,-0.03514669079835342,0.19940751053225356,-0.03713938549173312,0.45000000080833436,0.1313058205754336,27,161,-0.10640666226912932,-0.1085484010921044,0.5499999977515414,0.005687183340639536,0.015782893379898053,0.7723687897484107,0.0035390626821106335,-0.013226059075692239,0.10832730197473273
2016,2016-01-04,2017-01-02,0.32995591920226497,1123.7746921837343,0.001100154295064275,0.3288557649072007,1021470.0767205376,1357386.4001302868,1.0999999955030828,ABEV3.SA:12.00% | ENBR3.SA:12.00% | SANB3.SA:12.00% | SANB4.SA:7.00% | UGPA3.SA:12.00% | TITULO_CDI:45.00%,174,low_volatility,0.5499999991505607,0.23863445670024955,1.5447375794968214,0.1461960398104854,0.6734454583355027,0.26748902931535756,0.45000000084943925,0.13881531059776075,26,174,0.4291782349730666,0.41703172361765506,0.45967378207517295,0.023468672582889007,0.3053870923243117,0.8954845644040347,0.03428738807923947,0.20434706862101007,0.11452263124315262
2017,2017-01-02,2018-01-02,0.1883628878021668,1447.564511523234,0.0010664351075445548,0.18729645269462225,1357386.4001302868,1611620.0578106125,0.9193475641503459,CVCB3.SA:7.00% | FLRY3.SA:12.00% | PNVL3.SA:12.00% | SANB3.SA:12.00% | SAPR4.SA:12.00% | TITULO_CDI:45.00%,182,low_volatility,0.5500000008698016,0.21645814635721436,1.7909691288080694,0.21769379893111318,8.568823576535298e-11,0.14394902316432923,0.4499999991301984,0.09869747716374411,33,182,0.28214938998808514,0.28093004210729355,0.44599297038780306,0.013096485361662705,0.17419996733295956,0.7803455618666943,0.025481458477424123,0.19097668787979025,0.08142541866008889
2018,2018-01-02,2019-01-02,0.018974246270708095,2535.3056738638406,0.0015731410524314619,0.017401105218276633,1611620.0578106125,1639664.0280084598,0.8919859407756061,ALPA4.SA:12.00% | BPAC3.SA:4.24% | BRSR3.SA:8.95% | CGAS3.SA:12.00% | FLRY3.SA:4.78% | GRND3.SA:4.64% | SAPR3.SA:4.83% | SEER3.SA:3.55% | TITULO_CDI:45.00%,169,low_volatility,0.5500000000057347,-0.11164754616262484,1.5606911237333887,-0.10899180502247519,2.5363391124302152e-11,-0.009677421665701402,0.4499999999942652,0.06367037319283275,34,169,0.12833318355137302,0.12649800523329735,0.4899999985346215,0.002456880518199654,0.014944224700076978,0.6357481277552337,1.796668083324339e-13,-0.1116475461628045,0.05252805788408702
2019,2019-01-02,2020-01-02,0.13394820767680282,2594.452359329962,0.001582307298941716,0.1323659003778611,1639664.0280084598,1856699.6333929903,0.979999997069243,CSMG3.SA:12.00% | IRBR3.SA:12.00% | SANB4.SA:12.00% | SLCE3.SA:7.00% | UNIP6.SA:12.00% | TITULO_CDI:45.00%,182,low_volatility,0.549999999957894,0.35628144228685504,1.2714962555104674,0.35923045559840683,4.7960822231614796e-11,0.10732764314664578,0.4500000000421061,0.059156810061480325,36,182,0.27416164901331697,0.265415260819831,0.4846804811268977,0.01006087396204041,0.1223050264158207,0.8102331306234871,0.0436590624986221,0.31262237978823293,0.04880436830072127
2020,2020-01-02,2021-01-04,0.0823184858199868,4432.693447608405,0.002387404708810098,0.0799310811111767,1856699.6333929903,2005107.6423888174,0.9693609622537954,ALPA4.SA:12.00% | BPAC3.SA:12.00% | BPAN4.SA:12.00% | CGAS5.SA:7.00% | CPLE3.SA:12.00% | TITULO_CDI:45.00%,234,low_volatility,0.550000000031329,0.10608199613310328,1.6204662612469742,0.11054821627114553,2.3041912369429777e-11,0.07002185135560457,0.4499999999686711,0.027325854367195923,55,234,0.006181845782766704,0.0035889676976212925,0.38235899376117377,0.004838825230422284,0.07509225588075441,0.7898329841238912,0.013097194132138855,0.09298480200096443,0.022543829852936636
2021,2021-01-04,2022-01-03,0.23748924009575245,3453.5968115800915,0.0017223997049183822,0.23576684039083406,2005107.6423888174,2477845.5358783435,0.7647179875223475,BPAC3.SA:4.96% | BSLI3.SA:12.00% | CGAS3.SA:5.95% | CGAS5.SA:8.09% | UNIP6.SA:12.00% | WEGE3.SA:12.00% | TITULO_CDI:45.00%,257,low_volatility,0.5499999999994875,0.13801141822689855,1.5796659682477825,0.12858247584018145,0.3060401624784766,0.21778126477790039,0.45000000000051243,0.04379550070628846,48,257,-0.11585890450243763,-0.1164869288519651,0.42733270555961034,0.015433584487054074,0.22033325590378,0.6999742263442101,0.01514249221718994,0.12286892600970861,0.03613128808268798
2022,2022-01-03,2023-01-02,0.02419067615175563,5624.1877141963605,0.0022697894734599365,0.021920886678295694,2477845.5358783435,2532162.1070766533,0.8546654111192207,BRKM3.SA:12.00% | BSLI3.SA:1.31% | ENMT3.SA:12.00% | FESA4.SA:5.69% | UNIP3.SA:12.00% | UNIP6.SA:12.00% | TITULO_CDI:45.00%,265,low_volatility,0.5500000000231994,-0.011270266653583633,1.3999484526884203,-0.005433267290069654,1.2578905924547944e-10,-0.031136443802637248,0.4499999999768007,0.12294915546054463,62,265,0.058784472970112134,0.06024213574183901,0.38911091236717293,0.0037674675717178116,0.018153419106577882,0.5458436266486377,1.47732045631738e-12,-0.011270266655060953,0.10143305325494932
2023,2023-01-02,2024-01-02,0.17525805705735187,3117.014528755372,0.0014064583868446886,0.17385159867050717,2532162.1070766533,2972382.5374848093,0.7782218247343459,BBSE3.SA:12.00% | CURY3.SA:12.00% | EKTR4.SA:11.64% | LAND3.SA:7.36% | PRIO3.SA:12.00% | TITULO_CDI:45.00%,297,low_volatility,0.5499999999480452,0.12182548458973658,1.0916872532972755,0.12482679298041699,2.5063219565815678e-11,0.11706109791697594,0.45000000005195473,0.1293265758525708,55,297,0.2614217492667519,0.2704862406620203,0.5675869141877035,0.01574692278009707,0.1581046758904101,0.9999999961244684,0.018724018875064256,0.10310146571467232,0.1066944250783709
2024,2024-01-02,2025-01-02,-0.04599602027381566,5162.422688554392,0.0017367961975809888,-0.047732816471396655,2972382.5374848093,2830502.347340263,1.135173828375407,BEES3.SA:12.00% | CMIN3.SA:12.00% | PETR4.SA:5.48% | PLPL3.SA:12.00% | SAPR4.SA:1.52% | UGPA3.SA:12.00% | TITULO_CDI:45.00%,311,low_volatility,0.5500000000450602,-0.14839028832797765,1.9999999922489369,-0.14538915784460194,6.461026739958268e-11,-0.09449292685956395,0.4499999999549399,0.10777090353467633,60,311,-0.09355147441162948,-0.08923577472783695,0.5499999989084338,0.004667827249614185,-0.05240064372101084,0.9999999907014105,1.2185436953415243e-12,-0.1483902883291962,0.08891099541610797
