decision_year,decision_date,ticker,weight,previous_weight,decision_action,factor,value_quality_score,factor_signal_at_decision,trailing_12m_return_at_decision,trailing_12m_volatility_at_decision,eligible_at_decision,fundamental_status,decision_rationale,realised_next_year_return
2015,2015-01-02,BBDC4.SA,0.06999752123167527,0.0,entered,momentum_12m,0.5423280423280424,0.8012422360248448,0.268163982253788,0.36278244414132377,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.28331650483485205
2015,2015-01-02,BBSE3.SA,0.11999999980085298,0.0,entered,momentum_12m,0.48148148148148145,0.9503105590062111,0.3704341338937569,0.27180100037109783,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.15289142812468115
2015,2015-01-02,CIEL3.SA,0.11999998880472586,0.0,entered,momentum_12m,0.5026455026455027,0.8385093167701863,0.2934241622450864,0.26683438364809114,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.13438948916030435
2015,2015-01-02,ITUB3.SA,2.4880836824715253e-06,0.0,entered,momentum_12m,0.6058201058201058,0.7763975155279503,0.26435167734409704,0.3449697103503039,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.07942422566341856
2015,2015-01-02,VLID3.SA,0.11999999978450475,0.0,entered,momentum_12m,0.2857142857142857,0.9254658385093169,0.35935928513266324,0.2785980287755247,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.030561577629850012
2015,2015-01-02,WEGE3.SA,0.11999999856397994,0.0,entered,momentum_12m,0.4285714285714285,0.8633540372670807,0.30289835471416326,0.20545536033588302,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.006421118769278644
2015,2015-01-02,TITULO_CDI,0.4500000000613784,0.0,entered,momentum_12m,,,,,True,CDI residual,"Defensive residual after equity, issuer and eligibility constraints.",0.1313058205754336
2016,2016-01-04,ABEV3.SA,0.11999999689260533,1.6827957860908897e-11,entered,momentum_12m,0.6043956043956044,0.7471264367816093,0.23808045676556278,0.2245009969857083,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.012329125426664644
2016,2016-01-04,ENBR3.SA,0.11999999989197972,0.0,entered,momentum_12m,0.31318681318681324,0.8735632183908046,0.385518601472552,0.3623327728386188,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.20005170850135023
2016,2016-01-04,SANB3.SA,0.11999999990417715,0.0,entered,momentum_12m,0.5467032967032966,0.8850574712643677,0.38567489871004845,0.5418783534582144,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,1.4988959169042473
2016,2016-01-04,SANB4.SA,0.1199999996311444,0.0,entered,momentum_12m,0.5796703296703296,0.7701149425287357,0.265852048124227,0.47155108419292824,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.5557933455744537
2016,2016-01-04,UGPA3.SA,0.07000000303900387,3.4812599776806756e-11,entered,momentum_12m,0.17032967032967034,0.6896551724137931,0.22538103851541358,0.2343630443587411,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.21824392650610203
2016,2016-01-04,TITULO_CDI,0.4500000001238406,0.505208068700221,reduced,momentum_12m,,,,,True,CDI residual,"Defensive residual after equity, issuer and eligibility constraints.",0.13881531059776075
2017,2017-01-02,BBAS3.SA,0.019991438183841175,0.0,entered,momentum_12m,0.4978354978354978,0.7142857142857142,0.979338963763789,0.5606428071689878,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.19182113353386376
