decision_year,decision_date,holding_end_exclusive,gross_return,estimated_cost_brl,estimated_cost_rate,net_return,opening_wealth_brl,closing_wealth_brl,turnover,weights_at_decision,known_snapshot_count,factor,target_equity_weight,mvo_eligible_net_return,mvo_turnover,mvo_equity_gain_rate,mvo_cash_weight,equity_gain_rate,cash_weight,cdi_net_return,eligible_universe_size,priced_universe_size,benchmark_IBOVESPA,benchmark_BOVA11,realised_share_for_tax,tax_rate,net_return_after_tax,mvo_realised_share_for_tax,mvo_tax_rate,mvo_net_return_after_tax,cdi_net_return_after_tax
2015,2015-01-02,2016-01-04,0.007679114544118626,471.10815448966537,0.00047110815448966545,0.0072080063896289605,1000000.0,1007208.006389629,0.4500000000613784,BBDC4.SA:7.00% | BBSE3.SA:12.00% | CIEL3.SA:12.00% | ITUB3.SA:0.00% | VLID3.SA:12.00% | WEGE3.SA:12.00% | TITULO_CDI:45.00%,161,momentum_12m,0.5499999999386216,-0.009686996393581605,0.19940751053225356,-0.03514669079835342,0.19940751053225356,-0.05140850472288583,0.4500000000613784,0.1313058205754336,27,161,-0.10640666226912932,-0.1085484010921044,0.5499999996722993,0.005687183351060644,0.0015208230385683162,0.7723687897484107,0.0035390626821106335,-0.013226059075692239,0.10832730197473273
2016,2016-01-04,2017-01-02,0.3468333865818116,1170.2196743472534,0.0011618450875325597,0.34567154149427903,1007208.006389629,1355371.1505637118,1.0999999993445986,ABEV3.SA:12.00% | ENBR3.SA:12.00% | SANB3.SA:12.00% | SANB4.SA:12.00% | UGPA3.SA:7.00% | TITULO_CDI:45.00%,174,momentum_12m,0.5499999998761593,0.23863562654466458,1.5447375794968214,0.1461960398104854,0.6734454583355027,0.2843664967956282,0.4500000001238406,0.13881531059776075,26,174,0.4291782349730666,0.41703172361765506,0.4995023843659723,0.026766674546104104,0.31890486694817494,0.8954845644040347,0.03428738807923947,0.2043482384654251,0.11452263124315262
2017,2017-01-02,2018-01-02,0.13609371437954731,1593.0875864631832,0.0011753884431222564,0.13491832593642505,1355371.1505637118,1538235.5572202941,0.9990047687319445,BBAS3.SA:2.00% | BRSR6.SA:5.00% | FLRY3.SA:12.00% | PNVL3.SA:12.00% | SANB3.SA:12.00% | SAPR4.SA:12.00% | TITULO_CDI:45.00%,182,momentum_12m,0.5500000000418259,0.21645836750310185,1.7909691288080694,0.21769379893111318,8.568823576535298e-11,0.09167984965999065,0.449999999958174,0.09869747716374411,33,182,0.28214938998808514,0.28093004210729355,0.38481242824973616,0.008282858083255146,0.1266354678531699,0.7803455618666943,0.025481458477424123,0.19097690902567774,0.08142541866008889
2018,2018-01-02,2019-01-02,-0.0014696111820761137,3850.140656013718,0.0025029590805939438,-0.0039725702626700575,1538235.5572202941,1532124.808388699,0.7696248564994723,ALPA4.SA:7.00% | BPAC3.SA:12.00% | BRSR3.SA:12.00% | SAPR3.SA:12.00% | SEER3.SA:12.00% | TITULO_CDI:45.00%,169,momentum_12m,0.5500000000075931,-0.11161890200342031,1.5606911237333887,-0.10899180502247519,2.5363391124302152e-11,-0.03012127911836726,0.44999999999240686,0.06367037319283275,34,169,0.12833318355137302,0.12649800523329735,0.4899999999512918,0.002456880525292752,-0.006429450787962809,0.6357481277552337,1.796668083324339e-13,-0.11161890200359997,0.05252805788408702
2019,2019-01-02,2020-01-02,0.13089688907568076,3718.059937358877,0.002426734373728388,0.12847015470195236,1532124.808388699,1728957.1195450944,0.9799999999025836,BRSR6.SA:7.00% | IRBR3.SA:12.00% | SANB4.SA:12.00% | SLCE3.SA:12.00% | UNIP6.SA:12.00% | TITULO_CDI:45.00%,182,momentum_12m,0.5500000000242375,0.35632643073206627,1.2714962555104674,0.35923045559840683,4.7960822231614796e-11,0.10427632454944868,0.44999999997576223,0.059156810061480325,36,182,0.27416164901331697,0.265415260819831,0.4585464014976893,0.00930851371966788,0.11916164098228448,0.8102331306234871,0.0436590624986221,0.31266736823344415,0.04880436830072127
2020,2020-01-02,2021-01-04,0.05954743847289001,4122.125734129602,0.0023841688654569837,0.05716326960743303,1728957.1195450944,1827789.9615093416,0.9170928029953787,BPAC3.SA:12.00% | BPAN4.SA:12.00% | CGAS3.SA:7.00% | CGAS5.SA:12.00% | QUAL3.SA:12.00% | TITULO_CDI:45.00%,234,momentum_12m,0.5500000013354364,0.10618235222853359,1.6204662612469742,0.11054821627114553,2.3041912369429777e-11,0.047250804044143724,0.4499999986645637,0.027325854367195923,55,234,0.006181845782766704,0.0035889676976212925,0.3495878746896264,0.00323002822623685,0.05393324138119618,0.7898329841238912,0.013097194132138855,0.09308515809639473,0.022543829852936636
2021,2021-01-04,2022-01-03,0.24154331502445214,2734.211383795181,0.0014959111502819173,0.24004740387417023,1827789.9615093416,2266546.1965969284,0.6991757493792528,BPAC3.SA:6.60% | BSLI3.SA:12.00% | CGAS3.SA:12.00% | CGAS5.SA:0.40% | UNIP6.SA:12.00% | WEGE3.SA:12.00% | TITULO_CDI:45.00%,257,momentum_12m,0.5499999999956697,0.13813806760224892,1.5796659682477825,0.12858247584018145,0.3060401624784766,0.22183533970643277,0.4500000000043302,0.04379550070628846,48,257,-0.11585890450243763,-0.1164869288519651,0.3731398705175837,0.01370326197785004,0.22634414189632018,0.6999742263442101,0.01514249221718994,0.12299557538505898,0.03613128808268798
2022,2022-01-03,2023-01-02,0.01829961749791309,4193.098303034144,0.0018499946347132951,0.016449622863199793,2266546.1965969284,2303830.0267329677,0.7462797410351674,BRKM3.SA:11.36% | BSLI3.SA:6.85% | ENMT3.SA:12.00% | FESA4.SA:12.00% | UNIP3.SA:0.79% | UNIP6.SA:12.00% | TITULO_CDI:45.00%,265,momentum_12m,0.5499999999987225,-0.011074442621260474,1.3999484526884203,-0.005433267290069654,1.2578905924547944e-10,-0.03702750245948927,0.45000000000127766,0.12294915546054463,62,265,0.058784472970112134,0.06024213574183901,0.40544500458198973,0.0039256182708115135,0.012524004592388279,0.5458436266486377,1.47732045631738e-12,-0.011074442622737794,0.10143305325494932
2023,2023-01-02,2024-01-02,0.26550968077033765,2618.0898314724723,0.0013524813810648088,0.26415719938927285,2303830.0267329677,2912403.314463662,0.8108900091639795,BBSE3.SA:12.00% | CURY3.SA:12.00% | EKTR4.SA:12.00% | PETR3.SA:7.00% | PRIO3.SA:12.00% | TITULO_CDI:45.00%,297,momentum_12m,0.5500000017991307,0.12189015687917513,1.0916872532972755,0.12482679298041699,2.5063219565815678e-11,0.20731272186935612,0.4499999982008694,0.1293265758525708,55,297,0.2614217492667519,0.2704862406620203,0.5984250720430035,0.02470381045954071,0.23945338892973214,0.9999999961244684,0.018724018875064256,0.10316613800411088,0.1066944250783709
2024,2024-01-02,2025-01-02,-0.03213110417334197,4629.1489015873685,0.0015894601131540371,-0.03372056428649601,2912403.314463662,2814195.4312700857,1.196850144086007,BEES3.SA:7.00% | CMIN3.SA:12.00% | PETR4.SA:12.00% | PLPL3.SA:12.00% | UGPA3.SA:12.00% | TITULO_CDI:45.00%,311,momentum_12m,0.5500000000766367,-0.14837607969225075,1.9999999922489369,-0.14538915784460194,6.461026739958268e-11,-0.08062801075568704,0.4499999999233632,0.10777090353467633,60,311,-0.09355147441162948,-0.08923577472783695,0.5500000008284107,0.004667827265581405,-0.03838839155207741,0.9999999907014105,1.2185436953415243e-12,-0.1483760796934693,0.08891099541610797
