decision_year,decision_date,holding_end_exclusive,gross_return,estimated_cost_brl,estimated_cost_rate,net_return,opening_wealth_brl,closing_wealth_brl,turnover,weights_at_decision,known_snapshot_count,factor,target_equity_weight,mvo_eligible_net_return,mvo_turnover,mvo_equity_gain_rate,mvo_cash_weight,equity_gain_rate,cash_weight,cdi_net_return,eligible_universe_size,priced_universe_size,benchmark_IBOVESPA,benchmark_BOVA11,realised_share_for_tax,tax_rate,net_return_after_tax,mvo_realised_share_for_tax,mvo_tax_rate,mvo_net_return_after_tax,cdi_net_return_after_tax
2015,2015-01-02,2016-01-04,0.07899607412577958,474.82286029227043,0.00025528990062787427,0.07874078422515171,1000000.0,1078740.7842251516,0.6999999999587382,ABEV3.SA:2.00% | CIEL3.SA:12.00% | MDIA3.SA:2.00% | UGPA3.SA:2.00% | WEGE3.SA:12.00% | TITULO_CDI:70.00%,161,mvo_low_volatility,0.3000000000412618,-0.009686996393581605,0.19940751053225356,-0.03514669079835342,0.19940751053225356,-0.012918000271606112,0.6999999999587382,0.1313058205754336,27,161,-0.10640666226912932,-0.1085484010921044,0.22483511200833414,0.003616464462148746,0.07512431976300296,0.7723687897484107,0.0035390626821106335,-0.013226059075692239,0.10832730197473273
2016,2016-01-04,2017-01-02,0.1282215604484187,950.1451881642714,0.00036760150930962736,0.12785395893910909,1078740.7842251516,1216662.0641574163,0.4496702240166683,ABEV3.SA:12.00% | GEPA4.SA:2.00% | TBLE3.SA:2.00% | UGPA3.SA:12.00% | WEGE3.SA:2.00% | TITULO_CDI:70.00%,174,mvo_low_volatility,0.3000000025017145,0.2386298393704584,1.5447375794968214,0.1461960398104854,0.6734454583355027,0.03105084337726255,0.6999999974982855,0.13881531059776075,26,174,0.4291782349730666,0.41703172361765506,0.22365119323857954,0.00484484441950054,0.12300911451960854,0.8954845644040347,0.03428738807923947,0.20434245129121892,0.11452263124315262
2017,2017-01-02,2018-01-02,0.13590037377349296,1030.5739283270923,0.00037305849582039977,0.13552731527767256,1216662.0641574163,1381553.0073128624,0.4473023864771591,ABEV3.SA:2.00% | ALPA3.SA:2.00% | EGIE3.SA:2.00% | EQTL3.SA:12.00% | UGPA3.SA:2.00% | TITULO_CDI:80.00%,182,mvo_low_volatility,0.2000000059822896,0.21647400546597428,1.7909691288080694,0.21769379893111318,8.568823576535298e-11,0.056942392632934574,0.7999999940177104,0.09869747716374411,33,182,0.28214938998808514,0.28093004210729355,0.4393905666276249,0.009824336137414244,0.12570297914025833,0.7803455618666943,0.025481458477424123,0.19099254698855017,0.08142541866008889
2018,2018-01-02,2019-01-02,0.07692434046722463,2668.956354546924,0.0005472773167096427,0.07637706315051498,1381553.0073128624,1487071.9685981807,0.8787811332552498,ABEV3.SA:12.00% | EGIE3.SA:2.00% | HYPE3.SA:12.00% | ITSA3.SA:12.00% | ITUB3.SA:12.00% | TITULO_CDI:50.00%,169,mvo_low_volatility,0.5000001223078051,-0.11155536173984949,1.5606911237333887,-0.10899180502247519,2.5363391124302152e-11,0.04508916165819199,0.49999987769219484,0.06367037319283275,34,169,0.12833318355137302,0.12649800523329735,0.36615374123932376,0.0045163345037650335,0.07186072864674994,0.6357481277552337,1.796668083324339e-13,-0.11155536174002915,0.05252805788408702
2019,2019-01-02,2020-01-02,0.14791105420507034,1710.3532021171484,0.0006338140890664318,0.1472772401160039,1487071.9685981807,1706083.8239871934,0.7323074824786475,ABEV3.SA:2.00% | BBSE3.SA:12.00% | ITUB3.SA:12.00% | SAPR4.SA:2.00% | VIVT3.SA:12.00% | TITULO_CDI:60.00%,182,mvo_low_volatility,0.4000000020581247,0.35634574651672957,1.2714962555104674,0.35923045559840683,4.7960822231614796e-11,0.11241696828993408,0.5999999979418753,0.059156810061480325,36,182,0.27416164901331697,0.265415260819831,0.29999998904691194,0.006922202830860012,0.1403550372851439,0.8102331306234871,0.0436590624986221,0.31268668401810745,0.04880436830072127
2020,2020-01-02,2021-01-04,-0.03385240915105803,3626.510612452322,0.0008719814224751309,-0.03472439057353316,1706083.8239871934,1646841.102931875,0.5999999780938239,ABCB4.SA:12.00% | ITUB3.SA:7.00% | LEVE3.SA:12.00% | TIET4.SA:12.00% | VIVT3.SA:12.00% | TITULO_CDI:45.00%,234,mvo_low_volatility,0.5500000015056947,0.10620070868757969,1.6204662612469742,0.11054821627114553,2.3041912369429777e-11,-0.046149043575151816,0.44999999849430533,0.027325854367195923,55,234,0.006181845782766704,0.0035889676976212925,0.5215051641207481,0.001122232711857226,-0.035846623285390386,0.7898329841238912,0.013097194132138855,0.09310351455544083,0.022543829852936636
2021,2021-01-04,2022-01-03,0.04704365807319699,3030.999500044489,0.0007867080368997019,0.04625695003629729,1646841.102931875,1723018.9495479155,1.0430103282414962,EGIE3.SA:2.00% | GEPA4.SA:4.68% | ITSA3.SA:2.00% | PSSA3.SA:2.00% | TAEE3.SA:12.00% | TITULO_CDI:77.32%,257,mvo_low_volatility,0.22682257787300023,0.1382738199088993,1.5796659682477825,0.12858247584018145,0.3060401624784766,0.01318196573634764,0.7731774221269998,0.04379550070628846,48,257,-0.11585890450243763,-0.1164869288519651,0.16421266464085726,0.0012977876351950302,0.04495916240110226,0.6999742263442101,0.01514249221718994,0.12313132769170937,0.03613128808268798
2022,2022-01-03,2023-01-02,0.06965522384633771,1767.2664394925177,0.00027761575315024566,0.06937760809318747,1723018.9495479155,1842557.8829667862,0.32842532928171453,BRSR3.SA:2.00% | EQMA3B.SA:2.00% | ITSA3.SA:2.00% | TAEE3.SA:12.00% | VIVT3.SA:12.00% | TITULO_CDI:70.00%,265,mvo_low_volatility,0.3000000034171448,-0.010523985389157702,1.3999484526884203,-0.005433267290069654,1.2578905924547944e-10,-0.016409184555908563,0.6999999965828552,0.12294915546054463,62,265,0.058784472970112134,0.06024213574183901,0.23387920302282875,0.0035225181680060016,0.06585508992518146,0.5458436266486377,1.47732045631738e-12,-0.010523985390635022,0.10143305325494932
2023,2023-01-02,2024-01-02,0.1696220775739372,1784.7868451431377,0.00044408315378574093,0.16917799442015147,1842557.8829667862,2154278.1302101472,0.4677584060456575,ENBR3.SA:2.00% | ENMT4.SA:2.00% | ITSA3.SA:3.41% | ITUB3.SA:12.00% | TAEE4.SA:2.00% | TITULO_CDI:78.59%,297,mvo_low_volatility,0.21411620137671014,0.12203143347495053,1.0916872532972755,0.12482679298041699,2.5063219565815678e-11,0.06798641687997589,0.7858837986232899,0.1293265758525708,55,297,0.2614217492667519,0.2704862406620203,0.3232081676475208,0.009044723024299194,0.16013327139585226,0.9999999961244684,0.018724018875064256,0.10330741459988628,0.1066944250783709
2024,2024-01-02,2025-01-02,0.06305114686281277,1434.4729177784945,0.0003937584372579011,0.06265738842555486,2154278.1302101472,2289259.5717914025,0.6464163352950416,BBSE3.SA:2.00% | CXSE3.SA:12.00% | EGIE3.SA:12.00% | ITSA3.SA:12.00% | ITUB3.SA:12.00% | TITULO_CDI:50.00%,311,mvo_low_volatility,0.5000000377498346,-0.14818198389971665,1.9999999922489369,-0.14538915784460194,6.461026739958268e-11,0.009165699163808272,0.49999996225016546,0.10777090353467633,60,311,-0.09355147441162948,-0.08923577472783695,0.41731139085497027,0.004508969547001059,0.058148418878553806,0.9999999907014105,1.2185436953415243e-12,-0.1481819839009352,0.08891099541610797
2025,2025-01-02,2025-12-31,0.1684554070924449,3254.631570970335,0.0005045015638093928,0.16795090552863548,2289259.5717914025,2673742.789863865,0.8346227817099405,BBAS3.SA:2.00% | BBSE3.SA:12.00% | CPFE3.SA:2.00% | ITSA3.SA:2.00% | ITUB3.SA:2.00% | TITULO_CDI:80.00%,303,mvo_low_volatility,0.19999999665744872,0.24120925262615753,1.999999981402821,0.24463814013111507,1.6028804223091568e-10,0.05478137882503625,0.8000000033425514,0.14209253474057104,51,303,0.3413111342351718,0.3492741422615624,1.0,0.028110161770551916,0.13984074375808356,1.0,0.03669572102365302,0.20451353160250452,0.11722634116097111
