decision_year,decision_date,ticker,weight,previous_weight,decision_action,factor,value_quality_score,factor_signal_at_decision,trailing_12m_return_at_decision,trailing_12m_volatility_at_decision,eligible_at_decision,fundamental_status,decision_rationale,realised_next_year_return
2015,2015-01-02,BBDC4.SA,0.08249104475278222,0.0,entered,mvo_neutral,0.5423280423280424,,0.268163982253788,0.36278244414132377,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.28331650483485205
2015,2015-01-02,BBSE3.SA,0.11999999990812917,0.0,entered,mvo_neutral,0.48148148148148145,,0.3704341338937569,0.27180100037109783,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.15289142812468115
2015,2015-01-02,CIEL3.SA,0.11999999951449178,0.0,entered,mvo_neutral,0.5026455026455027,,0.2934241622450864,0.26683438364809114,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.13438948916030435
2015,2015-01-02,ITUB3.SA,0.1075089558752229,0.0,entered,mvo_neutral,0.6058201058201058,,0.26435167734409704,0.3449697103503039,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.07942422566341856
2015,2015-01-02,VLID3.SA,0.11999999991513392,0.0,entered,mvo_neutral,0.2857142857142857,,0.35935928513266324,0.2785980287755247,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.030561577629850012
2015,2015-01-02,TITULO_CDI,0.45000000003423996,0.0,entered,mvo_neutral,,,,,True,CDI residual,"Defensive residual after equity, issuer and eligibility constraints.",0.1313058205754336
2016,2016-01-04,ABEV3.SA,0.11999999971077967,0.0,entered,mvo_neutral,0.6043956043956044,,0.23808045676556278,0.2245009969857083,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.012329125426664644
2016,2016-01-04,ENBR3.SA,0.12000000001844251,0.0,entered,mvo_neutral,0.31318681318681324,,0.385518601472552,0.3623327728386188,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.20005170850135023
2016,2016-01-04,LREN3.SA,0.07000000109294509,0.0,entered,mvo_neutral,0.4945054945054945,,0.17779672401812174,0.3223246639652782,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.464912637287612
2016,2016-01-04,SANB3.SA,0.11999999998114923,0.0,entered,mvo_neutral,0.5467032967032966,,0.38567489871004845,0.5418783534582144,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,1.4988959169042473
