decision_year,decision_date,ticker,previous_weight,new_weight,reason,decision_action,factor
2015,2015-01-02,BBDC4.SA,0.0,0.08249104475278222,entered_after_point_in_time_screen,entered,mvo_neutral
2015,2015-01-02,BBSE3.SA,0.0,0.11999999990812917,entered_after_point_in_time_screen,entered,mvo_neutral
2015,2015-01-02,CIEL3.SA,0.0,0.11999999951449178,entered_after_point_in_time_screen,entered,mvo_neutral
2015,2015-01-02,ITUB3.SA,0.0,0.1075089558752229,entered_after_point_in_time_screen,entered,mvo_neutral
2015,2015-01-02,VLID3.SA,0.0,0.11999999991513392,entered_after_point_in_time_screen,entered,mvo_neutral
2015,2015-01-02,TITULO_CDI,0.0,0.45000000003423996,defensive_residual_adjustment,entered,mvo_neutral
2016,2016-01-04,ABEV3.SA,0.0,0.11999999971077967,entered_after_point_in_time_screen,entered,mvo_neutral
2016,2016-01-04,BBDC4.SA,0.05933527374143358,0.0,removed_by_constrained_allocator,exited,mvo_neutral
2016,2016-01-04,BBSE3.SA,0.10202322916633721,0.0,removed_by_constrained_allocator,exited,mvo_neutral
2016,2016-01-04,CIEL3.SA,0.10425154715527372,0.0,removed_by_constrained_allocator,exited,mvo_neutral
2016,2016-01-04,ENBR3.SA,0.0,0.12000000001844251,entered_after_point_in_time_screen,entered,mvo_neutral
2016,2016-01-04,ITUB3.SA,0.09933057036330918,0.0,removed_by_constrained_allocator,exited,mvo_neutral
2016,2016-01-04,LREN3.SA,0.0,0.07000000109294509,entered_after_point_in_time_screen,entered,mvo_neutral
2016,2016-01-04,SANB3.SA,0.0,0.11999999998114923,entered_after_point_in_time_screen,entered,mvo_neutral
2016,2016-01-04,UGPA3.SA,0.0,0.11999999906090378,entered_after_point_in_time_screen,entered,mvo_neutral
2016,2016-01-04,VLID3.SA,0.12411776188019116,0.0,removed_or_blocked_by_eligibility,exited,mvo_neutral
2016,2016-01-04,TITULO_CDI,0.5109416176934553,0.4500000001357796,defensive_residual_adjustment,reduced,mvo_neutral
2017,2017-01-02,ABEV3.SA,0.0895444379900553,0.0,removed_by_constrained_allocator,exited,mvo_neutral
2017,2017-01-02,BBAS3.SA,0.0,0.07000000016906098,entered_after_point_in_time_screen,entered,mvo_neutral
2017,2017-01-02,ENBR3.SA,0.10879935699094777,0.0,removed_or_blocked_by_eligibility,exited,mvo_neutral
2017,2017-01-02,FLRY3.SA,0.0,0.11999999995976536,entered_after_point_in_time_screen,entered,mvo_neutral
2017,2017-01-02,LREN3.SA,0.07747380663114486,0.0,removed_by_constrained_allocator,exited,mvo_neutral
2017,2017-01-02,PNVL3.SA,0.0,0.11999999993175259,entered_after_point_in_time_screen,entered,mvo_neutral
2017,2017-01-02,SANB3.SA,0.2265554616821642,0.11999999993696955,rebalanced_after_point_in_time_review,reduced,mvo_neutral
2017,2017-01-02,SAPR4.SA,0.0,0.1200000000149992,entered_after_point_in_time_screen,entered,mvo_neutral
2017,2017-01-02,UGPA3.SA,0.1104487030562046,0.0,removed_by_constrained_allocator,exited,mvo_neutral
2017,2017-01-02,TITULO_CDI,0.38717823364948317,0.4499999999874524,defensive_residual_adjustment,increased,mvo_neutral
